Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0123800103	11.0929336	11.0929336	11.0929336	11.0929336	0	0	0	0	0	0	3
2	2	0	0.0247600206	9.95506	10.5239968	9.95506	11.0929336	0.568936824	0	0	0	0	0	3
3	3	0	0.0371400309	9.34335489	10.1304495	9.34335489	11.0929336	0.962484134	0	0	0	0	0	3
4	3	0	0.0495200413	10.2170754	10.152106	9.34335489	11.0929336	0.962484134	0	0	0	0	0	3
5	4	0	0.0619000516	12.0276631	10.5272174	9.34335489	12.0276631	0.962484134	0	0	0	0	0	3
6	4	0	0.0742800619	13.9894375	11.1042541	9.34335489	13.9894375	0.973804578	0	0	0	0	0	3
7	5	0	0.0866600722	15.1941833	11.6885297	9.34335489	15.1941833	1.55808018	0	0	0	0	0	3
8	5	0	0.0990400825	15.5774708	12.1746473	9.34335489	15.5774708	2.04419783	0	0	0	0	0	3
9	6	0	0.111420093	15.2237304	12.5134343	9.34335489	15.5774708	2.38298484	0	0	0	0	0	3
10	6	0	0.123800103	14.3081253	12.6929034	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
11	7	0	0.136180113	12.5922508	12.6837532	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
12	7	0	0.148560124	10.8331679	12.5295378	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
13	7	0	0.160940134	9.92802652	12.3294215	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
14	8	0	0.173320144	10.0978232	12.1700216	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
15	9	0	0.185700155	10.2042768	12.038972	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
16	9	0	0.198080165	10.3953932	11.9362483	9.34335489	15.5774708	2.56245393	0	0	0	0	0	3
