Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0122227913	101324.954	101324.954	101324.954	101324.954	0	0	0	0	0	0	3
2	3	0	0.0244455826	101324.879	101324.917	101324.879	101324.954	0.0373970844	0	0	0	0	0	3
3	4	0	0.0366683738	101325.203	101325.012	101324.879	101325.203	0.0955559451	0	0	0	0	0	3
4	4	0	0.0488911651	101325.139	101325.044	101324.879	101325.203	0.127166336	0	0	0	0	0	3
5	5	0	0.0611139564	101325.114	101325.058	101324.879	101325.203	0.141102185	0	0	0	0	0	3
6	5	0	0.0733367477	101325.109	101325.066	101324.879	101325.203	0.149653551	0	0	0	0	0	3
7	6	0	0.085559539	101325.135	101325.076	101324.879	101325.203	0.159524881	0	0	0	0	0	3
8	6	0	0.0977823303	101325.103	101325.08	101324.879	101325.203	0.16284905	0	0	0	0	0	3
9	7	0	0.110005122	101325.144	101325.087	101324.879	101325.203	0.170056965	0	0	0	0	0	3
10	7	0	0.122227913	101325.105	101325.089	101324.879	101325.203	0.171843975	0	0	0	0	0	3
11	8	0	0.134450704	101325.137	101325.093	101324.879	101325.203	0.176217162	0	0	0	0	0	3
12	8	0	0.146673495	101325.106	101325.094	101324.879	101325.203	0.177301703	0	0	0	0	0	3
13	8	0	0.158896287	101325.13	101325.097	101324.879	101325.203	0.180065095	0	0	0	0	0	3
14	9	0	0.171119078	101325.104	101325.097	101324.879	101325.203	0.180581107	0	0	0	0	0	3
15	9	0	0.183341869	101325.123	101325.099	101324.879	101325.203	0.182279695	0	0	0	0	0	3
16	10	0	0.195564661	101325.104	101325.099	101324.879	101325.203	0.18260637	0	0	0	0	0	3
17	10	0	0.207787452	101325.114	101325.1	101324.879	101325.203	0.183443154	0	0	0	0	0	3
18	11	0	0.220010243	101325.103	101325.1	101324.879	101325.203	0.1835854	0	0	0	0	0	3
19	11	0	0.232233034	101325.109	101325.101	101324.879	101325.203	0.184020912	0	0	0	0	0	3
20	12	0	0.244455826	101325.102	101325.101	101324.879	101325.203	0.18405984	0	0	0	0	0	3
21	12	0	0.256678617	101325.107	101325.101	101324.879	101325.203	0.184333283	0	0	0	0	0	3
22	13	0	0.268901408	101325.104	101325.101	101324.879	101325.203	0.184476259	0	0	0	0	0	3
23	13	0	0.2811242	101325.105	101325.101	101324.879	101325.203	0.184631471	0	0	0	0	0	3
24	14	0	0.293346991	101325.103	101325.101	101324.879	101325.203	0.184689561	0	0	0	0	0	3
25	14	0	0.305569782	101325.102	101325.101	101324.879	101325.203	0.184700377	0	0	0	0	0	3
26	14	0	0.317792573	101325.099	101325.101	101324.879	101325.203	0.184700377	0	0	0	0	0	3
27	15	0	0.330015365	101325.095	101325.101	101324.879	101325.203	0.184700377	0	0	0	0	0	3
28	15	0	0.342238156	101325.09	101325.101	101324.879	101325.203	0.184700377	0	0	0	0	0	3
29	16	0	0.354460947	101325.084	101325.1	101324.879	101325.203	0.184700377	0	0	0	0	0	3
30	16	0	0.366683738	101325.078	101325.099	101324.879	101325.203	0.184700377	0	0	0	0	0	3
31	16	0	0.37890653	101325.073	101325.099	101324.879	101325.203	0.184700377	0	0	0	0	0	3
32	17	0	0.391129321	101325.069	101325.098	101324.879	101325.203	0.184700377	0	0	0	0	0	3
33	17	0	0.403352112	101325.066	101325.097	101324.879	101325.203	0.184700377	0	0	0	0	0	3
34	18	0	0.415574904	101325.065	101325.096	101324.879	101325.203	0.184700377	0	0	0	0	0	3
35	18	0	0.427797695	101325.064	101325.095	101324.879	101325.203	0.184700377	0	0	0	0	0	3
36	19	0	0.440020486	101325.064	101325.094	101324.879	101325.203	0.184700377	0	0	0	0	0	3
37	19	0	0.452243277	101325.065	101325.093	101324.879	101325.203	0.184700377	0	0	0	0	0	3
38	19	0	0.464466069	101325.066	101325.092	101324.879	101325.203	0.184700377	0	0	0	0	0	3
39	20	0	0.47668886	101325.067	101325.092	101324.879	101325.203	0.184700377	0	0	0	0	0	3
40	20	0	0.488911651	101325.067	101325.091	101324.879	101325.203	0.184700377	0	0	0	0	0	3
41	21	0	0.501134443	101325.067	101325.091	101324.879	101325.203	0.184700377	0	0	0	0	0	3
42	21	0	0.513357234	101325.067	101325.093	101324.879	101325.203	0.184700377	0	0	0	0	0	3
43	22	0	0.525580025	101325.067	101325.098	101325.064	101325.203	0.0891444317	0	0	0	0	0	3
44	22	0	0.537802816	101325.066	101325.095	101325.064	101325.144	0.0575340408	0	0	0	0	0	3
45	23	0	0.550025608	101325.066	101325.093	101325.064	101325.144	0.0435981923	0	0	0	0	0	3
46	23	0	0.562248399	101325.066	101325.092	101325.064	101325.144	0.0350468259	0	0	0	0	0	3
47	23	0	0.57447119	101325.066	101325.091	101325.064	101325.144	0.0251754958	0	0	0	0	0	3
