Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0122561841	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0245123682	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0367685523	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0490247364	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0612809205	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0735371047	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0857932888	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.0980494729	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.110305657	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.122561841	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.134818025	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.147074209	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.159330393	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.171586578	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.183842762	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.196098946	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.20835513	0	0	0	0	0	0	0	0	0	0	3
18	10	0	0.220611314	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.232867498	0	0	0	0	0	0	0	0	0	0	3
20	11	0	0.245123682	0	0	0	0	0	0	0	0	0	0	3
21	11	0	0.257379866	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.26963605	0	0	0	0	0	0	0	0	0	0	3
23	12	0	0.281892235	0	0	0	0	0	0	0	0	0	0	3
24	12	0	0.294148419	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.306404603	0	0	0	0	0	0	0	0	0	0	3
26	13	0	0.318660787	0	0	0	0	0	0	0	0	0	0	3
27	13	0	0.330916971	0	0	0	0	0	0	0	0	0	0	3
28	14	0	0.343173155	0	0	0	0	0	0	0	0	0	0	3
29	14	0	0.355429339	0	0	0	0	0	0	0	0	0	0	3
30	14	0	0.367685523	0	0	0	0	0	0	0	0	0	0	3
31	15	0	0.379941707	0	0	0	0	0	0	0	0	0	0	3
32	16	0	0.392197892	0	0	0	0	0	0	0	0	0	0	3
33	16	0	0.404454076	0	0	0	0	0	0	0	0	0	0	3
34	16	0	0.41671026	0	0	0	0	0	0	0	0	0	0	3
35	17	0	0.428966444	0	0	0	0	0	0	0	0	0	0	3
36	17	0	0.441222628	0	0	0	0	0	0	0	0	0	0	3
37	18	0	0.453478812	0	0	0	0	0	0	0	0	0	0	3
38	18	0	0.465734996	0	0	0	0	0	0	0	0	0	0	3
39	18	0	0.47799118	0	0	0	0	0	0	0	0	0	0	3
40	19	0	0.490247364	0	0	0	0	0	0	0	0	0	0	3
41	19	0	0.502503549	0	0	0	0	0	0	0	0	0	0	3
42	20	0	0.514759733	0	0	0	0	0	0	0	0	0	0	3
43	20	0	0.527015917	0	0	0	0	0	0	0	0	0	0	3
44	21	0	0.539272101	0	0	0	0	0	0	0	0	0	0	3
45	21	0	0.551528285	0	0	0	0	0	0	0	0	0	0	3
46	21	0	0.563784469	0	0	0	0	0	0	0	0	0	0	3
47	22	0	0.576040653	0	0	0	0	0	0	0	0	0	0	3
48	22	0	0.588296837	0	0	0	0	0	0	0	0	0	0	3
49	23	0	0.600553021	0	0	0	0	0	0	0	0	0	0	3
50	23	0	0.612809205	0	0	0	0	0	0	0	0	0	0	3
51	24	0	0.62506539	0	0	0	0	0	0	0	0	0	0	3
