Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0111823289	293.200102	293.200102	293.200102	293.200102	0	0	0	0	0	0	3
2	3	0	0.0223646579	293.20009	293.200096	293.20009	293.200102	5.84453636e-06	0	0	0	0	0	3
3	3	0	0.0335469868	293.200098	293.200097	293.20009	293.200102	5.84453636e-06	0	0	0	0	0	3
4	4	0	0.0447293157	293.2001	293.200098	293.20009	293.200102	5.84453636e-06	0	0	0	0	0	3
5	4	0	0.0559116447	293.200102	293.200099	293.20009	293.200102	5.84453636e-06	0	0	0	0	0	3
6	5	0	0.0670939736	293.200105	293.2001	293.20009	293.200105	5.84453636e-06	0	0	0	0	0	3
7	6	0	0.0782763025	293.200108	293.200101	293.20009	293.200108	5.84453636e-06	0	0	0	0	0	3
8	6	0	0.0894586315	293.200111	293.200102	293.20009	293.200111	5.91311584e-06	0	0	0	0	0	3
9	7	0	0.10064096	293.200115	293.200103	293.20009	293.200115	7.34890784e-06	0	0	0	0	0	3
10	7	0	0.111823289	293.200119	293.200105	293.20009	293.200119	8.91491783e-06	0	0	0	0	0	3
11	8	0	0.123005618	293.200126	293.200107	293.20009	293.200126	1.08478566e-05	0	0	0	0	0	3
12	8	0	0.134187947	293.200135	293.200109	293.20009	293.200135	1.31525686e-05	0	0	0	0	0	3
13	9	0	0.145370276	293.200144	293.200112	293.20009	293.200144	1.58064095e-05	0	0	0	0	0	3
14	9	0	0.156552605	293.200154	293.200115	293.20009	293.200154	1.87942689e-05	0	0	0	0	0	3
15	10	0	0.167734934	293.200164	293.200118	293.20009	293.200164	2.20899885e-05	0	0	0	0	0	3
16	10	0	0.178917263	293.200181	293.200122	293.20009	293.200181	2.60251678e-05	0	0	0	0	0	3
17	11	0	0.190099592	293.200198	293.200127	293.20009	293.200198	3.0491144e-05	0	0	0	0	0	3
18	11	0	0.201281921	293.200215	293.200132	293.20009	293.200215	3.54035192e-05	0	0	0	0	0	3
19	12	0	0.21246425	293.200232	293.200137	293.20009	293.200232	4.06774533e-05	0	0	0	0	0	3
20	13	0	0.223646579	293.200247	293.200142	293.20009	293.200247	4.62091436e-05	0	0	0	0	0	3
21	14	0	0.234828908	293.200269	293.200148	293.20009	293.200269	5.22488793e-05	0	0	0	0	0	3
22	14	0	0.246011237	293.200288	293.200155	293.20009	293.200288	5.86026254e-05	0	0	0	0	0	3
23	15	0	0.257193565	293.200304	293.200161	293.20009	293.200304	6.50823031e-05	0	0	0	0	0	3
24	15	0	0.268375894	293.200316	293.200168	293.20009	293.200316	7.15274177e-05	0	0	0	0	0	3
25	16	0	0.279558223	293.200324	293.200174	293.20009	293.200324	7.77878457e-05	0	0	0	0	0	3
26	16	0	0.290740552	293.200327	293.20018	293.20009	293.200327	8.36723316e-05	0	0	0	0	0	3
27	17	0	0.301922881	293.20032	293.200185	293.20009	293.200327	8.88568309e-05	0	0	0	0	0	3
28	18	0	0.31310521	293.200303	293.200189	293.20009	293.200327	9.30693022e-05	0	0	0	0	0	3
29	18	0	0.324287539	293.200276	293.200192	293.20009	293.200327	9.60522455e-05	0	0	0	0	0	3
30	19	0	0.335469868	293.200241	293.200194	293.20009	293.200327	9.76783965e-05	0	0	0	0	0	3
31	19	0	0.346652197	293.200174	293.200193	293.20009	293.200327	9.76783965e-05	0	0	0	0	0	3
32	20	0	0.357834526	293.200101	293.20019	293.20009	293.200327	9.76783965e-05	0	0	0	0	0	3
33	21	0	0.369016855	293.200027	293.200185	293.200027	293.200327	9.76783965e-05	0	0	0	0	0	3
34	21	0	0.380199184	293.19996	293.200179	293.19996	293.200327	9.76783965e-05	0	0	0	0	0	3
35	22	0	0.391381513	293.1999	293.200171	293.1999	293.200327	9.76783965e-05	0	0	0	0	0	3
36	23	0	0.402563842	293.199835	293.200161	293.199835	293.200327	9.76783965e-05	0	0	0	0	0	3
37	23	0	0.413746171	293.199791	293.200151	293.199791	293.200327	9.76783965e-05	0	0	0	0	0	3
38	24	0	0.424928499	293.199763	293.200141	293.199763	293.200327	9.76783965e-05	0	0	0	0	0	3
39	24	0	0.436110828	293.199747	293.200131	293.199747	293.200327	9.76783965e-05	0	0	0	0	0	3
40	25	0	0.447293157	293.199739	293.200121	293.199739	293.200327	9.76783965e-05	0	0	0	0	0	3
41	26	0	0.458475486	293.199739	293.200112	293.199739	293.200327	9.76783965e-05	0	0	0	0	0	3
42	26	0	0.469657815	293.199739	293.200103	293.199739	293.200327	9.76783965e-05	0	0	0	0	0	3
43	27	0	0.480840144	293.199735	293.200095	293.199735	293.200327	9.92685797e-05	0	0	0	0	0	3
44	27	0	0.492022473	293.199734	293.200086	293.199734	293.200327	0.000107460594	0	0	0	0	0	3
45	28	0	0.503204802	293.19973	293.200078	293.19973	293.200327	0.000115387985	0	0	0	0	0	3
46	29	0	0.514387131	293.199726	293.20007	293.199726	293.200327	0.000123739966	0	0	0	0	0	3
47	29	0	0.52556946	293.19972	293.200062	293.19972	293.200327	0.000131979216	0	0	0	0	0	3
48	30	0	0.536751789	293.199719	293.200053	293.199719	293.200327	0.000140404418	0	0	0	0	0	3
49	30	0	0.547934118	293.199722	293.200045	293.199719	293.200327	0.000148786517	0	0	0	0	0	3
50	31	0	0.559116447	293.199729	293.200037	293.199719	293.200327	0.000157089237	0	0	0	0	0	3
51	32	0	0.570298776	293.199732	293.200028	293.199719	293.200327	0.00016537317	0	0	0	0	0	3
52	32	0	0.581481105	293.199732	293.20002	293.199719	293.200327	0.000173728929	0	0	0	0	0	3
53	33	0	0.592663433	293.199728	293.200012	293.199719	293.200327	0.000182242532	0	0	0	0	0	3
54	34	0	0.603845762	293.199725	293.200003	293.199719	293.200327	0.000190898511	0	0	0	0	0	3
55	35	0	0.615028091	293.199721	293.199994	293.199719	293.200327	0.000199752134	0	0	0	0	0	3
56	35	0	0.62621042	293.199718	293.199985	293.199718	293.200327	0.000208823779	0	0	0	0	0	3
57	36	0	0.637392749	293.199714	293.199976	293.199714	293.200327	0.000218177274	0	0	0	0	0	3
58	37	0	0.648575078	293.199713	293.199966	293.199713	293.200327	0.000227744095	0	0	0	0	0	3
59	37	0	0.659757407	293.199722	293.199956	293.199713	293.200327	0.000237347823	0	0	0	0	0	3
60	38	0	0.670939736	293.199725	293.199947	293.199713	293.200327	0.000247102349	0	0	0	0	0	3
61	39	0	0.682122065	293.199728	293.199937	293.199713	293.200327	0.000257178011	0	0	0	0	0	3
62	39	0	0.693304394	293.199727	293.199926	293.199713	293.200327	0.000267649343	0	0	0	0	0	3
63	40	0	0.704486723	293.199725	293.199915	293.199713	293.200327	0.000278545313	0	0	0	0	0	3
64	40	0	0.715669052	293.19972	293.199904	293.199713	293.200327	0.000289926765	0	0	0	0	0	3
65	41	0	0.726851381	293.199713	293.199892	293.199713	293.200327	0.000301807608	0	0	0	0	0	3
66	41	0	0.73803371	293.199709	293.19988	293.199709	293.200327	0.000314263838	0	0	0	0	0	3
67	42	0	0.749216039	293.199705	293.199867	293.199705	293.200327	0.000327221038	0	0	0	0	0	3
68	43	0	0.760398367	293.199714	293.199853	293.199705	293.200327	0.000340325145	0	0	0	0	0	3
69	43	0	0.771580696	293.199726	293.19984	293.199705	293.200327	0.000353437795	0	0	0	0	0	3
70	44	0	0.782763025	293.199739	293.199827	293.199705	293.200327	0.000366431248	0	0	0	0	0	3
71	45	0	0.793945354	293.19975	293.199815	293.199705	293.20032	0.000379255794	0	0	0	0	0	3
72	46	0	0.805127683	293.199746	293.199802	293.199705	293.200303	0.00039200453	0	0	0	0	0	3
73	46	0	0.816310012	293.19974	293.199789	293.199705	293.200276	0.000404518312	0	0	0	0	0	3
74	47	0	0.827492341	293.199735	293.199777	293.199705	293.200241	0.000416525608	0	0	0	0	0	3
75	48	0	0.83867467	293.199727	293.199766	293.199705	293.200174	0.000427318827	0	0	0	0	0	3
76	48	0	0.849856999	293.199724	293.199756	293.199705	293.200101	0.000395489001	0	0	0	0	0	3
77	49	0	0.861039328	293.199727	293.199748	293.199705	293.200027	0.000322288537	0	0	0	0	0	3
78	49	0	0.872221657	293.199734	293.199741	293.199705	293.19996	0.000254668056	0	0	0	0	0	3
79	50	0	0.883403986	293.199738	293.199736	293.199705	293.1999	0.000195403252	0	0	0	0	0	3
80	50	0	0.894586315	293.199736	293.199732	293.199705	293.199835	0.000130287079	0	0	0	0	0	3
81	51	0	0.905768644	293.199736	293.19973	293.199705	293.199791	8.56577596e-05	0	0	0	0	0	3
82	52	0	0.916950973	293.199734	293.199729	293.199705	293.199763	5.75778119e-05	0	0	0	0	0	3
83	52	0	0.928133301	293.199731	293.199728	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
84	53	0	0.93931563	293.199729	293.199728	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
85	53	0	0.950497959	293.199727	293.199728	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
86	54	0	0.961680288	293.199727	293.199727	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
87	54	0	0.972862617	293.199727	293.199727	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
88	55	0	0.984044946	293.199726	293.199727	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
89	56	0	0.995227275	293.199726	293.199727	293.199705	293.19975	4.47226098e-05	0	0	0	0	0	3
90	56	0	1.0064096	293.19973	293.199727	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
91	57	0	1.01759193	293.199731	293.199727	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
92	58	0	1.02877426	293.19973	293.199727	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
93	58	0	1.03995659	293.199731	293.199727	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
94	59	0	1.05113892	293.19973	293.199727	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
95	59	0	1.06232125	293.199735	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
96	60	0	1.07350358	293.199734	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
97	60	0	1.08468591	293.19973	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
98	61	0	1.09586824	293.199727	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
99	62	0	1.10705056	293.199725	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
100	62	0	1.11823289	293.199722	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
101	64	0	1.12941522	293.199724	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
102	64	0	1.14059755	293.199727	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
103	65	0	1.15177988	293.199736	293.199728	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
104	65	0	1.16296221	293.199745	293.199729	293.199705	293.19975	4.47226098e-05	1.86548156e-05	0	0	0	0	3
105	66	0	1.17414454	293.199755	293.19973	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
106	66	0	1.18532687	293.199753	293.19973	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
107	67	0	1.1965092	293.199746	293.199731	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
108	68	0	1.20769152	293.199739	293.199731	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
109	68	0	1.21887385	293.199735	293.199731	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
110	69	0	1.23005618	293.199726	293.199732	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
111	69	0	1.24123851	293.199722	293.199732	293.199705	293.199755	5.00791235e-05	1.86548156e-05	0	0	0	0	3
112	70	0	1.25242084	293.199728	293.199732	293.199714	293.199755	4.10860175e-05	1.86548156e-05	0	0	0	0	3
113	70	0	1.26360317	293.199731	293.199733	293.199722	293.199755	3.31520978e-05	1.86548156e-05	0	0	0	0	3
114	71	0	1.2747855	293.199733	293.199733	293.199722	293.199755	3.31520978e-05	1.86548156e-05	0	0	0	0	3
