Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0101066344
2	4	0	0.0202132689
3	5	0	0.0303199033
4	6	0	0.0404265378
5	7	0	0.0505331722
6	8	0	0.0606398066
7	9	0	0.0707464411
8	10	0	0.0808530755
9	11	0	0.0909597099
10	11	0	0.101066344
11	12	0	0.111172979
12	13	0	0.121279613
13	14	0	0.131386248
14	15	0	0.141492882
15	15	0	0.151599517
16	16	0	0.161706151
17	17	0	0.171812785
18	18	0	0.18191942
19	19	0	0.192026054
20	20	0	0.202132689
21	20	0	0.212239323
22	21	0	0.222345958
23	22	0	0.232452592
24	23	0	0.242559227
25	24	0	0.252665861
26	25	0	0.262772495
27	26	0	0.27287913
28	27	0	0.282985764
29	27	0	0.293092399
30	28	0	0.303199033
31	29	0	0.313305668
32	30	0	0.323412302
33	31	0	0.333518936
34	32	0	0.343625571
35	33	0	0.353732205
36	34	0	0.36383884
37	35	0	0.373945474
38	36	0	0.384052109
39	37	0	0.394158743
40	38	0	0.404265378
41	39	0	0.414372012
42	39	0	0.424478646
43	41	0	0.434585281
44	42	0	0.444691915
45	43	0	0.45479855
46	44	0	0.464905184
47	44	0	0.475011819
48	45	0	0.485118453
49	46	0	0.495225087
50	47	0	0.505331722
51	48	0	0.515438356
52	49	0	0.525544991
53	50	0	0.535651625
54	51	0	0.54575826
55	52	0	0.555864894
56	53	0	0.565971529
57	53	0	0.576078163
58	54	0	0.586184797
59	55	0	0.596291432
60	56	0	0.606398066
61	57	0	0.616504701
62	58	0	0.626611335
63	59	0	0.63671797
64	59	0	0.646824604
65	60	0	0.656931238
66	61	0	0.667037873
67	62	0	0.677144507
68	63	0	0.687251142
69	63	0	0.697357776
70	64	0	0.707464411
71	65	0	0.717571045
72	66	0	0.72767768
73	67	0	0.737784314
74	68	0	0.747890948
75	68	0	0.757997583
76	69	0	0.768104217
77	70	0	0.778210852
78	71	0	0.788317486
79	72	0	0.798424121
80	73	0	0.808530755
81	74	0	0.818637389
82	75	0	0.828744024
83	75	0	0.838850658
84	76	0	0.848957293
85	77	0	0.859063927
86	78	0	0.869170562
87	79	0	0.879277196
88	80	0	0.889383831
89	80	0	0.899490465
90	81	0	0.909597099
91	82	0	0.919703734
92	83	0	0.929810368
93	84	0	0.939917003
94	85	0	0.950023637
95	86	0	0.960130272
96	87	0	0.970236906
97	88	0	0.98034354
98	88	0	0.990450175
99	89	0	1.00055681
100	90	0	1.01066344
101	92	0	1.02077008
102	93	0	1.03087671
103	94	0	1.04098335
104	95	0	1.05108998
105	96	0	1.06119662
106	97	0	1.07130325
107	98	0	1.08140988
108	98	0	1.09151652
109	99	0	1.10162315
110	100	0	1.11172979
111	101	0	1.12183642
112	102	0	1.13194306
113	103	0	1.14204969
114	104	0	1.15215633
115	105	0	1.16226296
116	106	0	1.17236959
117	107	0	1.18247623
