Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0101076641	-1921.82183	-1921.82183	-1921.82183	-1921.82183	0	0	0	0	0	0	3
2	5	0	0.0202153282	-180.550781	-1051.1863	-1921.82183	-180.550781	870.635522	0	0	0	0	0	3
3	5	0	0.0303229922	-76.1468344	-726.173147	-1921.82183	-76.1468344	1195.64868	0	0	0	0	0	3
4	6	0	0.0404306563	-45.4745116	-555.998488	-1921.82183	-45.4745116	1365.82334	0	0	0	0	0	3
5	7	0	0.0505383204	-57.2765997	-456.25411	-1921.82183	-45.4745116	1465.56771	0	0	0	0	0	3
6	8	0	0.0606459845	-48.0195359	-388.215015	-1921.82183	-45.4745116	1533.60681	0	0	0	0	0	3
7	8	0	0.0707536485	-53.2140661	-340.357736	-1921.82183	-45.4745116	1581.46409	0	0	0	0	0	3
8	9	0	0.0808613126	-46.7598753	-303.658004	-1921.82183	-45.4745116	1618.16382	0	0	0	0	0	3
9	10	0	0.0909689767	-49.3146028	-275.397626	-1921.82183	-45.4745116	1646.4242	0	0	0	0	0	3
10	10	0	0.101076641	-45.2052618	-252.378389	-1921.82183	-45.2052618	1669.44344	0	0	0	0	0	3
11	11	0	0.111184305	-44.752198	-233.503281	-1921.82183	-44.752198	1688.31854	0	0	0	0	0	3
12	12	0	0.121291969	-42.8026847	-217.611565	-1921.82183	-42.8026847	1704.21026	0	0	0	0	0	3
13	13	0	0.131399633	-42.7060418	-204.157294	-1921.82183	-42.7060418	1717.66453	0	0	0	0	0	3
14	13	0	0.141507297	-41.3807225	-192.530396	-1921.82183	-41.3807225	1729.29143	0	0	0	0	0	3
15	14	0	0.151614961	-41.1876521	-182.44088	-1921.82183	-41.1876521	1739.38095	0	0	0	0	0	3
16	15	0	0.161722625	-40.3034484	-173.55729	-1921.82183	-40.3034484	1748.26454	0	0	0	0	0	3
17	16	0	0.171830289	-40.0235812	-165.702366	-1921.82183	-40.0235812	1756.11946	0	0	0	0	0	3
18	16	0	0.181937953	-39.3600389	-158.683348	-1921.82183	-39.3600389	1763.13848	0	0	0	0	0	3
19	17	0	0.192045617	-38.9735088	-152.38283	-1921.82183	-38.9735088	1769.439	0	0	0	0	0	3
20	18	0	0.202153282	-38.6392017	-146.695649	-1921.82183	-38.6392017	1775.12618	0	0	0	0	0	3
21	18	0	0.212260946	-38.2798085	-141.53299	-1921.82183	-38.2798085	1780.28884	0	0	0	0	0	3
22	19	0	0.22236861	-38.0710396	-136.830174	-1921.82183	-38.0710396	1784.99165	0	0	0	0	0	3
23	20	0	0.232476274	-37.8016446	-132.524585	-1921.82183	-37.8016446	1789.29724	0	0	0	0	0	3
24	21	0	0.242583938	-37.456714	-128.563424	-1921.82183	-37.456714	1793.2584	0	0	0	0	0	3
25	21	0	0.252691602	-37.1801502	-124.908093	-1921.82183	-37.1801502	1796.91373	0	0	0	0	0	3
26	22	0	0.262799266	-37.1960206	-121.534552	-1921.82183	-37.1801502	1800.28727	0	0	0	0	0	3
27	23	0	0.27290693	-36.9851911	-118.403094	-1921.82183	-36.9851911	1803.41873	0	0	0	0	0	3
28	24	0	0.283014594	-36.8534396	-115.490606	-1921.82183	-36.8534396	1806.33122	0	0	0	0	0	3
29	25	0	0.293122258	-36.6862405	-112.773215	-1921.82183	-36.6862405	1809.04861	0	0	0	0	0	3
30	26	0	0.303229922	-36.5671704	-110.233013	-1921.82183	-36.5671704	1811.58881	0	0	0	0	0	3
31	27	0	0.313337586	-36.2539657	-107.846592	-1921.82183	-36.2539657	1813.97523	0	0	0	0	0	3
32	28	0	0.32344525	-35.9849979	-105.600917	-1921.82183	-35.9849979	1816.22091	0	0	0	0	0	3
