Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	5	0	0.0101074414	-2523.22435	-2523.22435	-2523.22435	-2523.22435	0	0	0	0	0	0	3
2	6	0	0.0202148828	-127.249857	-1325.2371	-2523.22435	-127.249857	1197.98725	0	0	0	0	0	3
3	7	0	0.0303223243	-27.7600949	-892.744768	-2523.22435	-27.7600949	1630.47958	0	0	0	0	0	3
4	8	0	0.0404297657	-46.8088767	-681.260795	-2523.22435	-27.7600949	1841.96356	0	0	0	0	0	3
5	9	0	0.0505372071	-37.7575155	-552.560139	-2523.22435	-27.7600949	1970.66421	0	0	0	0	0	3
6	10	0	0.0606446485	-50.6107606	-468.90191	-2523.22435	-27.7600949	2054.32244	0	0	0	0	0	3
7	10	0	0.0707520899	-41.8940958	-407.900793	-2523.22435	-27.7600949	2115.32356	0	0	0	0	0	3
8	11	0	0.0808595313	-45.4907872	-362.599543	-2523.22435	-27.7600949	2160.62481	0	0	0	0	0	3
9	12	0	0.0909669728	-39.5424489	-326.70431	-2523.22435	-27.7600949	2196.52004	0	0	0	0	0	3
10	12	0	0.101074414	-44.8365889	-298.517538	-2523.22435	-27.7600949	2224.70681	0	0	0	0	0	3
11	13	0	0.111181856	-41.8058921	-275.180115	-2523.22435	-27.7600949	2248.04424	0	0	0	0	0	3
12	14	0	0.121289297	-46.3050711	-256.107195	-2523.22435	-27.7600949	2267.11716	0	0	0	0	0	3
13	14	0	0.131396738	-46.7455172	-240.002451	-2523.22435	-27.7600949	2283.2219	0	0	0	0	0	3
14	15	0	0.14150418	-47.3574924	-226.242096	-2523.22435	-27.7600949	2296.98226	0	0	0	0	0	3
15	16	0	0.151611621	-45.8372256	-214.215105	-2523.22435	-27.7600949	2309.00925	0	0	0	0	0	3
16	16	0	0.161719063	-47.6811118	-203.80673	-2523.22435	-27.7600949	2319.41762	0	0	0	0	0	3
17	17	0	0.171826504	-45.9908452	-194.523443	-2523.22435	-27.7600949	2328.70091	0	0	0	0	0	3
18	18	0	0.181933946	-48.6244996	-186.417946	-2523.22435	-27.7600949	2336.80641	0	0	0	0	0	3
19	19	0	0.192041387	-46.1464526	-179.035236	-2523.22435	-27.7600949	2344.18912	0	0	0	0	0	3
20	19	0	0.202148828	-46.084794	-172.387714	-2523.22435	-27.7600949	2350.83664	0	0	0	0	0	3
21	20	0	0.21225627	-43.5161072	-166.250971	-2523.22435	-27.7600949	2356.97338	0	0	0	0	0	3
22	21	0	0.222363711	-46.413605	-160.803818	-2523.22435	-27.7600949	2362.42053	0	0	0	0	0	3
23	21	0	0.232471153	-47.4624912	-155.875934	-2523.22435	-27.7600949	2367.34842	0	0	0	0	0	3
24	22	0	0.242578594	-49.0495298	-151.424834	-2523.22435	-27.7600949	2371.79952	0	0	0	0	0	3
25	23	0	0.252686035	-48.8802064	-147.323049	-2523.22435	-27.7600949	2375.9013	0	0	0	0	0	3
26	24	0	0.262793477	-48.5972251	-143.525902	-2523.22435	-27.7600949	2379.69845	0	0	0	0	0	3
27	24	0	0.272900918	-49.4470951	-140.041501	-2523.22435	-27.7600949	2383.18285	0	0	0	0	0	3
28	25	0	0.28300836	-50.3576755	-136.838508	-2523.22435	-27.7600949	2386.38584	0	0	0	0	0	3
29	26	0	0.293115801	-51.3985637	-133.892303	-2523.22435	-27.7600949	2389.33205	0	0	0	0	0	3
30	27	0	0.303223243	-53.0297001	-131.196883	-2523.22435	-27.7600949	2392.02747	0	0	0	0	0	3
31	28	0	0.313330684	-52.9670368	-128.673339	-2523.22435	-27.7600949	2394.55101	0	0	0	0	0	3
32	28	0	0.323438125	-52.9567831	-126.307197	-2523.22435	-27.7600949	2396.91716	0	0	0	0	0	3
33	29	0	0.333545567	-52.5859964	-124.073221	-2523.22435	-27.7600949	2399.15113	0	0	0	0	0	3
34	30	0	0.343653008	-51.5289266	-121.939565	-2523.22435	-27.7600949	2401.28479	0	0	0	0	0	3
35	31	0	0.35376045	-50.6747293	-119.903427	-2523.22435	-27.7600949	2403.32093	0	0	0	0	0	3
36	32	0	0.363867891	-52.188758	-118.022464	-2523.22435	-27.7600949	2405.20189	0	0	0	0	0	3
37	33	0	0.373975332	-51.8378972	-116.233692	-2523.22435	-27.7600949	2406.99066	0	0	0	0	0	3
38	33	0	0.384082774	-53.1093141	-114.572524	-2523.22435	-27.7600949	2408.65183	0	0	0	0	0	3
39	34	0	0.394190215	-52.6652499	-112.985158	-2523.22435	-27.7600949	2410.23919	0	0	0	0	0	3
40	35	0	0.404297657	-52.8747445	-111.482398	-2523.22435	-27.7600949	2411.74195	0	0	0	0	0	3
41	36	0	0.414405098	-51.800143	-110.026733	-2523.22435	-27.7600949	2413.19762	0	0	0	0	0	3
42	37	0	0.42451254	-51.2372959	-108.626985	-2523.22435	-27.7600949	2414.59737	0	0	0	0	0	3
43	37	0	0.434619981	-50.8164503	-107.282554	-2523.22435	-27.7600949	2415.9418	0	0	0	0	0	3
44	38	0	0.444727422	-51.6237068	-106.01758	-2523.22435	-27.7600949	2417.20677	0	0	0	0	0	3
45	39	0	0.454834864	-51.5630907	-104.80748	-2523.22435	-27.7600949	2418.41687	0	0	0	0	0	3
46	40	0	0.464942305	-52.9394872	-103.679915	-2523.22435	-27.7600949	2419.54444	0	0	0	0	0	3
47	41	0	0.475049747	-52.569056	-102.59245	-2523.22435	-27.7600949	2420.6319	0	0	0	0	0	3
48	42	0	0.485157188	-53.8004009	-101.575949	-2523.22435	-27.7600949	2421.6484	0	0	0	0	0	3
49	43	0	0.495264629	-53.6942531	-100.598771	-2523.22435	-27.7600949	2422.62558	0	0	0	0	0	3
50	44	0	0.505372071	-53.3803436	-99.6544028	-2523.22435	-27.7600949	2423.56995	0	0	0	0	0	3
51	44	0	0.515479512	-53.9363735	-50.2686433	-127.249857	-27.7600949	99.4897618	0	0	0	0	0	3
52	45	0	0.525586954	-54.6339831	-48.8163258	-54.6339831	-27.7600949	26.8738881	0	0	0	0	0	3
53	46	0	0.535694395	-53.7326933	-49.3357778	-54.6339831	-37.7575155	16.8764676	0	0	0	0	0	3
54	47	0	0.545801837	-53.8231632	-49.4760635	-54.6339831	-37.7575155	16.8764676	0	0	0	0	0	3
55	48	0	0.555909278	-53.2247301	-49.7854078	-54.6339831	-39.5424489	15.0915342	0	0	0	0	0	3
56	49	0	0.566016719	-52.665184	-49.8264962	-54.6339831	-39.5424489	15.0915342	0	0	0	0	0	3
57	49	0	0.576124161	-52.1193289	-50.0310009	-54.6339831	-39.5424489	15.0915342	0	0	0	0	0	3
58	50	0	0.586231602	-52.8586097	-50.1783574	-54.6339831	-39.5424489	15.0915342	0	0	0	0	0	3
59	51	0	0.596339044	-52.3468245	-50.4344449	-54.6339831	-41.8058921	12.828091	0	0	0	0	0	3
60	52	0	0.606446485	-52.5925031	-50.5895632	-54.6339831	-41.8058921	12.828091	0	0	0	0	0	3
61	53	0	0.616553926	-52.1490441	-50.7964262	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
62	54	0	0.626661368	-52.180138	-50.9139275	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
63	55	0	0.636768809	-52.6462202	-51.0319416	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
64	56	0	0.646876251	-52.2095565	-51.1289829	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
65	57	0	0.656983692	-53.7042776	-51.2863239	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
66	58	0	0.667091134	-54.5076477	-51.4228546	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
67	59	0	0.677198575	-53.527557	-51.5735889	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
68	60	0	0.687306016	-53.8001533	-51.6771019	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
69	62	0	0.697413458	-52.9346822	-51.8128665	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
70	62	0	0.707520899	-53.3326885	-51.9578244	-54.6339831	-43.5161072	11.1178759	0	0	0	0	0	3
71	63	0	0.717628341	-52.1062636	-52.1296276	-54.6339831	-46.413605	8.22037809	0	0	0	0	0	3
72	64	0	0.727735782	-51.5845711	-52.2330469	-54.6339831	-47.4624912	7.17149186	0	0	0	0	0	3
73	65	0	0.737843223	-51.2904993	-52.309607	-54.6339831	-48.5972251	6.03675797	0	0	0	0	0	3
74	66	0	0.747950665	-51.9025296	-52.366667	-54.6339831	-48.5972251	6.03675797	0	0	0	0	0	3
75	67	0	0.758058106	-51.7091065	-52.423245	-54.6339831	-48.5972251	6.03675797	0	0	0	0	0	3
76	68	0	0.768165548	-51.8980705	-52.4892619	-54.6339831	-49.4470951	5.18688793	0	0	0	0	0	3
