Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0101130138	3017.70612	3017.70612	3017.70612	3017.70612	0	0	0	0	0	0	3
2	7	0	0.0202260276	191.036941	1604.37153	191.036941	3017.70612	1413.33459	0	0	0	0	0	3
3	8	0	0.0303390415	81.8869464	1096.87667	81.8869464	3017.70612	1920.82945	0	0	0	0	0	3
4	9	0	0.0404520553	46.8732165	834.375806	46.8732165	3017.70612	2183.33031	0	0	0	0	0	3
5	10	0	0.0505650691	65.0697885	680.514603	46.8732165	3017.70612	2337.19152	0	0	0	0	0	3
6	10	0	0.0606780829	61.1578686	577.28848	46.8732165	3017.70612	2440.41764	0	0	0	0	0	3
7	11	0	0.0707910967	60.3166632	503.435364	46.8732165	3017.70612	2514.27076	0	0	0	0	0	3
8	12	0	0.0809041105	59.7953375	447.98036	46.8732165	3017.70612	2569.72576	0	0	0	0	0	3
9	13	0	0.0910171244	58.4439213	404.698534	46.8732165	3017.70612	2613.00759	0	0	0	0	0	3
10	14	0	0.101130138	60.2610619	370.254787	46.8732165	3017.70612	2647.45133	0	0	0	0	0	3
11	15	0	0.111243152	59.401699	341.995415	46.8732165	3017.70612	2675.71071	0	0	0	0	0	3
12	16	0	0.121356166	64.620737	318.880858	46.8732165	3017.70612	2698.82526	0	0	0	0	0	3
13	16	0	0.13146918	63.2994009	299.220746	46.8732165	3017.70612	2718.48537	0	0	0	0	0	3
14	17	0	0.141582193	65.0557623	282.494676	46.8732165	3017.70612	2735.21144	0	0	0	0	0	3
15	18	0	0.151695207	64.0165455	267.929467	46.8732165	3017.70612	2749.77665	0	0	0	0	0	3
16	19	0	0.161808221	64.256827	255.199927	46.8732165	3017.70612	2762.50619	0	0	0	0	0	3
17	20	0	0.171921235	63.4330404	243.919522	46.8732165	3017.70612	2773.7866	0	0	0	0	0	3
18	21	0	0.182034249	63.9108016	233.919038	46.8732165	3017.70612	2783.78708	0	0	0	0	0	3
19	22	0	0.192147263	64.4347368	224.998811	46.8732165	3017.70612	2792.70731	0	0	0	0	0	3
20	23	0	0.202260276	64.3584265	216.966792	46.8732165	3017.70612	2800.73933	0	0	0	0	0	3
21	23	0	0.21237329	64.0274517	209.683966	46.8732165	3017.70612	2808.02215	0	0	0	0	0	3
22	24	0	0.222486304	63.8624747	203.055717	46.8732165	3017.70612	2814.6504	0	0	0	0	0	3
23	25	0	0.232599318	63.5321121	196.989473	46.8732165	3017.70612	2820.71665	0	0	0	0	0	3
24	26	0	0.242712332	63.7074001	191.436053	46.8732165	3017.70612	2826.27007	0	0	0	0	0	3
25	27	0	0.252825345	62.403819	186.274764	46.8732165	3017.70612	2831.43136	0	0	0	0	0	3
26	27	0	0.262938359	62.4522154	181.512358	46.8732165	3017.70612	2836.19376	0	0	0	0	0	3
27	28	0	0.273051373	62.5275197	177.105512	46.8732165	3017.70612	2840.60061	0	0	0	0	0	3
28	29	0	0.283164387	62.7558988	173.021598	46.8732165	3017.70612	2844.68452	0	0	0	0	0	3
29	30	0	0.293277401	62.4030086	169.207164	46.8732165	3017.70612	2848.49896	0	0	0	0	0	3
30	31	0	0.303390415	63.2291273	165.674562	46.8732165	3017.70612	2852.03156	0	0	0	0	0	3
31	32	0	0.313503428	62.9354572	162.360398	46.8732165	3017.70612	2855.34572	0	0	0	0	0	3
32	33	0	0.323616442	62.5970877	159.242794	46.8732165	3017.70612	2858.46333	0	0	0	0	0	3
33	34	0	0.333729456	62.0552912	156.297718	46.8732165	3017.70612	2861.4084	0	0	0	0	0	3
34	35	0	0.34384247	62.3980857	153.535964	46.8732165	3017.70612	2864.17016	0	0	0	0	0	3
35	36	0	0.353955484	63.1649166	150.953935	46.8732165	3017.70612	2866.75219	0	0	0	0	0	3
36	37	0	0.364068497	63.3887184	148.521567	46.8732165	3017.70612	2869.18455	0	0	0	0	0	3
37	38	0	0.374181511	63.3260676	146.218986	46.8732165	3017.70612	2871.48713	0	0	0	0	0	3
38	39	0	0.384294525	63.0071482	144.029201	46.8732165	3017.70612	2873.67692	0	0	0	0	0	3
39	40	0	0.394407539	63.0473591	141.952744	46.8732165	3017.70612	2875.75338	0	0	0	0	0	3
40	41	0	0.404520553	62.6157643	139.969319	46.8732165	3017.70612	2877.7368	0	0	0	0	0	3
41	42	0	0.414633567	62.3733296	138.076734	46.8732165	3017.70612	2879.62939	0	0	0	0	0	3
42	43	0	0.42474658	62.4140892	136.275243	46.8732165	3017.70612	2881.43088	0	0	0	0	0	3
43	44	0	0.434859594	63.1011256	134.573519	46.8732165	3017.70612	2883.1326	0	0	0	0	0	3
44	45	0	0.444972608	63.8389152	132.965914	46.8732165	3017.70612	2884.74021	0	0	0	0	0	3
45	46	0	0.455085622	64.9290212	131.453983	46.8732165	3017.70612	2886.25214	0	0	0	0	0	3
46	47	0	0.465198636	65.3000754	130.015855	46.8732165	3017.70612	2887.69027	0	0	0	0	0	3
47	48	0	0.475311649	66.358278	128.661438	46.8732165	3017.70612	2889.04468	0	0	0	0	0	3
48	49	0	0.485424663	66.4075726	127.364483	46.8732165	3017.70612	2890.34164	0	0	0	0	0	3
49	50	0	0.495537677	66.435184	126.121028	46.8732165	3017.70612	2891.58509	0	0	0	0	0	3
50	51	0	0.505650691	66.388438	124.926376	46.8732165	3017.70612	2892.77974	0	0	0	0	0	3
51	52	0	0.515763705	67.0102801	65.9124591	46.8732165	191.036941	144.163725	0	0	0	0	0	3
52	53	0	0.525876719	67.5708423	63.4431371	46.8732165	81.8869464	35.0137299	0	0	0	0	0	3
53	54	0	0.535989732	68.0770842	63.1669399	46.8732165	68.0770842	21.2038678	0	0	0	0	0	3
54	55	0	0.546102746	68.2963634	63.5954028	58.4439213	68.2963634	9.85244214	0	0	0	0	0	3
55	56	0	0.55621576	68.5431205	63.6648694	58.4439213	68.5431205	10.0991992	0	0	0	0	0	3
56	57	0	0.566328774	68.6661135	63.8150343	58.4439213	68.6661135	10.2221922	0	0	0	0	0	3
57	58	0	0.576441788	68.2878511	63.9744581	58.4439213	68.6661135	10.2221922	0	0	0	0	0	3
58	60	0	0.586554801	67.762592	64.1338032	58.4439213	68.6661135	10.2221922	0	0	0	0	0	3
