Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0101222912	0	0	0	0	0	0	0	0	0	0	3
2	7	0	0.0202445824	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.0303668736	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0404891648	0	0	0	0	0	0	0	0	0	0	3
5	9	0	0.050611456	0	0	0	0	0	0	0	0	0	0	3
6	10	0	0.0607337472	0	0	0	0	0	0	0	0	0	0	3
7	11	0	0.0708560384	0	0	0	0	0	0	0	0	0	0	3
8	12	0	0.0809783296	0	0	0	0	0	0	0	0	0	0	3
9	12	0	0.0911006208	0	0	0	0	0	0	0	0	0	0	3
10	13	0	0.101222912	0	0	0	0	0	0	0	0	0	0	3
11	14	0	0.111345203	0	0	0	0	0	0	0	0	0	0	3
12	15	0	0.121467494	0	0	0	0	0	0	0	0	0	0	3
13	16	0	0.131589786	0	0	0	0	0	0	0	0	0	0	3
14	17	0	0.141712077	0	0	0	0	0	0	0	0	0	0	3
15	18	0	0.151834368	0	0	0	0	0	0	0	0	0	0	3
16	19	0	0.161956659	0	0	0	0	0	0	0	0	0	0	3
17	20	0	0.17207895	0	0	0	0	0	0	0	0	0	0	3
18	21	0	0.182201242	0	0	0	0	0	0	0	0	0	0	3
19	21	0	0.192323533	0	0	0	0	0	0	0	0	0	0	3
20	22	0	0.202445824	0	0	0	0	0	0	0	0	0	0	3
21	23	0	0.212568115	0	0	0	0	0	0	0	0	0	0	3
22	24	0	0.222690406	0	0	0	0	0	0	0	0	0	0	3
23	25	0	0.232812698	0	0	0	0	0	0	0	0	0	0	3
24	26	0	0.242934989	0	0	0	0	0	0	0	0	0	0	3
25	27	0	0.25305728	0	0	0	0	0	0	0	0	0	0	3
26	28	0	0.263179571	0	0	0	0	0	0	0	0	0	0	3
27	29	0	0.273301862	0	0	0	0	0	0	0	0	0	0	3
28	29	0	0.283424154	0	0	0	0	0	0	0	0	0	0	3
29	30	0	0.293546445	0	0	0	0	0	0	0	0	0	0	3
30	31	0	0.303668736	0	0	0	0	0	0	0	0	0	0	3
31	32	0	0.313791027	0	0	0	0	0	0	0	0	0	0	3
32	33	0	0.323913318	0	0	0	0	0	0	0	0	0	0	3
33	34	0	0.33403561	0	0	0	0	0	0	0	0	0	0	3
34	35	0	0.344157901	0	0	0	0	0	0	0	0	0	0	3
35	36	0	0.354280192	0	0	0	0	0	0	0	0	0	0	3
36	37	0	0.364402483	0	0	0	0	0	0	0	0	0	0	3
37	38	0	0.374524774	0	0	0	0	0	0	0	0	0	0	3
38	39	0	0.384647066	0	0	0	0	0	0	0	0	0	0	3
39	41	0	0.394769357	0	0	0	0	0	0	0	0	0	0	3
40	42	0	0.404891648	0	0	0	0	0	0	0	0	0	0	3
41	43	0	0.415013939	0	0	0	0	0	0	0	0	0	0	3
42	44	0	0.42513623	0	0	0	0	0	0	0	0	0	0	3
43	45	0	0.435258522	0	0	0	0	0	0	0	0	0	0	3
44	46	0	0.445380813	0	0	0	0	0	0	0	0	0	0	3
45	48	0	0.455503104	0	0	0	0	0	0	0	0	0	0	3
46	50	0	0.465625395	0	0	0	0	0	0	0	0	0	0	3
47	51	0	0.475747686	0	0	0	0	0	0	0	0	0	0	3
48	52	0	0.485869978	0	0	0	0	0	0	0	0	0	0	3
49	54	0	0.495992269	0	0	0	0	0	0	0	0	0	0	3
50	55	0	0.50611456	0	0	0	0	0	0	0	0	0	0	3
51	56	0	0.516236851	0	0	0	0	0	0	0	0	0	0	3
52	57	0	0.526359143	0	0	0	0	0	0	0	0	0	0	3
53	58	0	0.536481434	0	0	0	0	0	0	0	0	0	0	3
54	60	0	0.546603725	0	0	0	0	0	0	0	0	0	0	3
55	61	0	0.556726016	0	0	0	0	0	0	0	0	0	0	3
56	62	0	0.566848307	0	0	0	0	0	0	0	0	0	0	3
57	63	0	0.576970599	0	0	0	0	0	0	0	0	0	0	3
58	64	0	0.58709289	0	0	0	0	0	0	0	0	0	0	3
59	65	0	0.597215181	0	0	0	0	0	0	0	0	0	0	3
60	66	0	0.607337472	0	0	0	0	0	0	0	0	0	0	3
61	67	0	0.617459763	0	0	0	0	0	0	0	0	0	0	3
62	68	0	0.627582055	0	0	0	0	0	0	0	0	0	0	3
63	69	0	0.637704346	0	0	0	0	0	0	0	0	0	0	3
64	70	0	0.647826637	0	0	0	0	0	0	0	0	0	0	3
65	72	0	0.657948928	0	0	0	0	0	0	0	0	0	0	3
66	73	0	0.668071219	0	0	0	0	0	0	0	0	0	0	3
67	74	0	0.678193511	0	0	0	0	0	0	0	0	0	0	3
68	75	0	0.688315802	0	0	0	0	0	0	0	0	0	0	3
69	76	0	0.698438093	0	0	0	0	0	0	0	0	0	0	3
70	78	0	0.708560384	0	0	0	0	0	0	0	0	0	0	3
71	79	0	0.718682675	0	0	0	0	0	0	0	0	0	0	3
72	80	0	0.728804967	0	0	0	0	0	0	0	0	0	0	3
73	81	0	0.738927258	0	0	0	0	0	0	0	0	0	0	3
74	83	0	0.749049549	0	0	0	0	0	0	0	0	0	0	3
75	84	0	0.75917184	0	0	0	0	0	0	0	0	0	0	3
76	85	0	0.769294131	0	0	0	0	0	0	0	0	0	0	3
77	86	0	0.779416423	0	0	0	0	0	0	0	0	0	0	3
78	88	0	0.789538714	0	0	0	0	0	0	0	0	0	0	3
79	89	0	0.799661005	0	0	0	0	0	0	0	0	0	0	3
80	91	0	0.809783296	0	0	0	0	0	0	0	0	0	0	3
81	92	0	0.819905587	0	0	0	0	0	0	0	0	0	0	3
82	94	0	0.830027879	0	0	0	0	0	0	0	0	0	0	3
83	95	0	0.84015017	0	0	0	0	0	0	0	0	0	0	3
84	96	0	0.850272461	0	0	0	0	0	0	0	0	0	0	3
85	97	0	0.860394752	0	0	0	0	0	0	0	0	0	0	3
86	98	0	0.870517043	0	0	0	0	0	0	0	0	0	0	3
87	99	0	0.880639335	0	0	0	0	0	0	0	0	0	0	3
88	100	0	0.890761626	0	0	0	0	0	0	0	0	0	0	3
89	101	0	0.900883917	0	0	0	0	0	0	0	0	0	0	3
90	102	0	0.911006208	0	0	0	0	0	0	0	0	0	0	3
91	103	0	0.921128499	0	0	0	0	0	0	0	0	0	0	3
92	104	0	0.931250791	0	0	0	0	0	0	0	0	0	0	3
93	105	0	0.941373082	0	0	0	0	0	0	0	0	0	0	3
94	106	0	0.951495373	0	0	0	0	0	0	0	0	0	0	3
95	107	0	0.961617664	0	0	0	0	0	0	0	0	0	0	3
96	108	0	0.971739955	0	0	0	0	0	0	0	0	0	0	3
97	109	0	0.981862247	0	0	0	0	0	0	0	0	0	0	3
98	111	0	0.991984538	0	0	0	0	0	0	0	0	0	0	3
99	112	0	1.00210683	0	0	0	0	0	5e-06	0	0	0	0	3
100	113	0	1.01222912	0	0	0	0	0	5e-06	0	0	0	0	3
101	115	0	1.02235141	0	0	0	0	0	5e-06	0	0	0	0	3
102	116	0	1.0324737	0	0	0	0	0	5e-06	0	0	0	0	3
103	117	0	1.04259599	0	0	0	0	0	5e-06	0	0	0	0	3
104	118	0	1.05271829	0	0	0	0	0	5e-06	0	0	0	0	3
105	119	0	1.06284058	0	0	0	0	0	5e-06	0	0	0	0	3
106	120	0	1.07296287	0	0	0	0	0	5e-06	0	0	0	0	3
107	121	0	1.08308516	0	0	0	0	0	5e-06	0	0	0	0	3
108	122	0	1.09320745	0	0	0	0	0	5e-06	0	0	0	0	3
109	122	0	1.10332974	0	0	0	0	0	5e-06	0	0	0	0	3
110	123	0	1.11345203	0	0	0	0	0	5e-06	0	0	0	0	3
111	124	0	1.12357432	0	0	0	0	0	5e-06	0	0	0	0	3
112	125	0	1.13369661	0	0	0	0	0	5e-06	0	0	0	0	3
113	126	0	1.14381891	0	0	0	0	0	5e-06	0	0	0	0	3
114	127	0	1.1539412	0	0	0	0	0	5e-06	0	0	0	0	3
115	128	0	1.16406349	0	0	0	0	0	5e-06	0	0	0	0	3
116	129	0	1.17418578	0	0	0	0	0	5e-06	0	0	0	0	3
117	130	0	1.18430807	0	0	0	0	0	5e-06	0	0	0	0	3
118	130	0	1.19443036	0	0	0	0	0	5e-06	0	0	0	0	3
119	131	0	1.20455265	0	0	0	0	0	5e-06	0	0	0	0	3
120	132	0	1.21467494	0	0	0	0	0	5e-06	0	0	0	0	3
121	133	0	1.22479724	0	0	0	0	0	5e-06	0	0	0	0	3
122	134	0	1.23491953	0	0	0	0	0	5e-06	0	0	0	0	3
123	135	0	1.24504182	0	0	0	0	0	5e-06	0	0	0	0	3
124	136	0	1.25516411	0	0	0	0	0	5e-06	0	0	0	0	3
125	137	0	1.2652864	0	0	0	0	0	5e-06	0	0	0	0	3
126	137	0	1.27540869	0	0	0	0	0	5e-06	0	0	0	0	3
127	139	0	1.28553098	0	0	0	0	0	5e-06	0	0	0	0	3
