Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0123800103	34.7621666	34.7621666	34.7621666	34.7621666	0	0	0	0	0	0	3
2	2	0	0.0247600206	34.5354675	34.648817	34.5354675	34.7621666	0.11334956	0	0	0	0	0	3
3	3	0	0.0371400309	34.5671601	34.6215981	34.5354675	34.7621666	0.140568539	0	0	0	0	0	3
4	3	0	0.0495200413	34.3816165	34.5616027	34.3816165	34.7621666	0.200563925	0	0	0	0	0	3
5	4	0	0.0619000516	34.1938197	34.4880461	34.1938197	34.7621666	0.274120515	0	0	0	0	0	3
6	4	0	0.0742800619	34.0363314	34.4127603	34.0363314	34.7621666	0.349406289	0	0	0	0	0	3
7	5	0	0.0866600722	34.3816691	34.4083187	34.0363314	34.7621666	0.353847896	0	0	0	0	0	3
8	5	0	0.0990400825	34.6818823	34.4425142	34.0363314	34.7621666	0.353847896	0	0	0	0	0	3
9	6	0	0.111420093	34.9394825	34.4977329	34.0363314	34.9394825	0.353847896	0	0	0	0	0	3
10	6	0	0.123800103	35.1316628	34.5611259	34.0363314	35.1316628	0.353847896	0	0	0	0	0	3
11	7	0	0.136180113	35.2958516	34.6279191	34.0363314	35.2958516	0.353847896	0	0	0	0	0	3
12	7	0	0.148560124	35.3669054	34.6895013	34.0363314	35.3669054	0.353847896	0	0	0	0	0	3
13	7	0	0.160940134	35.3690303	34.7417728	34.0363314	35.3690303	0.353847896	0	0	0	0	0	3
14	8	0	0.173320144	35.2884029	34.7808178	34.0363314	35.3690303	0.372499061	0	0	0	0	0	3
15	9	0	0.185700155	35.1794922	34.8073961	34.0363314	35.3690303	0.399077359	0	0	0	0	0	3
16	9	0	0.198080165	34.9935559	34.8190311	34.0363314	35.3690303	0.410712348	0	0	0	0	0	3
17	10	0	0.210460175	34.8315234	34.8197659	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
18	10	0	0.222840186	34.6800071	34.8120015	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
19	11	0	0.235220196	34.5717997	34.7993593	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
20	11	0	0.247600206	34.45315	34.7820489	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
21	12	0	0.259980217	34.3719212	34.762519	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
22	12	0	0.272360227	34.2775187	34.7404735	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
23	13	0	0.284740237	34.2251161	34.7180667	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
24	13	0	0.297120248	34.166449	34.6950826	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
25	14	0	0.309500258	34.1338473	34.6726332	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
26	14	0	0.321880268	34.1052862	34.6508121	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
27	15	0	0.334260278	34.1122037	34.6308637	34.0363314	35.3690303	0.411447192	0	0	0	0	0	3
