Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0123800103	35.0943812	35.0943812	35.0943812	35.0943812	0	0	0	0	0	0	3
2	2	0	0.0247600206	34.845796	34.9700886	34.845796	35.0943812	0.124292571	0	0	0	0	0	3
3	3	0	0.0371400309	34.9048504	34.9483425	34.845796	35.0943812	0.146038651	0	0	0	0	0	3
4	3	0	0.0495200413	34.7997037	34.9111828	34.7997037	35.0943812	0.183198349	0	0	0	0	0	3
5	4	0	0.0619000516	34.7100756	34.8709614	34.7100756	35.0943812	0.223419788	0	0	0	0	0	3
6	4	0	0.0742800619	34.5561467	34.8184923	34.5561467	35.0943812	0.275888898	0	0	0	0	0	3
7	5	0	0.0866600722	34.6716144	34.7975097	34.5561467	35.0943812	0.296871445	0	0	0	0	0	3
8	5	0	0.0990400825	34.9449927	34.8159451	34.5561467	35.0943812	0.296871445	0	0	0	0	0	3
9	6	0	0.111420093	35.1790213	34.8562869	34.5561467	35.1790213	0.296871445	0	0	0	0	0	3
10	6	0	0.123800103	35.3478189	34.9054401	34.5561467	35.3478189	0.296871445	0	0	0	0	0	3
11	7	0	0.136180113	35.4899576	34.958578	34.5561467	35.4899576	0.296871445	0	0	0	0	0	3
12	7	0	0.148560124	35.5414345	35.0071494	34.5561467	35.5414345	0.296871445	0	0	0	0	0	3
13	7	0	0.160940134	35.5312182	35.0474624	34.5561467	35.5414345	0.296871445	0	0	0	0	0	3
14	8	0	0.173320144	35.4418055	35.0756298	34.5561467	35.5414345	0.296871445	0	0	0	0	0	3
15	9	0	0.185700155	35.3289931	35.0925207	34.5561467	35.5414345	0.296871445	0	0	0	0	0	3
16	9	0	0.198080165	35.1403308	35.0955088	34.5561467	35.5414345	0.29799907	0	0	0	0	0	3
17	10	0	0.210460175	34.9815767	35.0888069	34.5561467	35.5414345	0.29799907	0	0	0	0	0	3
18	10	0	0.222840186	34.8367879	35.0748058	34.5561467	35.5414345	0.29799907	0	0	0	0	0	3
19	11	0	0.235220196	34.7338272	35.0568596	34.5561467	35.5414345	0.29799907	0	0	0	0	0	3
20	11	0	0.247600206	34.6235274	35.035193	34.5561467	35.5414345	0.29799907	0	0	0	0	0	3
21	12	0	0.259980217	34.5493808	35.0120591	34.5493808	35.5414345	0.29799907	0	0	0	0	0	3
22	12	0	0.272360227	34.4647169	34.9871799	34.4647169	35.5414345	0.29799907	0	0	0	0	0	3
23	13	0	0.284740237	34.4145974	34.962285	34.4145974	35.5414345	0.29799907	0	0	0	0	0	3
24	13	0	0.297120248	34.3645449	34.9373792	34.3645449	35.5414345	0.29799907	0	0	0	0	0	3
25	14	0	0.309500258	34.3318381	34.9131575	34.3318381	35.5414345	0.29799907	0	0	0	0	0	3
26	14	0	0.321880268	34.3110104	34.889998	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
27	15	0	0.334260278	34.3190933	34.8688534	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
28	15	0	0.346640289	34.3127663	34.8489931	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
29	16	0	0.359020299	34.3407158	34.8314663	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
30	16	0	0.371400309	34.3361081	34.8149544	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
31	17	0	0.38378032	34.3609749	34.8003099	34.3110104	35.5414345	0.29799907	0	0	0	0	0	3
32	18	0	0.39616033	34.3435758	34.7860369	34.3110104	35.5414345	0.309471842	0	0	0	0	0	3
33	19	0	0.40854034	34.3808367	34.7737582	34.3110104	35.5414345	0.321750636	0	0	0	0	0	3
34	19	0	0.420920351	34.3572916	34.7615091	34.3110104	35.5414345	0.333999651	0	0	0	0	0	3
35	20	0	0.433300361	34.3904586	34.7509077	34.3110104	35.5414345	0.344601096	0	0	0	0	0	3
36	21	0	0.445680371	34.3658186	34.7402108	34.3110104	35.5414345	0.355298014	0	0	0	0	0	3
37	22	0	0.458060382	34.406104	34.7311809	34.3110104	35.5414345	0.364327926	0	0	0	0	0	3
38	23	0	0.470440392	34.3681326	34.721627	34.3110104	35.5414345	0.373881827	0	0	0	0	0	3
39	24	0	0.482820402	34.444938	34.7145324	34.3110104	35.5414345	0.380976416	0	0	0	0	0	3
40	26	0	0.495200413	34.3506321	34.7054349	34.3110104	35.5414345	0.390073924	0	0	0	0	0	3
41	28	0	0.507580423	34.4261072	34.698622	34.3110104	35.5414345	0.396886793	0	0	0	0	0	3
42	29	0	0.519960433	34.3542013	34.6805688	34.3110104	35.5414345	0.414939962	0	0	0	0	0	3
43	30	0	0.532340444	34.4217877	34.6702272	34.3110104	35.5414345	0.425281629	0	0	0	0	0	3
44	31	0	0.544720454	34.3916893	34.657711	34.3110104	35.5414345	0.437797753	0	0	0	0	0	3
45	31	0	0.557100464	34.4001344	34.6479654	34.3110104	35.5414345	0.447543346	0	0	0	0	0	3
46	32	0	0.569480474	34.3504775	34.6391948	34.3110104	35.5414345	0.456314031	0	0	0	0	0	3
47	33	0	0.581860485	34.4148816	34.6357493	34.3110104	35.5414345	0.459759521	0	0	0	0	0	3
48	34	0	0.594240495	34.354017	34.628003	34.3110104	35.5414345	0.467505801	0	0	0	0	0	3
49	34	0	0.606620505	34.4491772	34.6159099	34.3110104	35.5414345	0.479598863	0	0	0	0	0	3
50	35	0	0.619000516	34.3450694	34.5955696	34.3110104	35.5414345	0.499939154	0	0	0	0	0	3
51	35	0	0.631380526	34.4170849	34.5728688	34.3110104	35.5414345	0.522639982	0	0	0	0	0	3
52	36	0	0.643760536	34.3544372	34.5451732	34.3110104	35.5414345	0.550335601	0	0	0	0	0	3
53	37	0	0.656140547	34.4208264	34.5178413	34.3110104	35.5312182	0.577667506	0	0	0	0	0	3
54	37	0	0.668520557	34.3888522	34.4899787	34.3110104	35.4418055	0.605530093	0	0	0	0	0	3
55	38	0	0.680900567	34.394812	34.4644423	34.3110104	35.3289931	0.631066521	0	0	0	0	0	3
56	39	0	0.693280578	34.3659523	34.4409535	34.3110104	35.1403308	0.65455532	0	0	0	0	0	3
57	39	0	0.705660588	34.407911	34.4230896	34.3110104	34.9815767	0.665717331	0	0	0	0	0	3
58	40	0	0.718040598	34.3652556	34.4080573	34.3110104	34.8367879	0.525777447	0	0	0	0	0	3
59	41	0	0.730420609	34.4417506	34.3984223	34.3110104	34.7338272	0.422816748	0	0	0	0	0	3
60	42	0	0.742800619	34.3371169	34.3887464	34.3110104	34.6235274	0.312516974	0	0	0	0	0	3
61	42	0	0.755180629	34.4177538	34.3837276	34.3110104	34.5493808	0.23837034	0	0	0	0	0	3
62	43	0	0.76756064	34.3532893	34.3789448	34.3110104	34.4647169	0.153706458	0	0	0	0	0	3
63	44	0	0.77994065	34.4135194	34.3776961	34.3110104	34.4491772	0.138166768	0	0	0	0	0	3
64	45	0	0.79232066	34.3963612	34.3772513	34.3110104	34.4491772	0.138166768	0	0	0	0	0	3
