Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0111823289
2	3	0	0.0223646579
3	3	0	0.0335469868
4	4	0	0.0447293157
5	4	0	0.0559116447
6	5	0	0.0670939736
7	6	0	0.0782763025
8	6	0	0.0894586315
9	7	0	0.10064096
10	7	0	0.111823289
11	8	0	0.123005618
12	8	0	0.134187947
13	9	0	0.145370276
14	9	0	0.156552605
15	10	0	0.167734934
16	10	0	0.178917263
17	11	0	0.190099592
18	11	0	0.201281921
19	12	0	0.21246425
20	13	0	0.223646579
21	14	0	0.234828908
22	14	0	0.246011237
23	15	0	0.257193565
24	15	0	0.268375894
25	16	0	0.279558223
26	16	0	0.290740552
27	17	0	0.301922881
28	18	0	0.31310521
29	18	0	0.324287539
30	19	0	0.335469868
31	19	0	0.346652197
32	20	0	0.357834526
33	21	0	0.369016855
34	21	0	0.380199184
35	22	0	0.391381513
36	23	0	0.402563842
37	23	0	0.413746171
38	24	0	0.424928499
39	24	0	0.436110828
40	25	0	0.447293157
41	26	0	0.458475486
42	26	0	0.469657815
43	27	0	0.480840144
44	27	0	0.492022473
45	28	0	0.503204802
46	29	0	0.514387131
47	29	0	0.52556946
48	30	0	0.536751789
49	30	0	0.547934118
50	31	0	0.559116447
51	32	0	0.570298776
52	32	0	0.581481105
53	33	0	0.592663433
54	34	0	0.603845762
55	35	0	0.615028091
56	35	0	0.62621042
57	36	0	0.637392749
58	37	0	0.648575078
59	37	0	0.659757407
60	38	0	0.670939736
61	39	0	0.682122065
62	39	0	0.693304394
63	40	0	0.704486723
64	40	0	0.715669052
65	41	0	0.726851381
66	41	0	0.73803371
67	42	0	0.749216039
68	43	0	0.760398367
69	43	0	0.771580696
70	44	0	0.782763025
71	45	0	0.793945354
72	46	0	0.805127683
73	46	0	0.816310012
74	47	0	0.827492341
75	48	0	0.83867467
76	48	0	0.849856999
77	49	0	0.861039328
78	49	0	0.872221657
79	50	0	0.883403986
80	50	0	0.894586315
81	51	0	0.905768644
82	52	0	0.916950973
83	52	0	0.928133301
84	53	0	0.93931563
85	53	0	0.950497959
86	54	0	0.961680288
87	54	0	0.972862617
88	55	0	0.984044946
89	56	0	0.995227275
90	56	0	1.0064096
91	57	0	1.01759193
92	58	0	1.02877426
93	58	0	1.03995659
94	59	0	1.05113892
95	59	0	1.06232125
96	60	0	1.07350358
97	60	0	1.08468591
98	61	0	1.09586824
99	62	0	1.10705056
100	62	0	1.11823289
101	64	0	1.12941522
102	64	0	1.14059755
103	65	0	1.15177988
104	65	0	1.16296221
105	66	0	1.17414454
106	66	0	1.18532687
107	67	0	1.1965092
108	68	0	1.20769152
109	68	0	1.21887385
110	69	0	1.23005618
111	69	0	1.24123851
112	70	0	1.25242084
113	70	0	1.26360317
114	71	0	1.2747855
115	72	0	1.28596783
116	72	0	1.29715016
117	73	0	1.30833249
118	74	0	1.31951481
119	74	0	1.33069714
120	75	0	1.34187947
121	75	0	1.3530618
122	76	0	1.36424413
123	77	0	1.37542646
