Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0101193534	3841.68309	3841.68309	3841.68309	3841.68309	0	0	0	0	0	0	3
2	4	0	0.0202387068	456.325368	2149.00423	456.325368	3841.68309	1692.67886	0	0	0	0	0	3
3	5	0	0.0303580602	150.115152	1482.70787	150.115152	3841.68309	2358.97522	0	0	0	0	0	3
4	6	0	0.0404774136	109.152618	1139.31906	109.152618	3841.68309	2702.36403	0	0	0	0	0	3
5	7	0	0.050596767	124.36185	936.327616	109.152618	3841.68309	2905.35547	0	0	0	0	0	3
6	7	0	0.0607161205	140.564262	803.70039	109.152618	3841.68309	3037.9827	0	0	0	0	0	3
7	8	0	0.0708354739	148.898099	710.157206	109.152618	3841.68309	3131.52588	0	0	0	0	0	3
8	9	0	0.0809548273	152.257878	640.41979	109.152618	3841.68309	3201.2633	0	0	0	0	0	3
9	9	0	0.0910741807	156.089637	586.605328	109.152618	3841.68309	3255.07776	0	0	0	0	0	3
10	10	0	0.101193534	158.145818	543.759377	109.152618	3841.68309	3297.92371	0	0	0	0	0	3
11	11	0	0.111312887	157.617644	508.655583	109.152618	3841.68309	3333.02751	0	0	0	0	0	3
12	11	0	0.121432241	157.436047	479.387289	109.152618	3841.68309	3362.2958	0	0	0	0	0	3
13	12	0	0.131551594	156.575507	454.555613	109.152618	3841.68309	3387.12748	0	0	0	0	0	3
14	13	0	0.141670948	152.494057	432.979788	109.152618	3841.68309	3408.7033	0	0	0	0	0	3
15	13	0	0.151790301	153.397884	414.340994	109.152618	3841.68309	3427.3421	0	0	0	0	0	3
16	14	0	0.161909655	153.466295	398.036325	109.152618	3841.68309	3443.64676	0	0	0	0	0	3
17	15	0	0.172029008	150.345791	383.466294	109.152618	3841.68309	3458.2168	0	0	0	0	0	3
18	15	0	0.182148361	149.994202	370.495622	109.152618	3841.68309	3471.18747	0	0	0	0	0	3
19	16	0	0.192267715	147.546988	358.761484	109.152618	3841.68309	3482.92161	0	0	0	0	0	3
20	17	0	0.202387068	147.74873	348.210846	109.152618	3841.68309	3493.47224	0	0	0	0	0	3
21	17	0	0.212506422	147.632564	338.659499	109.152618	3841.68309	3503.02359	0	0	0	0	0	3
22	18	0	0.222625775	146.692234	329.933714	109.152618	3841.68309	3511.74938	0	0	0	0	0	3
23	19	0	0.232745128	145.477189	321.913865	109.152618	3841.68309	3519.76922	0	0	0	0	0	3
24	20	0	0.242864482	144.871821	314.537114	109.152618	3841.68309	3527.14598	0	0	0	0	0	3
25	21	0	0.252983835	145.694922	307.783426	109.152618	3841.68309	3533.89966	0	0	0	0	0	3
26	22	0	0.263103189	143.232837	301.454557	109.152618	3841.68309	3540.22853	0	0	0	0	0	3
27	22	0	0.273222542	145.439014	295.676204	109.152618	3841.68309	3546.00689	0	0	0	0	0	3
28	23	0	0.283341895	143.672403	290.247496	109.152618	3841.68309	3551.43559	0	0	0	0	0	3
29	24	0	0.293461249	144.460384	285.220355	109.152618	3841.68309	3556.46274	0	0	0	0	0	3
30	24	0	0.303580602	142.303219	280.45645	109.152618	3841.68309	3561.22664	0	0	0	0	0	3
31	25	0	0.313699956	142.355262	276.001573	109.152618	3841.68309	3565.68152	0	0	0	0	0	3
32	26	0	0.323819309	141.436352	271.79641	109.152618	3841.68309	3569.88668	0	0	0	0	0	3
33	27	0	0.333938662	142.642339	267.88265	109.152618	3841.68309	3573.80044	0	0	0	0	0	3
34	27	0	0.344058016	141.456066	264.164221	109.152618	3841.68309	3577.51887	0	0	0	0	0	3
35	28	0	0.354177369	142.472068	260.687303	109.152618	3841.68309	3580.99579	0	0	0	0	0	3
36	29	0	0.364296723	141.219415	257.36875	109.152618	3841.68309	3584.31434	0	0	0	0	0	3
37	30	0	0.374416076	141.261754	254.230723	109.152618	3841.68309	3587.45237	0	0	0	0	0	3
38	30	0	0.38453543	141.284773	251.258461	109.152618	3841.68309	3590.42463	0	0	0	0	0	3
39	31	0	0.394654783	140.210891	248.411088	109.152618	3841.68309	3593.272	0	0	0	0	0	3
40	32	0	0.404774136	140.924845	245.723932	109.152618	3841.68309	3595.95916	0	0	0	0	0	3
41	33	0	0.41489349	140.325928	243.153249	109.152618	3841.68309	3598.52984	0	0	0	0	0	3
42	33	0	0.425012843	140.79772	240.716212	109.152618	3841.68309	3600.96688	0	0	0	0	0	3
43	34	0	0.435132197	139.718489	238.367428	109.152618	3841.68309	3603.31566	0	0	0	0	0	3
44	35	0	0.44525155	139.162737	236.112776	109.152618	3841.68309	3605.57031	0	0	0	0	0	3
45	36	0	0.455370903	139.270081	233.960716	109.152618	3841.68309	3607.72237	0	0	0	0	0	3
46	36	0	0.465490257	138.506013	231.885614	109.152618	3841.68309	3609.79748	0	0	0	0	0	3
47	37	0	0.47560961	138.795713	229.904978	109.152618	3841.68309	3611.77811	0	0	0	0	0	3
48	38	0	0.485728964	139.436182	228.020211	109.152618	3841.68309	3613.66288	0	0	0	0	0	3
49	39	0	0.495848317	139.633338	226.216397	109.152618	3841.68309	3615.46669	0	0	0	0	0	3
50	39	0	0.50596767	138.842914	224.468928	109.152618	3841.68309	3617.21416	0	0	0	0	0	3
51	40	0	0.516087024	138.149771	150.398261	109.152618	456.325368	347.172749	0	0	0	0	0	3
52	41	0	0.526206377	137.661132	144.024977	109.152618	158.145818	48.9931995	0	0	0	0	0	3
53	42	0	0.536325731	137.430005	143.771274	109.152618	158.145818	48.9931995	0	0	0	0	0	3
54	42	0	0.546445084	138.487467	144.357971	124.36185	158.145818	33.783968	0	0	0	0	0	3
55	43	0	0.556564437	136.941787	144.609569	136.941787	158.145818	21.2040305	0	0	0	0	0	3
56	44	0	0.566683791	136.836832	144.535021	136.836832	158.145818	21.3089857	0	0	0	0	0	3
57	45	0	0.576803144	136.564516	144.288349	136.564516	158.145818	21.581302	0	0	0	0	0	3
58	45	0	0.586922498	137.271617	143.988624	136.564516	158.145818	21.581302	0	0	0	0	0	3
59	46	0	0.597041851	137.993597	143.626703	136.564516	158.145818	21.581302	0	0	0	0	0	3
60	47	0	0.607161205	137.589096	143.215569	136.564516	157.617644	21.0531281	0	0	0	0	0	3
61	47	0	0.617280558	137.818498	142.819586	136.564516	157.436047	20.8715311	0	0	0	0	0	3
62	48	0	0.627399911	137.798906	142.426843	136.564516	156.575507	20.0109914	0	0	0	0	0	3
63	49	0	0.637519265	136.583817	142.027009	136.564516	153.466295	16.9017795	0	0	0	0	0	3
64	50	0	0.647638618	136.972496	141.716578	136.564516	153.466295	16.9017795	0	0	0	0	0	3
65	50	0	0.657757972	136.942842	141.387477	136.564516	153.466295	16.9017795	0	0	0	0	0	3
66	51	0	0.667877325	137.130093	141.060753	136.564516	150.345791	13.7812751	0	0	0	0	0	3
67	52	0	0.677996678	136.781981	140.789477	136.564516	149.994202	13.4296857	0	0	0	0	0	3
68	53	0	0.688116032	136.38392	140.517271	136.38392	147.74873	11.3648099	0	0	0	0	0	3
69	53	0	0.698235385	137.562906	140.31759	136.38392	147.74873	11.3648099	0	0	0	0	0	3
70	54	0	0.708354739	136.799294	140.098601	136.38392	147.632564	11.2486443	0	0	0	0	0	3
71	55	0	0.718474092	137.159808	139.889146	136.38392	146.692234	10.3083145	0	0	0	0	0	3
72	56	0	0.728593445	136.387889	139.683059	136.38392	145.694922	9.31100244	0	0	0	0	0	3
73	56	0	0.738712799	136.824594	139.510007	136.38392	145.694922	9.31100244	0	0	0	0	0	3
74	57	0	0.748832152	136.85683	139.349707	136.38392	145.694922	9.31100244	0	0	0	0	0	3
75	58	0	0.758951506	137.256275	139.180934	136.38392	145.439014	9.05509379	0	0	0	0	0	3
76	58	0	0.769070859	136.498815	139.046254	136.38392	145.439014	9.05509379	0	0	0	0	0	3
77	59	0	0.779190212	136.403623	138.865546	136.38392	144.460384	8.07646463	0	0	0	0	0	3
78	60	0	0.789309566	135.748726	138.707072	135.748726	144.460384	8.71165861	0	0	0	0	0	3
79	60	0	0.799428919	135.824603	138.534357	135.748726	142.642339	6.89361313	0	0	0	0	0	3
80	61	0	0.809548273	135.66861	138.401665	135.66861	142.642339	6.97372859	0	0	0	0	0	3
81	62	0	0.819667626	136.305843	138.280676	135.66861	142.642339	6.97372859	0	0	0	0	0	3
82	62	0	0.82978698	136.779566	138.18754	135.66861	142.642339	6.97372859	0	0	0	0	0	3
83	63	0	0.839906333	136.409466	138.062883	135.66861	142.472068	6.80345717	0	0	0	0	0	3
84	64	0	0.850025686	137.196585	137.977693	135.66861	142.472068	6.80345717	0	0	0	0	0	3
85	65	0	0.86014504	136.68493	137.861951	135.66861	141.284773	5.61616247	0	0	0	0	0	3
86	65	0	0.870264393	135.784293	137.753248	135.66861	141.284773	5.61616247	0	0	0	0	0	3
87	66	0	0.880383747	134.801045	137.624034	134.801045	141.284773	6.48372749	0	0	0	0	0	3
88	67	0	0.8905031	134.405507	137.486449	134.405507	140.924845	6.51933797	0	0	0	0	0	3
89	67	0	0.900622453	134.938671	137.381004	134.405507	140.924845	6.51933797	0	0	0	0	0	3
90	68	0	0.910741807	135.886941	137.280246	134.405507	140.79772	6.39221238	0	0	0	0	0	3
91	69	0	0.92086116	136.091681	137.195561	134.405507	140.79772	6.39221238	0	0	0	0	0	3
92	70	0	0.930980514	135.620566	137.092018	134.405507	139.718489	5.3129817	0	0	0	0	0	3
93	70	0	0.941099867	135.649205	137.010632	134.405507	139.633338	5.22783033	0	0	0	0	0	3
94	71	0	0.95121922	136.785913	136.963096	134.405507	139.633338	5.22783033	0	0	0	0	0	3
95	72	0	0.961338574	136.427028	136.906235	134.405507	139.633338	5.22783033	0	0	0	0	0	3
96	73	0	0.971457927	136.69847	136.870084	134.405507	139.633338	5.22783033	0	0	0	0	0	3
97	73	0	0.981577281	135.577489	136.80572	134.405507	139.633338	5.22783033	0	0	0	0	0	3
98	74	0	0.991696634	135.47948	136.726586	134.405507	139.633338	5.22783033	0	0	0	0	0	3
99	75	0	1.00181599	135.192169	136.637762	134.405507	138.842914	4.43740676	1.46979598	0	33.1	0	0	3
100	76	0	1.01193534	133.68352	136.534574	133.68352	138.487467	4.80394767	1.46979598	0	30.5	0	0	3
101	77	0	1.02205469	134.657347	136.464726	133.68352	138.487467	4.80394767	1.46979598	0	30.5	0	0	3
102	78	0	1.03217405	135.674173	136.424987	133.68352	138.487467	4.80394767	1.46979598	0	30.5	0	0	3
