Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.010106245	-2543.57773	-2543.57773	-2543.57773	-2543.57773	0	0	0	0	0	0	3
2	7	0	0.0202124899	-128.154041	-1335.86589	-2543.57773	-128.154041	1207.71185	0	0	0	0	0	3
3	8	0	0.0303187349	-33.6177948	-901.78319	-2543.57773	-33.6177948	1641.79454	0	0	0	0	0	3
4	9	0	0.0404249798	-46.8688362	-688.054602	-2543.57773	-33.6177948	1855.52313	0	0	0	0	0	3
5	10	0	0.0505312248	-38.4764401	-558.138969	-2543.57773	-33.6177948	1985.43877	0	0	0	0	0	3
6	11	0	0.0606374697	-50.3649576	-473.509967	-2543.57773	-33.6177948	2070.06777	0	0	0	0	0	3
7	12	0	0.0707437147	-41.9957847	-411.865084	-2543.57773	-33.6177948	2131.71265	0	0	0	0	0	3
8	12	0	0.0808499596	-45.6279713	-366.085445	-2543.57773	-33.6177948	2177.49229	0	0	0	0	0	3
9	13	0	0.0909562046	-39.5213947	-329.800551	-2543.57773	-33.6177948	2213.77718	0	0	0	0	0	3
10	14	0	0.10106245	-44.2642455	-301.24692	-2543.57773	-33.6177948	2242.33081	0	0	0	0	0	3
11	15	0	0.111168694	-40.7419234	-277.564648	-2543.57773	-33.6177948	2266.01309	0	0	0	0	0	3
12	16	0	0.121274939	-44.1061224	-258.109771	-2543.57773	-33.6177948	2285.46796	0	0	0	0	0	3
13	16	0	0.131381184	-43.3493184	-241.589736	-2543.57773	-33.6177948	2301.988	0	0	0	0	0	3
14	17	0	0.141487429	-46.1241308	-227.627907	-2543.57773	-33.6177948	2315.94983	0	0	0	0	0	3
15	18	0	0.151593674	-47.5157709	-215.620431	-2543.57773	-33.6177948	2327.9573	0	0	0	0	0	3
16	19	0	0.161699919	-48.1493773	-205.15349	-2543.57773	-33.6177948	2338.42424	0	0	0	0	0	3
17	20	0	0.171806164	-44.1101389	-195.680352	-2543.57773	-33.6177948	2347.89738	0	0	0	0	0	3
18	21	0	0.181912409	-43.8790522	-187.246946	-2543.57773	-33.6177948	2356.33079	0	0	0	0	0	3
19	21	0	0.192018654	-38.9130809	-179.439901	-2543.57773	-33.6177948	2364.13783	0	0	0	0	0	3
20	23	0	0.202124899	-40.4170083	-172.488756	-2543.57773	-33.6177948	2371.08898	0	0	0	0	0	3
21	24	0	0.212231144	-39.729495	-166.166887	-2543.57773	-33.6177948	2377.41085	0	0	0	0	0	3
22	25	0	0.222337389	-39.0658884	-160.389569	-2543.57773	-33.6177948	2383.18817	0	0	0	0	0	3
23	26	0	0.232443634	-38.0739774	-155.071499	-2543.57773	-33.6177948	2388.50624	0	0	0	0	0	3
24	27	0	0.242549879	-39.1190191	-150.240146	-2543.57773	-33.6177948	2393.33759	0	0	0	0	0	3
25	28	0	0.252656124	-41.7184186	-145.899277	-2543.57773	-33.6177948	2397.67846	0	0	0	0	0	3
26	30	0	0.262762369	-38.7733161	-141.779048	-2543.57773	-33.6177948	2401.79869	0	0	0	0	0	3
27	31	0	0.272868614	-41.5429395	-138.066599	-2543.57773	-33.6177948	2405.51114	0	0	0	0	0	3
28	32	0	0.282974859	-40.88587	-134.595859	-2543.57773	-33.6177948	2408.98188	0	0	0	0	0	3
29	34	0	0.293081104	-41.6983582	-131.392497	-2543.57773	-33.6177948	2412.18524	0	0	0	0	0	3
30	35	0	0.303187349	-43.5559175	-128.464611	-2543.57773	-33.6177948	2415.11312	0	0	0	0	0	3
31	37	0	0.313293594	-42.9181758	-125.705048	-2543.57773	-33.6177948	2417.87269	0	0	0	0	0	3
32	39	0	0.323399839	-44.5457508	-123.16882	-2543.57773	-33.6177948	2420.40891	0	0	0	0	0	3
33	40	0	0.333506083	-43.9813483	-120.7692	-2543.57773	-33.6177948	2422.80853	0	0	0	0	0	3
34	42	0	0.343612328	-42.6126421	-118.470478	-2543.57773	-33.6177948	2425.10726	0	0	0	0	0	3
35	43	0	0.353718573	-41.7769027	-116.279233	-2543.57773	-33.6177948	2427.2985	0	0	0	0	0	3
36	44	0	0.363824818	-41.5526103	-114.203493	-2543.57773	-33.6177948	2429.37424	0	0	0	0	0	3
37	45	0	0.373931063	-41.6101137	-112.24151	-2543.57773	-33.6177948	2431.33622	0	0	0	0	0	3
38	47	0	0.384037308	-43.751599	-110.439144	-2543.57773	-33.6177948	2433.13859	0	0	0	0	0	3
39	48	0	0.394143553	-44.0472902	-108.736789	-2543.57773	-33.6177948	2434.84095	0	0	0	0	0	3
40	49	0	0.404249798	-45.9235317	-107.166457	-2543.57773	-33.6177948	2436.41128	0	0	0	0	0	3
41	50	0	0.414356043	-44.4193676	-105.63604	-2543.57773	-33.6177948	2437.94169	0	0	0	0	0	3
42	52	0	0.424462288	-43.8105737	-104.164005	-2543.57773	-33.6177948	2439.41373	0	0	0	0	0	3
43	52	0	0.434568533	-43.4523219	-102.752106	-2543.57773	-33.6177948	2440.82563	0	0	0	0	0	3
44	54	0	0.444674778	-43.1510773	-101.397537	-2543.57773	-33.6177948	2442.1802	0	0	0	0	0	3
45	55	0	0.454781023	-41.936326	-100.076177	-2543.57773	-33.6177948	2443.50156	0	0	0	0	0	3
46	56	0	0.464887268	-42.4610351	-98.8236737	-2543.57773	-33.6177948	2444.75406	0	0	0	0	0	3
47	58	0	0.474993513	-41.6226716	-97.6066311	-2543.57773	-33.6177948	2445.9711	0	0	0	0	0	3
48	59	0	0.485099758	-42.0722199	-96.4496642	-2543.57773	-33.6177948	2447.12807	0	0	0	0	0	3
49	60	0	0.495206003	-42.3092095	-95.344757	-2543.57773	-33.6177948	2448.23298	0	0	0	0	0	3
50	61	0	0.505312248	-42.1215877	-94.2802936	-2543.57773	-33.6177948	2449.29744	0	0	0	0	0	3
51	62	0	0.515418493	-44.0685117	-44.2901091	-128.154041	-33.6177948	94.5362466	0	0	0	0	0	3
52	63	0	0.525524738	-44.4481974	-42.6159922	-50.3649576	-33.6177948	16.7471627	0	0	0	0	0	3
53	64	0	0.535630983	-45.6360061	-42.8563565	-50.3649576	-38.0739774	12.2909802	0	0	0	0	0	3
54	65	0	0.545737228	-45.2664743	-42.8243092	-50.3649576	-38.0739774	12.2909802	0	0	0	0	0	3
55	67	0	0.555843472	-45.7208677	-42.9691978	-50.3649576	-38.0739774	12.2909802	0	0	0	0	0	3
56	68	0	0.565949717	-45.8884347	-42.8796673	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
57	69	0	0.576055962	-44.7701146	-42.9351539	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
58	70	0	0.586162207	-44.4593459	-42.9117814	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
59	71	0	0.596268452	-44.6102905	-43.0135593	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
60	73	0	0.606374697	-43.3282457	-42.9948393	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
61	74	0	0.616480942	-41.8339888	-43.0166806	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
62	75	0	0.626587187	-40.6199716	-42.9469576	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
63	76	0	0.636693432	-40.7224262	-42.8944198	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
64	77	0	0.646799677	-39.5933641	-42.7638045	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
65	79	0	0.656905922	-40.9392591	-42.6322742	-48.1493773	-38.0739774	10.0753999	0	0	0	0	0	3
66	80	0	0.667012167	-41.4314644	-42.497916	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
67	81	0	0.677118412	-41.8657461	-42.4530281	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
68	82	0	0.687224657	-42.8233683	-42.4319144	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
69	83	0	0.697330902	-43.8359539	-42.5303719	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
70	84	0	0.707437147	-44.574369	-42.6135191	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
71	86	0	0.717543392	-44.7843008	-42.7146152	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
72	87	0	0.727649637	-45.0650639	-42.8345987	-45.9235317	-38.0739774	7.84955426	0	0	0	0	0	3
73	88	0	0.737755882	-44.9729315	-42.9725778	-45.9235317	-38.7733161	7.1502156	0	0	0	0	0	3
74	89	0	0.747862127	-44.701717	-43.0842318	-45.9235317	-38.7733161	7.1502156	0	0	0	0	0	3
75	90	0	0.757968372	-44.7548925	-43.1449612	-45.9235317	-38.7733161	7.1502156	0	0	0	0	0	3
76	91	0	0.768074616	-44.5608428	-43.2607118	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
77	92	0	0.778180861	-43.2818112	-43.2954892	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
78	94	0	0.788287106	-42.4993867	-43.3277595	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
79	95	0	0.798393351	-42.2919055	-43.3396305	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
80	96	0	0.808499596	-42.4028305	-43.3165688	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
81	97	0	0.818605841	-42.9994891	-43.318195	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
82	98	0	0.828712086	-43.3042089	-43.2933642	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
83	99	0	0.838818331	-43.5758526	-43.2852543	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
84	100	0	0.848924576	-44.8716711	-43.3304348	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
85	102	0	0.859030821	-44.9801203	-43.3944992	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
86	103	0	0.869137066	-44.3751149	-43.4509493	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
87	104	0	0.879243311	-45.2454008	-43.523655	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
88	105	0	0.889349556	-44.8379705	-43.5453825	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
89	106	0	0.899455801	-44.6565252	-43.5575672	-45.9235317	-39.5933641	6.33016758	0	0	0	0	0	3
90	107	0	0.909562046	-44.8487585	-43.5360717	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
91	109	0	0.919668291	-44.0241733	-43.5281678	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
92	110	0	0.929774536	-44.2852205	-43.5376607	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
93	111	0	0.939880781	-42.7370045	-43.5233544	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
94	112	0	0.949987026	-42.1244957	-43.5028228	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
95	113	0	0.960093271	-42.4608589	-43.5133134	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
96	115	0	0.970199516	-42.2500548	-43.5090938	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
97	116	0	0.980305761	-41.7606354	-43.5118531	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
98	118	0	0.990412005	-42.0180635	-43.51077	-45.8884347	-39.5933641	6.29507061	0	0	0	0	0	3
99	120	0	1.00051825	-43.1090869	-43.5267675	-45.8884347	-39.5933641	6.29507061	0.502414882	0	7.9	0	0	3
100	121	0	1.0106245	-44.3140681	-43.5706171	-45.8884347	-39.5933641	1.8581947	0.502414882	0	27	0	0	3
