Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0101127628	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0202255256	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0303382884	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0404510512	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.050563814	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0606765768	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0707893396	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0809021024	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.0910148652	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.101127628	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.111240391	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.121353154	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.131465916	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.141578679	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.151691442	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.161804205	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.171916968	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.18202973	0	0	0	0	0	0	0	0	0	0	3
19	17	0	0.192142493	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.202255256	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.212368019	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.222480782	0	0	0	0	0	0	0	0	0	0	3
23	20	0	0.232593544	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.242706307	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.25281907	0	0	0	0	0	0	0	0	0	0	3
26	22	0	0.262931833	0	0	0	0	0	0	0	0	0	0	3
27	23	0	0.273044595	0	0	0	0	0	0	0	0	0	0	3
28	24	0	0.283157358	0	0	0	0	0	0	0	0	0	0	3
29	24	0	0.293270121	0	0	0	0	0	0	0	0	0	0	3
30	25	0	0.303382884	0	0	0	0	0	0	0	0	0	0	3
31	26	0	0.313495647	0	0	0	0	0	0	0	0	0	0	3
32	27	0	0.323608409	0	0	0	0	0	0	0	0	0	0	3
33	28	0	0.333721172	0	0	0	0	0	0	0	0	0	0	3
34	29	0	0.343833935	0	0	0	0	0	0	0	0	0	0	3
35	29	0	0.353946698	0	0	0	0	0	0	0	0	0	0	3
36	30	0	0.364059461	0	0	0	0	0	0	0	0	0	0	3
37	31	0	0.374172223	0	0	0	0	0	0	0	0	0	0	3
38	32	0	0.384284986	0	0	0	0	0	0	0	0	0	0	3
39	32	0	0.394397749	0	0	0	0	0	0	0	0	0	0	3
40	33	0	0.404510512	0	0	0	0	0	0	0	0	0	0	3
41	34	0	0.414623275	0	0	0	0	0	0	0	0	0	0	3
42	35	0	0.424736037	0	0	0	0	0	0	0	0	0	0	3
43	36	0	0.4348488	0	0	0	0	0	0	0	0	0	0	3
44	37	0	0.444961563	0	0	0	0	0	0	0	0	0	0	3
45	38	0	0.455074326	0	0	0	0	0	0	0	0	0	0	3
46	39	0	0.465187089	0	0	0	0	0	0	0	0	0	0	3
47	40	0	0.475299851	0	0	0	0	0	0	0	0	0	0	3
48	40	0	0.485412614	0	0	0	0	0	0	0	0	0	0	3
49	41	0	0.495525377	0	0	0	0	0	0	0	0	0	0	3
50	42	0	0.50563814	0	0	0	0	0	0	0	0	0	0	3
51	43	0	0.515750903	0	0	0	0	0	0	0	0	0	0	3
52	44	0	0.525863665	0	0	0	0	0	0	0	0	0	0	3
53	45	0	0.535976428	0	0	0	0	0	0	0	0	0	0	3
54	46	0	0.546089191	0	0	0	0	0	0	0	0	0	0	3
55	47	0	0.556201954	0	0	0	0	0	0	0	0	0	0	3
56	48	0	0.566314717	0	0	0	0	0	0	0	0	0	0	3
57	49	0	0.576427479	0	0	0	0	0	0	0	0	0	0	3
58	50	0	0.586540242	0	0	0	0	0	0	0	0	0	0	3
59	51	0	0.596653005	0	0	0	0	0	0	0	0	0	0	3
60	51	0	0.606765768	0	0	0	0	0	0	0	0	0	0	3
61	52	0	0.616878531	0	0	0	0	0	0	0	0	0	0	3
62	53	0	0.626991293	0	0	0	0	0	0	0	0	0	0	3
63	54	0	0.637104056	0	0	0	0	0	0	0	0	0	0	3
64	55	0	0.647216819	0	0	0	0	0	0	0	0	0	0	3
65	56	0	0.657329582	0	0	0	0	0	0	0	0	0	0	3
66	57	0	0.667442345	0	0	0	0	0	0	0	0	0	0	3
67	58	0	0.677555107	0	0	0	0	0	0	0	0	0	0	3
68	58	0	0.68766787	0	0	0	0	0	0	0	0	0	0	3
69	59	0	0.697780633	0	0	0	0	0	0	0	0	0	0	3
70	60	0	0.707893396	0	0	0	0	0	0	0	0	0	0	3
71	61	0	0.718006158	0	0	0	0	0	0	0	0	0	0	3
72	62	0	0.728118921	0	0	0	0	0	0	0	0	0	0	3
73	63	0	0.738231684	0	0	0	0	0	0	0	0	0	0	3
74	63	0	0.748344447	0	0	0	0	0	0	0	0	0	0	3
75	64	0	0.75845721	0	0	0	0	0	0	0	0	0	0	3
76	65	0	0.768569972	0	0	0	0	0	0	0	0	0	0	3
77	66	0	0.778682735	0	0	0	0	0	0	0	0	0	0	3
78	67	0	0.788795498	0	0	0	0	0	0	0	0	0	0	3
79	68	0	0.798908261	0	0	0	0	0	0	0	0	0	0	3
80	68	0	0.809021024	0	0	0	0	0	0	0	0	0	0	3
81	69	0	0.819133786	0	0	0	0	0	0	0	0	0	0	3
82	70	0	0.829246549	0	0	0	0	0	0	0	0	0	0	3
83	71	0	0.839359312	0	0	0	0	0	0	0	0	0	0	3
84	72	0	0.849472075	0	0	0	0	0	0	0	0	0	0	3
85	73	0	0.859584838	0	0	0	0	0	0	0	0	0	0	3
86	73	0	0.8696976	0	0	0	0	0	0	0	0	0	0	3
87	74	0	0.879810363	0	0	0	0	0	0	0	0	0	0	3
88	75	0	0.889923126	0	0	0	0	0	0	0	0	0	0	3
89	76	0	0.900035889	0	0	0	0	0	0	0	0	0	0	3
90	77	0	0.910148652	0	0	0	0	0	0	0	0	0	0	3
91	77	0	0.920261414	0	0	0	0	0	0	0	0	0	0	3
92	78	0	0.930374177	0	0	0	0	0	0	0	0	0	0	3
93	79	0	0.94048694	0	0	0	0	0	0	0	0	0	0	3
94	80	0	0.950599703	0	0	0	0	0	0	0	0	0	0	3
95	81	0	0.960712466	0	0	0	0	0	0	0	0	0	0	3
96	83	0	0.970825228	0	0	0	0	0	0	0	0	0	0	3
97	83	0	0.980937991	0	0	0	0	0	0	0	0	0	0	3
98	84	0	0.991050754	0	0	0	0	0	0	0	0	0	0	3
99	85	0	1.00116352	0	0	0	0	0	5e-06	0	0	0	0	3
100	86	0	1.01127628	0	0	0	0	0	5e-06	0	0	0	0	3
101	88	0	1.02138904	0	0	0	0	0	5e-06	0	0	0	0	3
102	89	0	1.03150181	0	0	0	0	0	5e-06	0	0	0	0	3
103	90	0	1.04161457	0	0	0	0	0	5e-06	0	0	0	0	3
104	91	0	1.05172733	0	0	0	0	0	5e-06	0	0	0	0	3
105	91	0	1.06184009	0	0	0	0	0	5e-06	0	0	0	0	3
106	92	0	1.07195286	0	0	0	0	0	5e-06	0	0	0	0	3
107	93	0	1.08206562	0	0	0	0	0	5e-06	0	0	0	0	3
108	94	0	1.09217838	0	0	0	0	0	5e-06	0	0	0	0	3
109	95	0	1.10229114	0	0	0	0	0	5e-06	0	0	0	0	3
