Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.009754584	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.019509168	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.029263752	0	0	0	0	0	0	0	0	0	0	3
4	7	0	0.039018336	0	0	0	0	0	0	0	0	0	0	3
5	8	0	0.04877292	0	0	0	0	0	0	0	0	0	0	3
6	9	0	0.058527504	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.068282088	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.078036672	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.087791256	0	0	0	0	0	0	0	0	0	0	3
10	12	0	0.09754584	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.107300424	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.117055008	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.126809592	0	0	0	0	0	0	0	0	0	0	3
14	15	0	0.136564176	0	0	0	0	0	0	0	0	0	0	3
15	16	0	0.14631876	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.156073344	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.165827928	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.175582512	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.185337096	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.19509168	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.204846264	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.214600848	0	0	0	0	0	0	0	0	0	0	3
23	22	0	0.224355432	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.234110016	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.2438646	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.253619184	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.263373768	0	0	0	0	0	0	0	0	0	0	3
28	26	0	0.273128352	0	0	0	0	0	0	0	0	0	0	3
29	27	0	0.282882936	0	0	0	0	0	0	0	0	0	0	3
30	28	0	0.29263752	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.302392104	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.312146688	0	0	0	0	0	0	0	0	0	0	3
33	30	0	0.321901272	0	0	0	0	0	0	0	0	0	0	3
34	31	0	0.331655856	0	0	0	0	0	0	0	0	0	0	3
35	32	0	0.34141044	0	0	0	0	0	0	0	0	0	0	3
36	33	0	0.351165024	0	0	0	0	0	0	0	0	0	0	3
37	34	0	0.360919608	0	0	0	0	0	0	0	0	0	0	3
38	35	0	0.370674192	0	0	0	0	0	0	0	0	0	0	3
39	36	0	0.380428776	0	0	0	0	0	0	0	0	0	0	3
40	37	0	0.39018336	0	0	0	0	0	0	0	0	0	0	3
41	37	0	0.399937944	0	0	0	0	0	0	0	0	0	0	3
42	38	0	0.409692528	0	0	0	0	0	0	0	0	0	0	3
43	39	0	0.419447112	0	0	0	0	0	0	0	0	0	0	3
44	40	0	0.429201696	0	0	0	0	0	0	0	0	0	0	3
45	41	0	0.43895628	0	0	0	0	0	0	0	0	0	0	3
46	42	0	0.448710864	0	0	0	0	0	0	0	0	0	0	3
47	42	0	0.458465448	0	0	0	0	0	0	0	0	0	0	3
48	43	0	0.468220032	0	0	0	0	0	0	0	0	0	0	3
49	44	0	0.477974616	0	0	0	0	0	0	0	0	0	0	3
50	45	0	0.4877292	0	0	0	0	0	0	0	0	0	0	3
51	46	0	0.497483784	0	0	0	0	0	0	0	0	0	0	3
52	46	0	0.507238368	0	0	0	0	0	0	0	0	0	0	3
53	47	0	0.516992952	0	0	0	0	0	0	0	0	0	0	3
54	48	0	0.526747536	0	0	0	0	0	0	0	0	0	0	3
55	49	0	0.53650212	0	0	0	0	0	0	0	0	0	0	3
56	50	0	0.546256704	0	0	0	0	0	0	0	0	0	0	3
57	51	0	0.556011288	0	0	0	0	0	0	0	0	0	0	3
