Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0123851511	2547.97451	2547.97451	2547.97451	2547.97451	0	0	0	0	0	0	3
2	3	0	0.0247703021	437.741001	1492.85776	437.741001	2547.97451	1055.11676	0	0	0	0	0	3
3	4	0	0.0371554532	215.875324	1067.19695	215.875324	2547.97451	1480.77757	0	0	0	0	0	3
4	5	0	0.0495406043	126.120643	831.92787	126.120643	2547.97451	1716.04664	0	0	0	0	0	3
5	5	0	0.0619257554	148.936247	695.329546	126.120643	2547.97451	1852.64497	0	0	0	0	0	3
6	6	0	0.0743109064	122.176136	599.803977	122.176136	2547.97451	1948.17054	0	0	0	0	0	3
7	6	0	0.0866960575	137.756197	533.797152	122.176136	2547.97451	2014.17736	0	0	0	0	0	3
8	7	0	0.0990812086	116.549356	481.641177	116.549356	2547.97451	2066.33334	0	0	0	0	0	3
9	7	0	0.11146636	126.28002	442.156604	116.549356	2547.97451	2105.81791	0	0	0	0	0	3
10	8	0	0.123851511	106.911323	408.632076	106.911323	2547.97451	2139.34244	0	0	0	0	0	3
11	8	0	0.136236662	114.281764	381.872957	106.911323	2547.97451	2166.10156	0	0	0	0	0	3
12	9	0	0.148621813	102.519187	358.593476	102.519187	2547.97451	2189.38104	0	0	0	0	0	3
13	9	0	0.161006964	109.240917	339.41251	102.519187	2547.97451	2208.562	0	0	0	0	0	3
14	10	0	0.173392115	100.724023	322.363332	100.724023	2547.97451	2225.61118	0	0	0	0	0	3
15	10	0	0.185777266	105.696635	307.918886	100.724023	2547.97451	2240.05563	0	0	0	0	0	3
16	11	0	0.198162417	99.6324434	294.900983	99.6324434	2547.97451	2253.07353	0	0	0	0	0	3
17	12	0	0.210547568	101.838654	283.544375	99.6324434	2547.97451	2264.43014	0	0	0	0	0	3
18	12	0	0.222932719	96.7765767	273.168387	96.7765767	2547.97451	2274.80613	0	0	0	0	0	3
19	13	0	0.23531787	97.7695991	263.936872	96.7765767	2547.97451	2284.03764	0	0	0	0	0	3
20	14	0	0.247703021	94.7083452	255.475445	94.7083452	2547.97451	2292.49907	0	0	0	0	0	3
21	14	0	0.260088173	94.9680731	247.832237	94.7083452	2547.97451	2300.14228	0	0	0	0	0	3
22	14	0	0.272473324	92.427498	240.768385	92.427498	2547.97451	2307.20613	0	0	0	0	0	3
23	15	0	0.284858475	91.8618121	234.294186	91.8618121	2547.97451	2313.68033	0	0	0	0	0	3
24	15	0	0.297243626	91.0375522	228.32516	91.0375522	2547.97451	2319.64935	0	0	0	0	0	3
25	16	0	0.309628777	90.0706181	222.794978	90.0706181	2547.97451	2325.17953	0	0	0	0	0	3
26	16	0	0.322013928	89.5357732	217.669624	89.5357732	2547.97451	2330.30489	0	0	0	0	0	3
27	16	0	0.334399079	89.3083117	212.915502	89.3083117	2547.97451	2335.05901	0	0	0	0	0	3
28	17	0	0.34678423	89.0812057	208.492848	89.0812057	2547.97451	2339.48166	0	0	0	0	0	3
29	17	0	0.359169381	88.6569224	204.360575	88.6569224	2547.97451	2343.61394	0	0	0	0	0	3
30	18	0	0.371554532	87.9536282	200.480343	87.9536282	2547.97451	2347.49417	0	0	0	0	0	3
31	18	0	0.383939683	87.158712	196.824807	87.158712	2547.97451	2351.14971	0	0	0	0	0	3
32	18	0	0.396324834	87.0551584	193.394505	87.0551584	2547.97451	2354.58001	0	0	0	0	0	3
33	19	0	0.408709985	86.550057	190.156795	86.550057	2547.97451	2357.81772	0	0	0	0	0	3
34	19	0	0.421095136	86.2030176	187.099331	86.2030176	2547.97451	2360.87518	0	0	0	0	0	3
35	19	0	0.433480288	86.0534889	184.212307	86.0534889	2547.97451	2363.76221	0	0	0	0	0	3
36	20	0	0.445865439	86.2222727	181.490361	86.0534889	2547.97451	2366.48415	0	0	0	0	0	3
37	20	0	0.45825059	85.8836397	178.906396	85.8836397	2547.97451	2369.06812	0	0	0	0	0	3
38	21	0	0.470635741	85.7479261	176.454857	85.7479261	2547.97451	2371.51966	0	0	0	0	0	3
39	21	0	0.483020892	85.4451321	174.121274	85.4451321	2547.97451	2373.85324	0	0	0	0	0	3
40	22	0	0.495406043	84.8707831	171.890012	84.8707831	2547.97451	2376.0845	0	0	0	0	0	3
41	22	0	0.507791194	84.7148507	169.763789	84.7148507	2547.97451	2378.21072	0	0	0	0	0	3
42	22	0	0.520176345	84.5370271	109.679948	84.5370271	437.741001	353.203974	0	0	0	0	0	3
43	23	0	0.532561496	84.7299463	101.069922	84.5370271	215.875324	131.338297	0	0	0	0	0	3
44	23	0	0.544946647	84.6957383	97.8704198	84.5370271	148.936247	64.39922	0	0	0	0	0	3
45	23	0	0.557331798	84.9875223	96.8671729	84.5370271	148.936247	64.39922	0	0	0	0	0	3
46	24	0	0.569716949	85.0418485	95.308773	84.5370271	137.756197	53.2191698	0	0	0	0	0	3
47	24	0	0.5821021	85.0687488	94.4037147	84.5370271	137.756197	53.2191698	0	0	0	0	0	3
48	25	0	0.594487252	84.8411103	93.1131029	84.5370271	126.28002	41.742993	0	0	0	0	0	3
49	25	0	0.606872403	84.8408743	92.3397253	84.5370271	126.28002	41.742993	0	0	0	0	0	3
50	25	0	0.619257554	84.8767531	91.3298895	84.5370271	114.281764	29.7447367	0	0	0	0	0	3
51	26	0	0.631642705	84.9663435	90.7946461	84.5370271	114.281764	29.7447367	0	0	0	0	0	3
52	26	0	0.644027856	84.8589083	90.0770155	84.5370271	109.240917	24.7038903	0	0	0	0	0	3
53	27	0	0.656413007	84.8385704	89.6457809	84.5370271	109.240917	24.7038903	0	0	0	0	0	3
54	27	0	0.668798158	85.1497008	89.0581903	84.5370271	105.696635	21.1596081	0	0	0	0	0	3
55	27	0	0.681183309	85.1103529	88.677369	84.5370271	105.696635	21.1596081	0	0	0	0	0	3
56	28	0	0.69356846	85.3906767	88.1821018	84.5370271	101.838654	17.3016264	0	0	0	0	0	3
57	28	0	0.705953611	85.5065957	87.8375689	84.5370271	101.838654	17.3016264	0	0	0	0	0	3
58	28	0	0.718338762	85.7599664	87.4454058	84.5370271	97.7695991	13.232572	0	0	0	0	0	3
59	29	0	0.730723913	85.6336161	87.1736263	84.5370271	97.7695991	13.232572	0	0	0	0	0	3
60	29	0	0.743109064	85.7774671	86.8811352	84.5370271	94.9680731	10.431046	0	0	0	0	0	3
61	30	0	0.755494215	85.4571034	86.6554952	84.5370271	94.9680731	10.431046	0	0	0	0	0	3
62	30	0	0.767879367	85.3247324	86.4202918	84.5370271	92.427498	7.89047084	0	0	0	0	0	3
63	30	0	0.780264518	84.9692272	86.2383827	84.5370271	91.8618121	7.32478494	0	0	0	0	0	3
64	31	0	0.792649669	84.7339227	86.0645318	84.5370271	91.0375522	6.50052509	0	0	0	0	0	3
65	31	0	0.80503482	84.7057176	85.9100968	84.5370271	90.0706181	5.53359097	0	0	0	0	0	3
66	32	0	0.817419971	84.6211164	85.7771821	84.5370271	89.5357732	4.99874608	0	0	0	0	0	3
67	32	0	0.829805122	84.609798	85.6570364	84.5370271	89.3083117	4.77128463	0	0	0	0	0	3
68	32	0	0.842190273	84.6725354	85.5439686	84.5370271	89.0812057	4.54417862	0	0	0	0	0	3
