Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0118829356	101324.406	101324.406	101324.406	101324.406	0	0	0	0	0	0	3
2	2	0	0.0237658713	101324.853	101324.629	101324.406	101324.853	0.223762217	0	0	0	0	0	3
3	3	0	0.0356488069	101325.147	101324.802	101324.406	101325.147	0.396299587	0	0	0	0	0	3
4	3	0	0.0475317425	101325.093	101324.875	101324.406	101325.147	0.469102921	0	0	0	0	0	3
5	4	0	0.0594146782	101325.103	101324.92	101324.406	101325.147	0.514733009	0	0	0	0	0	3
6	4	0	0.0712976138	101325.075	101324.946	101324.406	101325.147	0.540484296	0	0	0	0	0	3
7	5	0	0.0831805494	101325.093	101324.967	101324.406	101325.147	0.561496774	0	0	0	0	0	3
8	5	0	0.0950634851	101325.065	101324.979	101324.406	101325.147	0.573783286	0	0	0	0	0	3
9	5	0	0.106946421	101325.095	101324.992	101324.406	101325.147	0.586663181	0	0	0	0	0	3
10	6	0	0.118829356	101325.062	101324.999	101324.406	101325.147	0.593623665	0	0	0	0	0	3
11	6	0	0.130712292	101325.087	101325.007	101324.406	101325.147	0.601561635	0	0	0	0	0	3
12	7	0	0.142595228	101325.061	101325.012	101324.406	101325.147	0.606024845	0	0	0	0	0	3
13	7	0	0.154478163	101325.082	101325.017	101324.406	101325.147	0.611411594	0	0	0	0	0	3
14	8	0	0.166361099	101325.063	101325.02	101324.406	101325.147	0.61471209	0	0	0	0	0	3
15	8	0	0.178244034	101325.076	101325.024	101324.406	101325.147	0.618438298	0	0	0	0	0	3
16	8	0	0.19012697	101325.067	101325.027	101324.406	101325.147	0.621112195	0	0	0	0	0	3
17	9	0	0.202009906	101325.074	101325.029	101324.406	101325.147	0.623922217	0	0	0	0	0	3
18	9	0	0.213892841	101325.07	101325.032	101324.406	101325.147	0.626151291	0	0	0	0	0	3
19	10	0	0.225775777	101325.072	101325.034	101324.406	101325.147	0.62829323	0	0	0	0	0	3
20	10	0	0.237658713	101325.07	101325.036	101324.406	101325.147	0.630100656	0	0	0	0	0	3
21	11	0	0.249541648	101325.073	101325.037	101324.406	101325.147	0.631880243	0	0	0	0	0	3
22	11	0	0.261424584	101325.072	101325.039	101324.406	101325.147	0.633460402	0	0	0	0	0	3
23	11	0	0.27330752	101325.073	101325.04	101324.406	101325.147	0.634931566	0	0	0	0	0	3
24	12	0	0.285190455	101325.072	101325.042	101324.406	101325.147	0.636246894	0	0	0	0	0	3
25	12	0	0.297073391	101325.072	101325.043	101324.406	101325.147	0.637437166	0	0	0	0	0	3
26	13	0	0.308956326	101325.072	101325.044	101324.406	101325.147	0.638549744	0	0	0	0	0	3
27	13	0	0.320839262	101325.071	101325.045	101324.406	101325.147	0.639537565	0	0	0	0	0	3
28	14	0	0.332722198	101325.069	101325.046	101324.406	101325.147	0.640399694	0	0	0	0	0	3
29	14	0	0.344605133	101325.067	101325.047	101324.406	101325.147	0.641137663	0	0	0	0	0	3
30	14	0	0.356488069	101325.064	101325.047	101324.406	101325.147	0.641720821	0	0	0	0	0	3
31	15	0	0.368371005	101325.061	101325.048	101324.406	101325.147	0.642159899	0	0	0	0	0	3
32	15	0	0.38025394	101325.057	101325.048	101324.406	101325.147	0.642446772	0	0	0	0	0	3
33	16	0	0.392136876	101325.053	101325.048	101324.406	101325.147	0.642590794	0	0	0	0	0	3
34	16	0	0.404019811	101325.05	101325.048	101324.406	101325.147	0.642642493	0	0	0	0	0	3
