Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0123847119	293.199997	293.199997	293.199997	293.199997	0	0	0	0	0	0	3
2	3	0	0.0247694238	293.199999	293.199998	293.199997	293.199999	1.27077192e-06	0	0	0	0	0	3
3	4	0	0.0371541357	293.200001	293.199999	293.199997	293.200001	2.48842355e-06	0	0	0	0	0	3
4	4	0	0.0495388476	293.2	293.199999	293.199997	293.200001	2.67979107e-06	0	0	0	0	0	3
5	5	0	0.0619235595	293.199998	293.199999	293.199997	293.200001	2.67979107e-06	0	0	0	0	0	3
6	5	0	0.0743082714	293.199996	293.199999	293.199996	293.200001	2.67979107e-06	0	0	0	0	0	3
7	5	0	0.0866929833	293.199995	293.199998	293.199995	293.200001	2.67979107e-06	0	0	0	0	0	3
8	6	0	0.0990776952	293.199994	293.199998	293.199994	293.200001	2.67979107e-06	0	0	0	0	0	3
9	6	0	0.111462407	293.199994	293.199997	293.199994	293.200001	2.67979107e-06	0	0	0	0	0	3
10	6	0	0.123847119	293.199994	293.199997	293.199994	293.200001	2.67979107e-06	0	0	0	0	0	3
11	7	0	0.136231831	293.200001	293.199997	293.199994	293.200001	2.67979107e-06	0	0	0	0	0	3
12	7	0	0.148616543	293.200006	293.199998	293.199994	293.200006	2.67979107e-06	0	0	0	0	0	3
13	8	0	0.161001255	293.200011	293.199999	293.199994	293.200011	2.67979107e-06	0	0	0	0	0	3
14	8	0	0.173385967	293.200017	293.2	293.199994	293.200017	3.75665951e-06	0	0	0	0	0	3
15	8	0	0.185770678	293.200023	293.200002	293.199994	293.200023	5.24020288e-06	0	0	0	0	0	3
16	9	0	0.19815539	293.200031	293.200004	293.199994	293.200031	7.0563421e-06	0	0	0	0	0	3
17	9	0	0.210540102	293.20004	293.200006	293.199994	293.20004	9.22138059e-06	0	0	0	0	0	3
18	9	0	0.222924814	293.20005	293.200008	293.199994	293.20005	1.16749391e-05	0	0	0	0	0	3
19	10	0	0.235309526	293.20006	293.200011	293.199994	293.20006	1.43911153e-05	0	0	0	0	0	3
20	10	0	0.247694238	293.200069	293.200014	293.199994	293.200069	1.72886573e-05	0	0	0	0	0	3
21	11	0	0.26007895	293.200082	293.200017	293.199994	293.200082	2.05251641e-05	0	0	0	0	0	3
22	11	0	0.272463662	293.200095	293.200021	293.199994	293.200095	2.40688856e-05	0	0	0	0	0	3
23	11	0	0.284848374	293.200107	293.200024	293.199994	293.200107	2.78032594e-05	0	0	0	0	0	3
24	12	0	0.297233085	293.200117	293.200028	293.199994	293.200117	3.16730871e-05	0	0	0	0	0	3
25	12	0	0.309617797	293.200127	293.200032	293.199994	293.200127	3.56075136e-05	0	0	0	0	0	3
26	12	0	0.322002509	293.200137	293.200036	293.199994	293.200137	3.96221367e-05	0	0	0	0	0	3
27	13	0	0.334387221	293.200143	293.20004	293.199994	293.200143	4.35642589e-05	0	0	0	0	0	3
28	13	0	0.346771933	293.200145	293.200044	293.199994	293.200145	4.73120158e-05	0	0	0	0	0	3
