Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	65	0	0.0119082455	293.199982	293.199982	293.199982	293.199982	0	0	0	0	0	0	3
2	67	0	0.023816491	293.199976	293.199979	293.199976	293.199982	2.76526578e-06	0	0	0	0	0	3
3	72	0	0.0357247364	293.199969	293.199976	293.199969	293.199982	5.8853571e-06	0	0	0	0	0	3
4	74	0	0.0476329819	293.199962	293.199972	293.199962	293.199982	9.4026442e-06	0	0	0	0	0	3
5	75	0	0.0595412274	293.199954	293.199968	293.199954	293.199982	1.311647e-05	0	0	0	0	0	3
6	77	0	0.0714494729	293.199939	293.199964	293.199939	293.199982	1.79870072e-05	0	0	0	0	0	3
7	87	0	0.0833577183	293.199923	293.199958	293.199923	293.199982	2.38458757e-05	0	0	0	0	0	3
8	92	0	0.0952659638	293.199905	293.199951	293.199905	293.199982	3.03990738e-05	0	0	0	0	0	3
9	101	0	0.107174209	293.199889	293.199944	293.199889	293.199982	3.73104821e-05	0	0	0	0	0	3
10	103	0	0.119082455	293.199873	293.199937	293.199873	293.199982	4.44454211e-05	0	0	0	0	0	3
11	117	0	0.1309907	293.199851	293.199929	293.199851	293.199982	5.22466964e-05	0	0	0	0	0	3
12	126	0	0.142898946	293.19983	293.199921	293.19983	293.199982	6.05330889e-05	0	0	0	0	0	3
13	128	0	0.154807191	293.199809	293.199912	293.199809	293.199982	6.91184182e-05	0	0	0	0	0	3
14	130	0	0.166715437	293.19979	293.199904	293.19979	293.199982	7.78681438e-05	0	0	0	0	0	3
15	141	0	0.178623682	293.199771	293.199895	293.199771	293.199982	8.67011406e-05	0	0	0	0	0	3
16	143	0	0.190531928	293.199744	293.199885	293.199744	293.199982	9.61020313e-05	0	0	0	0	0	3
17	155	0	0.202440173	293.199719	293.199876	293.199719	293.199982	0.000105894093	0	0	0	0	0	3
18	157	0	0.214348419	293.199694	293.199866	293.199694	293.199982	0.000115969581	0	0	0	0	0	3
19	159	0	0.226256664	293.19967	293.199855	293.19967	293.199982	0.00012625529	0	0	0	0	0	3
20	160	0	0.23816491	293.199646	293.199845	293.199646	293.199982	0.000136703429	0	0	0	0	0	3
21	177	0	0.250073155	293.199611	293.199834	293.199611	293.199982	0.000147855101	0	0	0	0	0	3
22	195	0	0.2619814	293.199575	293.199822	293.199575	293.199982	0.000159623323	0	0	0	0	0	3
23	206	0	0.273889646	293.199538	293.19981	293.199538	293.199982	0.00017194826	0	0	0	0	0	3
24	214	0	0.285797891	293.199502	293.199797	293.199502	293.199982	0.000184783521	0	0	0	0	0	3
25	229	0	0.297706137	293.199464	293.199783	293.199464	293.199982	0.000198098335	0	0	0	0	0	3
26	231	0	0.309614382	293.199406	293.199769	293.199406	293.199982	0.000212622358	0	0	0	0	0	3
27	234	0	0.321522628	293.199346	293.199753	293.199346	293.199982	0.000228294866	0	0	0	0	0	3
28	237	0	0.333430873	293.199284	293.199736	293.199284	293.199982	0.000245040968	0	0	0	0	0	3
29	242	0	0.345339119	293.199222	293.199719	293.199222	293.199982	0.000262780601	0	0	0	0	0	3
30	248	0	0.357247364	293.19916	293.1997	293.19916	293.199982	0.000281414412	0	0	0	0	0	3
31	249	0	0.36915561	293.199073	293.19968	293.199073	293.199982	0.000301634628	0	0	0	0	0	3
