Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0116921313	-4606.43447	-4606.43447	-4606.43447	-4606.43447	0	0	0	0	0	0	3
2	10	0	0.0233842626	-362.453434	-2484.44395	-4606.43447	-362.453434	2121.99052	0	0	0	0	0	3
3	11	0	0.0350763939	-104.39294	-1691.09362	-4606.43447	-104.39294	2915.34086	0	0	0	0	0	3
4	12	0	0.0467685252	-63.6614473	-1284.23557	-4606.43447	-63.6614473	3322.1989	0	0	0	0	0	3
5	13	0	0.0584606565	-76.548577	-1042.69817	-4606.43447	-63.6614473	3563.7363	0	0	0	0	0	3
6	16	0	0.0701527878	-58.9357555	-878.737771	-4606.43447	-58.9357555	3727.6967	0	0	0	0	0	3
7	17	0	0.0818449191	-68.819905	-763.035219	-4606.43447	-58.9357555	3843.39926	0	0	0	0	0	3
8	18	0	0.0935370504	-55.7375239	-674.623007	-4606.43447	-55.7375239	3931.81147	0	0	0	0	0	3
9	19	0	0.105229182	-63.6148729	-606.733214	-4606.43447	-55.7375239	3999.70126	0	0	0	0	0	3
10	20	0	0.116921313	-53.8009853	-551.439992	-4606.43447	-53.8009853	4054.99448	0	0	0	0	0	3
11	21	0	0.128613444	-60.0505797	-506.768227	-4606.43447	-53.8009853	4099.66625	0	0	0	0	0	3
12	22	0	0.140305576	-52.7717409	-468.935186	-4606.43447	-52.7717409	4137.49929	0	0	0	0	0	3
13	23	0	0.151997707	-57.1692962	-437.260887	-4606.43447	-52.7717409	4169.17359	0	0	0	0	0	3
14	24	0	0.163689838	-52.1858702	-409.755529	-4606.43447	-52.1858702	4196.67895	0	0	0	0	0	3
15	25	0	0.175381969	-55.4117694	-386.132611	-4606.43447	-52.1858702	4220.30186	0	0	0	0	0	3
16	26	0	0.187074101	-52.0999956	-365.255573	-4606.43447	-52.0999956	4241.1789	0	0	0	0	0	3
17	27	0	0.198766232	-53.5053505	-346.917325	-4606.43447	-52.0999956	4259.51715	0	0	0	0	0	3
