Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0116929288	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0233858576	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0350787863	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0467717151	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0584646439	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0701575727	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.0818505015	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0935434303	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.105236359	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.116929288	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.128622217	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.140315145	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.152008074	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.163701003	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.175393932	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.187086861	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.198779789	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.210472718	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.222165647	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.233858576	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.245551504	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.257244433	0	0	0	0	0	0	0	0	0	0	3
23	23	0	0.268937362	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.280630291	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.29232322	0	0	0	0	0	0	0	0	0	0	3
26	26	0	0.304016148	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.315709077	0	0	0	0	0	0	0	0	0	0	3
28	27	0	0.327402006	0	0	0	0	0	0	0	0	0	0	3
29	28	0	0.339094935	0	0	0	0	0	0	0	0	0	0	3
30	29	0	0.350787863	0	0	0	0	0	0	0	0	0	0	3
31	30	0	0.362480792	0	0	0	0	0	0	0	0	0	0	3
32	31	0	0.374173721	0	0	0	0	0	0	0	0	0	0	3
33	32	0	0.38586665	0	0	0	0	0	0	0	0	0	0	3
34	33	0	0.397559579	0	0	0	0	0	0	0	0	0	0	3
35	34	0	0.409252507	0	0	0	0	0	0	0	0	0	0	3
36	35	0	0.420945436	0	0	0	0	0	0	0	0	0	0	3
37	36	0	0.432638365	0	0	0	0	0	0	0	0	0	0	3
38	37	0	0.444331294	0	0	0	0	0	0	0	0	0	0	3
39	38	0	0.456024222	0	0	0	0	0	0	0	0	0	0	3
40	39	0	0.467717151	0	0	0	0	0	0	0	0	0	0	3
41	40	0	0.47941008	0	0	0	0	0	0	0	0	0	0	3
42	41	0	0.491103009	0	0	0	0	0	0	0	0	0	0	3
43	43	0	0.502795938	0	0	0	0	0	0	0	0	0	0	3
44	44	0	0.514488866	0	0	0	0	0	0	0	0	0	0	3
45	45	0	0.526181795	0	0	0	0	0	0	0	0	0	0	3
46	46	0	0.537874724	0	0	0	0	0	0	0	0	0	0	3
47	47	0	0.549567653	0	0	0	0	0	0	0	0	0	0	3
48	48	0	0.561260582	0	0	0	0	0	0	0	0	0	0	3
49	49	0	0.57295351	0	0	0	0	0	0	0	0	0	0	3
50	50	0	0.584646439	0	0	0	0	0	0	0	0	0	0	3
51	51	0	0.596339368	0	0	0	0	0	0	0	0	0	0	3
52	52	0	0.608032297	0	0	0	0	0	0	0	0	0	0	3
53	53	0	0.619725225	0	0	0	0	0	0	0	0	0	0	3
54	54	0	0.631418154	0	0	0	0	0	0	0	0	0	0	3
55	55	0	0.643111083	0	0	0	0	0	0	0	0	0	0	3
56	56	0	0.654804012	0	0	0	0	0	0	0	0	0	0	3
57	57	0	0.666496941	0	0	0	0	0	0	0	0	0	0	3
58	59	0	0.678189869	0	0	0	0	0	0	0	0	0	0	3
59	60	0	0.689882798	0	0	0	0	0	0	0	0	0	0	3
60	61	0	0.701575727	0	0	0	0	0	0	0	0	0	0	3
61	62	0	0.713268656	0	0	0	0	0	0	0	0	0	0	3
62	63	0	0.724961584	0	0	0	0	0	0	0	0	0	0	3
63	64	0	0.736654513	0	0	0	0	0	0	0	0	0	0	3
