Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0116929288	101321.611	101321.611	101321.611	101321.611	0	0	0	0	0	0	3
2	4	0	0.0233858576	101325.504	101323.558	101321.611	101325.504	1.94650679	0	0	0	0	0	3
3	5	0	0.0350787863	101325.358	101324.158	101321.611	101325.504	2.54656919	0	0	0	0	0	3
4	6	0	0.0467717151	101325.242	101324.429	101321.611	101325.504	2.81753604	0	0	0	0	0	3
5	7	0	0.0584646439	101325.286	101324.6	101321.611	101325.504	2.9890405	0	0	0	0	0	3
6	8	0	0.0701575727	101325.253	101324.709	101321.611	101325.504	3.09784262	0	0	0	0	0	3
7	9	0	0.0818505015	101325.295	101324.793	101321.611	101325.504	3.18154177	0	0	0	0	0	3
8	9	0	0.0935434303	101325.26	101324.851	101321.611	101325.504	3.23990817	0	0	0	0	0	3
9	10	0	0.105236359	101325.293	101324.9	101321.611	101325.504	3.28901456	0	0	0	0	0	3
10	11	0	0.116929288	101325.248	101324.935	101321.611	101325.504	3.32382863	0	0	0	0	0	3
11	12	0	0.128622217	101325.273	101324.966	101321.611	101325.504	3.35459987	0	0	0	0	0	3
12	13	0	0.140315145	101325.236	101324.988	101321.611	101325.504	3.37708922	0	0	0	0	0	3
13	14	0	0.152008074	101325.261	101325.009	101321.611	101325.504	3.39804178	0	0	0	0	0	3
14	14	0	0.163701003	101325.223	101325.024	101321.611	101325.504	3.41329555	0	0	0	0	0	3
15	15	0	0.175393932	101325.246	101325.039	101321.611	101325.504	3.42807199	0	0	0	0	0	3
16	16	0	0.187086861	101325.212	101325.05	101321.611	101325.504	3.43888078	0	0	0	0	0	3
17	17	0	0.198779789	101325.227	101325.06	101321.611	101325.504	3.44927987	0	0	0	0	0	3
18	18	0	0.210472718	101325.203	101325.068	101321.611	101325.504	3.45721285	0	0	0	0	0	3
19	19	0	0.222165647	101325.216	101325.076	101321.611	101325.504	3.46498239	0	0	0	0	0	3
20	20	0	0.233858576	101325.203	101325.083	101321.611	101325.504	3.47133163	0	0	0	0	0	3
21	21	0	0.245551504	101325.214	101325.089	101321.611	101325.504	3.47761054	0	0	0	0	0	3
22	22	0	0.257244433	101325.208	101325.094	101321.611	101325.504	3.48304761	0	0	0	0	0	3
23	23	0	0.268937362	101325.206	101325.099	101321.611	101325.504	3.48789283	0	0	0	0	0	3
24	23	0	0.280630291	101325.195	101325.103	101321.611	101325.504	3.49190362	0	0	0	0	0	3
25	24	0	0.29232322	101325.193	101325.107	101321.611	101325.504	3.49551966	0	0	0	0	0	3
26	26	0	0.304016148	101325.182	101325.11	101321.611	101325.504	3.49840946	0	0	0	0	0	3
27	26	0	0.315709077	101325.172	101325.112	101321.611	101325.504	3.50073079	0	0	0	0	0	3
28	27	0	0.327402006	101325.159	101325.114	101321.611	101325.504	3.50240914	0	0	0	0	0	3
29	28	0	0.339094935	101325.152	101325.115	101321.611	101325.504	3.50371903	0	0	0	0	0	3
30	29	0	0.350787863	101325.143	101325.116	101321.611	101325.504	3.50467189	0	0	0	0	0	3
31	30	0	0.362480792	101325.138	101325.117	101321.611	101325.504	3.50538599	0	0	0	0	0	3
32	31	0	0.374173721	101325.134	101325.117	101321.611	101325.504	3.50593964	0	0	0	0	0	3
33	32	0	0.38586665	101325.131	101325.118	101321.611	101325.504	3.50635222	0	0	0	0	0	3
34	33	0	0.397559579	101325.13	101325.118	101321.611	101325.504	3.50671371	0	0	0	0	0	3
35	34	0	0.409252507	101325.132	101325.118	101321.611	101325.504	3.50710998	0	0	0	0	0	3
36	35	0	0.420945436	101325.135	101325.119	101321.611	101325.504	3.50757894	0	0	0	0	0	3
37	36	0	0.432638365	101325.141	101325.119	101321.611	101325.504	3.50817686	0	0	0	0	0	3
38	37	0	0.444331294	101325.147	101325.12	101321.611	101325.504	3.50891051	0	0	0	0	0	3
39	38	0	0.456024222	101325.152	101325.121	101321.611	101325.504	3.50972498	0	0	0	0	0	3
40	39	0	0.467717151	101325.156	101325.122	101321.611	101325.504	3.51059352	0	0	0	0	0	3
41	40	0	0.47941008	101325.158	101325.123	101321.611	101325.504	3.51146896	0	0	0	0	0	3
42	41	0	0.491103009	101325.159	101325.124	101321.611	101325.504	3.51234043	0	0	0	0	0	3
43	43	0	0.502795938	101325.16	101325.124	101321.611	101325.504	3.5131896	0	0	0	0	0	3
44	44	0	0.514488866	101325.16	101325.207	101325.13	101325.504	0.374370798	0	0	0	0	0	3
45	45	0	0.526181795	101325.16	101325.199	101325.13	101325.358	0.228051216	0	0	0	0	0	3
46	46	0	0.537874724	101325.16	101325.194	101325.13	101325.295	0.165093832	0	0	0	0	0	3
47	47	0	0.549567653	101325.16	101325.192	101325.13	101325.295	0.165093832	0	0	0	0	0	3
48	48	0	0.561260582	101325.16	101325.189	101325.13	101325.295	0.165093832	0	0	0	0	0	3
49	49	0	0.57295351	101325.16	101325.187	101325.13	101325.295	0.165093832	0	0	0	0	0	3
50	50	0	0.584646439	101325.16	101325.184	101325.13	101325.293	0.163222899	0	0	0	0	0	3
51	51	0	0.596339368	101325.16	101325.182	101325.13	101325.293	0.163222899	0	0	0	0	0	3
52	52	0	0.608032297	101325.159	101325.179	101325.13	101325.273	0.143669456	0	0	0	0	0	3
53	53	0	0.619725225	101325.159	101325.177	101325.13	101325.273	0.143669456	0	0	0	0	0	3
54	54	0	0.631418154	101325.159	101325.174	101325.13	101325.261	0.130829749	0	0	0	0	0	3
55	55	0	0.643111083	101325.158	101325.172	101325.13	101325.261	0.130829749	0	0	0	0	0	3
