Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	62	0	0.0118101954	368.586253	368.586253	368.586253	368.586253	0	0	0	0	0	0	3
2	64	0	0.0236203908	206.357532	287.471893	206.357532	368.586253	81.1143606	0	0	0	0	0	3
3	74	0	0.0354305862	51.9795815	208.974456	51.9795815	368.586253	159.611798	0	0	0	0	0	3
4	77	0	0.0472407816	31.4993235	164.605673	31.4993235	368.586253	203.980581	0	0	0	0	0	3
5	86	0	0.059050977	38.0044543	139.285429	31.4993235	368.586253	229.300824	0	0	0	0	0	3
6	95	0	0.0708611724	32.4365047	121.477275	31.4993235	368.586253	247.108978	0	0	0	0	0	3
7	107	0	0.0826713678	36.9178913	109.397363	31.4993235	368.586253	259.18889	0	0	0	0	0	3
8	117	0	0.0944815632	27.2340321	99.1269466	27.2340321	368.586253	269.459307	0	0	0	0	0	3
9	128	0	0.106291759	34.0191333	91.8927452	27.2340321	368.586253	276.693508	0	0	0	0	0	3
10	144	0	0.118101954	22.4528611	84.9487567	22.4528611	368.586253	283.637497	0	0	0	0	0	3
11	146	0	0.129912149	35.758188	80.4768869	22.4528611	368.586253	288.109367	0	0	0	0	0	3
12	155	0	0.141722345	22.7958736	75.6701358	22.4528611	368.586253	292.916118	0	0	0	0	0	3
13	164	0	0.15353254	32.9294281	72.382389	22.4528611	368.586253	296.203864	0	0	0	0	0	3
14	183	0	0.165342736	23.512987	68.8917174	22.4528611	368.586253	299.694536	0	0	0	0	0	3
15	207	0	0.177152931	32.7647468	66.4832527	22.4528611	368.586253	302.103001	0	0	0	0	0	3
16	214	0	0.188963126	25.5431137	63.924494	22.4528611	368.586253	304.661759	0	0	0	0	0	3
17	228	0	0.200773322	29.7118283	61.9119843	22.4528611	368.586253	306.674269	0	0	0	0	0	3
18	240	0	0.212583517	23.7328493	59.7909212	22.4528611	368.586253	308.795332	0	0	0	0	0	3
