Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	62	0	0.0118101954	0	0	0	0	0	0	0	0	0	0	3
2	64	0	0.0236203908	0	0	0	0	0	0	0	0	0	0	3
3	74	0	0.0354305862	0	0	0	0	0	0	0	0	0	0	3
4	77	0	0.0472407816	0	0	0	0	0	0	0	0	0	0	3
5	86	0	0.059050977	0	0	0	0	0	0	0	0	0	0	3
6	95	0	0.0708611724	0	0	0	0	0	0	0	0	0	0	3
7	107	0	0.0826713678	0	0	0	0	0	0	0	0	0	0	3
8	117	0	0.0944815632	0	0	0	0	0	0	0	0	0	0	3
9	128	0	0.106291759	0	0	0	0	0	0	0	0	0	0	3
10	144	0	0.118101954	0	0	0	0	0	0	0	0	0	0	3
11	146	0	0.129912149	0	0	0	0	0	0	0	0	0	0	3
12	155	0	0.141722345	0	0	0	0	0	0	0	0	0	0	3
13	164	0	0.15353254	0	0	0	0	0	0	0	0	0	0	3
14	183	0	0.165342736	0	0	0	0	0	0	0	0	0	0	3
15	207	0	0.177152931	0	0	0	0	0	0	0	0	0	0	3
16	214	0	0.188963126	0	0	0	0	0	0	0	0	0	0	3
17	228	0	0.200773322	0	0	0	0	0	0	0	0	0	0	3
18	240	0	0.212583517	0	0	0	0	0	0	0	0	0	0	3
19	247	0	0.224393713	0	0	0	0	0	0	0	0	0	0	3
20	259	0	0.236203908	0	0	0	0	0	0	0	0	0	0	3
21	269	0	0.248014103	0	0	0	0	0	0	0	0	0	0	3
22	273	0	0.259824299	0	0	0	0	0	0	0	0	0	0	3
23	288	0	0.271634494	0	0	0	0	0	0	0	0	0	0	3
24	310	0	0.28344469	0	0	0	0	0	0	0	0	0	0	3
25	316	0	0.295254885	0	0	0	0	0	0	0	0	0	0	3
26	331	0	0.30706508	0	0	0	0	0	0	0	0	0	0	3
27	342	0	0.318875276	0	0	0	0	0	0	0	0	0	0	3
28	352	0	0.330685471	0	0	0	0	0	0	0	0	0	0	3
29	366	0	0.342495667	0	0	0	0	0	0	0	0	0	0	3
30	386	0	0.354305862	0	0	0	0	0	0	0	0	0	0	3
31	401	0	0.366116057	0	0	0	0	0	0	0	0	0	0	3
32	415	0	0.377926253	0	0	0	0	0	0	0	0	0	0	3
33	427	0	0.389736448	0	0	0	0	0	0	0	0	0	0	3
34	437	0	0.401546644	0	0	0	0	0	0	0	0	0	0	3
35	443	0	0.413356839	0	0	0	0	0	0	0	0	0	0	3
36	451	0	0.425167034	0	0	0	0	0	0	0	0	0	0	3
37	453	0	0.43697723	0	0	0	0	0	0	0	0	0	0	3
38	460	0	0.448787425	0	0	0	0	0	0	0	0	0	0	3
39	475	0	0.46059762	0	0	0	0	0	0	0	0	0	0	3
40	492	0	0.472407816	0	0	0	0	0	0	0	0	0	0	3
41	499	0	0.484218011	0	0	0	0	0	0	0	0	0	0	3
42	511	0	0.496028207	0	0	0	0	0	0	0	0	0	0	3
43	526	0	0.507838402	0	0	0	0	0	0	0	0	0	0	3
44	543	0	0.519648597	0	0	0	0	0	0	0	0	0	0	3
45	554	0	0.531458793	0	0	0	0	0	0	0	0	0	0	3
46	565	0	0.543268988	0	0	0	0	0	0	0	0	0	0	3
47	577	0	0.555079184	0	0	0	0	0	0	0	0	0	0	3
48	593	0	0.566889379	0	0	0	0	0	0	0	0	0	0	3
49	609	0	0.578699574	0	0	0	0	0	0	0	0	0	0	3
50	617	0	0.59050977	0	0	0	0	0	0	0	0	0	0	3
51	633	0	0.602319965	0	0	0	0	0	0	0	0	0	0	3
52	644	0	0.614130161	0	0	0	0	0	0	0	0	0	0	3
53	668	0	0.625940356	0	0	0	0	0	0	0	0	0	0	3
54	678	0	0.637750551	0	0	0	0	0	0	0	0	0	0	3
55	692	0	0.649560747	0	0	0	0	0	0	0	0	0	0	3
56	715	0	0.661370942	0	0	0	0	0	0	0	0	0	0	3
57	727	0	0.673181138	0	0	0	0	0	0	0	0	0	0	3
58	746	0	0.684991333	0	0	0	0	0	0	0	0	0	0	3
59	755	0	0.696801528	0	0	0	0	0	0	0	0	0	0	3
60	775	0	0.708611724	0	0	0	0	0	0	0	0	0	0	3
61	791	0	0.720421919	0	0	0	0	0	0	0	0	0	0	3
62	798	0	0.732232115	0	0	0	0	0	0	0	0	0	0	3
63	803	0	0.74404231	0	0	0	0	0	0	0	0	0	0	3
64	807	0	0.755852505	0	0	0	0	0	0	0	0	0	0	3
65	811	0	0.767662701	0	0	0	0	0	0	0	0	0	0	3
66	815	0	0.779472896	0	0	0	0	0	0	0	0	0	0	3
67	818	0	0.791283092	0	0	0	0	0	0	0	0	0	0	3
68	827	0	0.803093287	0	0	0	0	0	0	0	0	0	0	3
69	837	0	0.814903482	0	0	0	0	0	0	0	0	0	0	3
70	851	0	0.826713678	0	0	0	0	0	0	0	0	0	0	3
71	867	0	0.838523873	0	0	0	0	0	0	0	0	0	0	3
72	881	0	0.850334069	0	0	0	0	0	0	0	0	0	0	3
73	894	0	0.862144264	0	0	0	0	0	0	0	0	0	0	3
74	910	0	0.873954459	0	0	0	0	0	0	0	0	0	0	3
75	916	0	0.885764655	0	0	0	0	0	0	0	0	0	0	3
76	920	0	0.89757485	0	0	0	0	0	0	0	0	0	0	3
77	929	0	0.909385046	0	0	0	0	0	0	0	0	0	0	3
78	939	0	0.921195241	0	0	0	0	0	0	0	0	0	0	3
79	942	0	0.933005436	0	0	0	0	0	0	0	0	0	0	3
80	955	0	0.944815632	0	0	0	0	0	0	0	0	0	0	3
81	957	0	0.956625827	0	0	0	0	0	0	0	0	0	0	3
82	963	0	0.968436023	0	0	0	0	0	0	0	0	0	0	3
83	966	0	0.980246218	0	0	0	0	0	0	0	0	0	0	3
84	974	0	0.992056413	0	0	0	0	0	0	0	0	0	0	3
85	978	0	1.00386661	0	0	0	0	0	0.001	0	0	0	0	3
86	988	0	1.0156768	0	0	0	0	0	0.001	0	0	0	0	3
87	996	0	1.027487	0	0	0	0	0	0.001	0	0	0	0	3
88	1007	0	1.03929719	0	0	0	0	0	0.001	0	0	0	0	3
89	1041	0	1.05110739	0	0	0	0	0	0.001	0	0	0	0	3
