Iteration	CPUTime	PhysTime	Travels
1	62	0	0.0118101954
2	64	0	0.0236203908
3	74	0	0.0354305862
4	77	0	0.0472407816
5	86	0	0.059050977
6	95	0	0.0708611724
7	107	0	0.0826713678
8	117	0	0.0944815632
9	128	0	0.106291759
10	144	0	0.118101954
11	146	0	0.129912149
12	155	0	0.141722345
13	164	0	0.15353254
14	183	0	0.165342736
15	207	0	0.177152931
16	214	0	0.188963126
17	228	0	0.200773322
18	240	0	0.212583517
19	247	0	0.224393713
20	259	0	0.236203908
21	269	0	0.248014103
22	273	0	0.259824299
23	288	0	0.271634494
24	310	0	0.28344469
25	316	0	0.295254885
26	331	0	0.30706508
27	342	0	0.318875276
28	352	0	0.330685471
29	366	0	0.342495667
30	386	0	0.354305862
31	401	0	0.366116057
32	415	0	0.377926253
33	427	0	0.389736448
34	437	0	0.401546644
35	443	0	0.413356839
36	451	0	0.425167034
37	453	0	0.43697723
38	460	0	0.448787425
39	475	0	0.46059762
40	492	0	0.472407816
41	499	0	0.484218011
42	511	0	0.496028207
43	526	0	0.507838402
44	543	0	0.519648597
45	554	0	0.531458793
46	565	0	0.543268988
47	577	0	0.555079184
48	593	0	0.566889379
49	609	0	0.578699574
50	617	0	0.59050977
51	633	0	0.602319965
52	644	0	0.614130161
53	668	0	0.625940356
54	678	0	0.637750551
55	692	0	0.649560747
56	715	0	0.661370942
57	727	0	0.673181138
58	746	0	0.684991333
59	755	0	0.696801528
60	775	0	0.708611724
61	791	0	0.720421919
62	798	0	0.732232115
63	803	0	0.74404231
64	807	0	0.755852505
65	811	0	0.767662701
66	815	0	0.779472896
67	818	0	0.791283092
68	827	0	0.803093287
69	837	0	0.814903482
70	851	0	0.826713678
71	867	0	0.838523873
72	881	0	0.850334069
73	894	0	0.862144264
74	910	0	0.873954459
75	916	0	0.885764655
76	920	0	0.89757485
77	929	0	0.909385046
78	939	0	0.921195241
79	942	0	0.933005436
80	955	0	0.944815632
81	957	0	0.956625827
82	963	0	0.968436023
83	966	0	0.980246218
84	974	0	0.992056413
85	978	0	1.00386661
86	988	0	1.0156768
87	996	0	1.027487
88	1007	0	1.03929719
89	1041	0	1.05110739
90	1063	0	1.06291759
91	1086	0	1.07472778
92	1111	0	1.08653798
93	1145	0	1.09834817
94	1153	0	1.11015837
95	1162	0	1.12196856
96	1166	0	1.13377876
97	1173	0	1.14558895
98	1182	0	1.15739915
99	1213	0	1.16920934
100	1231	0	1.18101954
101	1294	0	1.19282974
102	1307	0	1.20463993
103	1330	0	1.21645013
104	1337	0	1.22826032
105	1349	0	1.24007052
106	1358	0	1.25188071
107	1381	0	1.26369091
108	1396	0	1.2755011
109	1410	0	1.2873113
110	1442	0	1.29912149
111	1465	0	1.31093169
112	1489	0	1.32274188
113	1502	0	1.33455208
114	1514	0	1.34636228
115	1517	0	1.35817247
116	1526	0	1.36998267
117	1534	0	1.38179286
118	1549	0	1.39360306
119	1574	0	1.40541325
120	1595	0	1.41722345
121	1613	0	1.42903364
122	1633	0	1.44084384
123	1659	0	1.45265403
124	1681	0	1.46446423
125	1685	0	1.47627442
126	1693	0	1.48808462
127	1703	0	1.49989482
128	1720	0	1.51170501
129	1738	0	1.52351521
130	1758	0	1.5353254
131	1780	0	1.5471356
132	1801	0	1.55894579
133	1824	0	1.57075599
134	1845	0	1.58256618
135	1867	0	1.59437638
136	1887	0	1.60618657
137	1899	0	1.61799677
138	1919	0	1.62980696
139	1931	0	1.64161716
140	1948	0	1.65342736
141	1959	0	1.66523755
142	1977	0	1.67704775
143	1992	0	1.68885794
144	2013	0	1.70066814
145	2026	0	1.71247833
146	2034	0	1.72428853
147	2042	0	1.73609872
148	2056	0	1.74790892
149	2066	0	1.75971911
150	2071	0	1.77152931
151	2083	0	1.7833395
152	2107	0	1.7951497
153	2129	0	1.8069599
154	2152	0	1.81877009
155	2171	0	1.83058029
156	2195	0	1.84239048
157	2220	0	1.85420068
158	2230	0	1.86601087
159	2234	0	1.87782107
160	2248	0	1.88963126
161	2266	0	1.90144146
162	2287	0	1.91325165
163	2303	0	1.92506185
164	2324	0	1.93687205
165	2344	0	1.94868224
166	2356	0	1.96049244
167	2374	0	1.97230263
168	2389	0	1.98411283
169	2401	0	1.99592302
170	2406	0	2.00773322
171	2413	0	2.01954341
172	2425	0	2.03135361
173	2427	0	2.0431638
