Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.010402389	6154.7731	6154.7731	6154.7731	6154.7731	0	0	0	0	0	0	3
2	16	0	0.0208047781	327.682275	3241.22769	327.682275	6154.7731	2913.54541	0	0	0	0	0	3
3	18	0	0.0312071671	71.9374515	2184.79761	71.9374515	6154.7731	3969.97549	0	0	0	0	0	3
4	19	0	0.0416095562	65.8163905	1655.0523	65.8163905	6154.7731	4499.72079	0	0	0	0	0	3
5	20	0	0.0520119452	80.2950087	1340.10084	65.8163905	6154.7731	4814.67225	0	0	0	0	0	3
6	21	0	0.0624143343	76.0445016	1129.42479	65.8163905	6154.7731	5025.34831	0	0	0	0	0	3
7	23	0	0.0728167233	77.4204404	979.138452	65.8163905	6154.7731	5175.63465	0	0	0	0	0	3
8	24	0	0.0832191124	75.7688576	866.217253	65.8163905	6154.7731	5288.55585	0	0	0	0	0	3
9	25	0	0.0936215014	76.1358701	778.430433	65.8163905	6154.7731	5376.34267	0	0	0	0	0	3
10	27	0	0.10402389	75.3679139	708.124181	65.8163905	6154.7731	5446.64892	0	0	0	0	0	3
11	28	0	0.11442628	74.6606799	650.53659	65.8163905	6154.7731	5504.23651	0	0	0	0	0	3
12	29	0	0.124828669	74.4223617	602.527071	65.8163905	6154.7731	5552.24603	0	0	0	0	0	3
13	30	0	0.135231058	74.3073418	561.894784	65.8163905	6154.7731	5592.87831	0	0	0	0	0	3
14	32	0	0.145633447	74.4263939	527.075613	65.8163905	6154.7731	5627.69749	0	0	0	0	0	3
15	33	0	0.156035836	73.5077092	496.837753	65.8163905	6154.7731	5657.93535	0	0	0	0	0	3
16	34	0	0.166438225	73.9018255	470.404257	65.8163905	6154.7731	5684.36884	0	0	0	0	0	3
17	36	0	0.176840614	73.4324575	447.052975	65.8163905	6154.7731	5707.72012	0	0	0	0	0	3
18	37	0	0.187243003	73.3695791	426.292786	65.8163905	6154.7731	5728.48031	0	0	0	0	0	3
19	38	0	0.197645392	73.5211164	407.725856	65.8163905	6154.7731	5747.04724	0	0	0	0	0	3
20	39	0	0.208047781	73.5951982	391.019324	65.8163905	6154.7731	5763.75377	0	0	0	0	0	3
21	41	0	0.21845017	73.9629107	375.921399	65.8163905	6154.7731	5778.8517	0	0	0	0	0	3
22	42	0	0.228852559	73.3600773	362.168612	65.8163905	6154.7731	5792.60449	0	0	0	0	0	3
23	44	0	0.239254948	74.0642036	349.642333	65.8163905	6154.7731	5805.13077	0	0	0	0	0	3
24	45	0	0.249657337	73.8445289	338.150758	65.8163905	6154.7731	5816.62234	0	0	0	0	0	3
25	46	0	0.260059726	74.0492042	327.586696	65.8163905	6154.7731	5827.1864	0	0	0	0	0	3
26	47	0	0.270462115	74.1655882	317.83973	65.8163905	6154.7731	5836.93337	0	0	0	0	0	3
27	49	0	0.280864504	74.3104897	308.820129	65.8163905	6154.7731	5845.95297	0	0	0	0	0	3
28	50	0	0.291266893	74.4457903	300.449617	65.8163905	6154.7731	5854.32348	0	0	0	0	0	3
29	51	0	0.301669282	74.8581479	292.6706	65.8163905	6154.7731	5862.1025	0	0	0	0	0	3
30	53	0	0.312071671	75.0081293	285.415185	65.8163905	6154.7731	5869.35791	0	0	0	0	0	3
31	54	0	0.32247406	74.6107117	278.61504	65.8163905	6154.7731	5876.15806	0	0	0	0	0	3
32	56	0	0.33287645	75.1272386	272.256047	65.8163905	6154.7731	5882.51705	0	0	0	0	0	3
33	57	0	0.343278839	74.9309629	266.276499	65.8163905	6154.7731	5888.4966	0	0	0	0	0	3
34	58	0	0.353681228	74.9977212	260.650652	65.8163905	6154.7731	5894.12245	0	0	0	0	0	3
35	60	0	0.364083617	74.8265059	255.341391	65.8163905	6154.7731	5899.43171	0	0	0	0	0	3
36	61	0	0.374486006	74.9193401	250.329667	65.8163905	6154.7731	5904.44343	0	0	0	0	0	3
37	63	0	0.384888395	75.1916463	245.596207	65.8163905	6154.7731	5909.17689	0	0	0	0	0	3
38	64	0	0.395290784	74.9983562	241.10679	65.8163905	6154.7731	5913.66631	0	0	0	0	0	3
39	66	0	0.405693173	75.0165631	236.848066	65.8163905	6154.7731	5917.92503	0	0	0	0	0	3
40	67	0	0.416095562	75.4968948	232.814287	65.8163905	6154.7731	5921.95881	0	0	0	0	0	3
41	69	0	0.426497951	75.4883921	228.97707	65.8163905	6154.7731	5925.79603	0	0	0	0	0	3
42	70	0	0.43690034	76.4164548	225.344675	65.8163905	6154.7731	5929.42842	0	0	0	0	0	3
43	72	0	0.447302729	76.7427723	221.888816	65.8163905	6154.7731	5932.88428	0	0	0	0	0	3
44	73	0	0.457705118	77.0088378	218.59609	65.8163905	6154.7731	5936.17701	0	0	0	0	0	3
45	75	0	0.468107507	77.0896577	215.451502	65.8163905	6154.7731	5939.3216	0	0	0	0	0	3
46	76	0	0.478509896	77.1423541	212.444782	65.8163905	6154.7731	5942.32832	0	0	0	0	0	3
47	78	0	0.488912285	77.125567	209.565649	65.8163905	6154.7731	5945.20745	0	0	0	0	0	3
48	79	0	0.499314674	77.4786714	206.813837	65.8163905	6154.7731	5947.95926	0	0	0	0	0	3
49	80	0	0.509717063	77.6372924	204.177581	65.8163905	6154.7731	5950.59552	0	0	0	0	0	3
50	82	0	0.520119452	77.4053719	80.1496685	65.8163905	327.682275	261.865885	0	0	0	0	0	3
51	83	0	0.530521841	77.4947838	75.0438013	65.8163905	80.2950087	14.4786183	0	0	0	0	0	3
52	84	0	0.54092423	77.1596992	75.1503778	65.8163905	80.2950087	14.4786183	0	0	0	0	0	3
53	86	0	0.55132662	76.9337125	75.3772619	73.3600773	80.2950087	6.93493149	0	0	0	0	0	3
54	87	0	0.561729009	76.9778811	75.3095654	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
55	92	0	0.572131398	77.1241246	75.3315986	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
56	93	0	0.582533787	76.8391927	75.3197364	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
57	94	0	0.592936176	77.4010238	75.3530459	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
58	96	0	0.603338565	77.0828072	75.3723711	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
59	97	0	0.613740954	77.3523284	75.4128694	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
60	99	0	0.624143343	77.097007	75.4625903	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
61	100	0	0.634545732	77.4687085	75.5247607	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
62	101	0	0.644948121	76.9709969	75.579121	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
63	103	0	0.65535051	77.1423772	75.6345492	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
64	104	0	0.665752899	77.1768675	75.70943	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
65	105	0	0.676155288	77.5784267	75.7844627	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
66	106	0	0.686557677	77.2142837	75.8616428	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
67	108	0	0.696960066	77.4376902	75.9446655	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
68	109	0	0.707362455	77.0016804	76.0156974	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
69	113	0	0.717764844	77.509576	76.0955827	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
70	114	0	0.728167233	77.2768805	76.1632147	73.3600773	77.6372924	4.27721519	0	0	0	0	0	3
71	116	0	0.738569622	77.29673	76.2435545	73.8445289	77.6372924	3.7927635	0	0	0	0	0	3
72	117	0	0.748972011	77.3161601	76.309921	73.8445289	77.6372924	3.7927635	0	0	0	0	0	3
73	120	0	0.7593744	77.270773	76.3798443	74.0492042	77.6372924	3.58808822	0	0	0	0	0	3
74	122	0	0.76977679	76.9302349	76.4386409	74.1655882	77.6372924	3.47170425	0	0	0	0	0	3
75	123	0	0.780179179	77.1212368	76.4989603	74.3104897	77.6372924	3.32680274	0	0	0	0	0	3
76	124	0	0.790581568	76.7683809	76.5491213	74.4457903	77.6372924	3.19150212	0	0	0	0	0	3
77	126	0	0.800983957	77.1079697	76.6034515	74.6107117	77.6372924	3.02658077	0	0	0	0	0	3
78	127	0	0.811386346	77.1571073	76.650369	74.6107117	77.6372924	3.02658077	0	0	0	0	0	3
79	128	0	0.821788735	77.420042	76.6995917	74.6107117	77.6372924	3.02658077	0	0	0	0	0	3
80	130	0	0.832191124	76.8778229	76.7458593	74.8265059	77.6372924	2.81078655	0	0	0	0	0	3
81	131	0	0.842593513	76.9181378	76.7824083	74.8265059	77.6372924	2.81078655	0	0	0	0	0	3
82	133	0	0.852995902	77.2228196	76.8291809	74.8265059	77.6372924	2.81078655	0	0	0	0	0	3
83	134	0	0.863398291	77.4692177	76.8796196	74.8265059	77.6372924	2.81078655	0	0	0	0	0	3
84	135	0	0.87380068	77.5105369	76.9343957	74.9193401	77.6372924	2.71795232	0	0	0	0	0	3
85	137	0	0.884203069	77.4636588	76.9863206	74.9983562	77.6372924	2.63893623	0	0	0	0	0	3
86	138	0	0.894605458	77.1902946	77.0271093	74.9983562	77.6372924	2.63893623	0	0	0	0	0	3
87	139	0	0.905007847	77.3566198	77.0752371	75.0165631	77.6372924	2.62072934	0	0	0	0	0	3
88	141	0	0.915410236	77.4504923	77.1249092	75.4883921	77.6372924	2.14890032	0	0	0	0	0	3
89	142	0	0.925812625	77.6790102	77.1694421	75.4883921	77.6790102	2.19061803	0	0	0	0	0	3
