Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	27.0484134	27.0484134	27.0484134	27.0484134	0	0	0	0	0	0	3
2	5	0	0.0240170514	15.9128457	21.4806295	15.9128457	27.0484134	5.56778385	0	0	0	0	0	3
3	5	0	0.036025577	17.6039637	20.1884076	15.9128457	27.0484134	6.86000581	0	0	0	0	0	3
4	6	0	0.0480341027	1.31810202	15.4708312	1.31810202	27.0484134	11.5775822	0	0	0	0	0	3
5	7	0	0.0600426284	7.36820481	13.8503059	1.31810202	27.0484134	13.1981075	0	0	0	0	0	3
6	8	0	0.0720511541	8.72380923	12.9958898	1.31810202	27.0484134	14.0525236	0	0	0	0	0	3
7	9	0	0.0840596798	5.15096509	11.8751863	1.31810202	27.0484134	15.1732271	0	0	0	0	0	3
8	9	0	0.0960682054	7.45516661	11.3226838	1.31810202	27.0484134	15.7257296	0	0	0	0	0	3
9	10	0	0.108076731	8.72771948	11.0343544	1.31810202	27.0484134	16.0140589	0	0	0	0	0	3
10	11	0	0.120085257	5.0529727	10.4362163	1.31810202	27.0484134	16.6121971	0	0	0	0	0	3
11	12	0	0.132093782	7.31799985	10.1527421	1.31810202	27.0484134	16.8956713	0	0	0	0	0	3
12	13	0	0.144102308	6.78526762	9.87211918	1.31810202	27.0484134	17.1762942	0	0	0	0	0	3
13	14	0	0.156110834	10.1360064	9.8924182	1.31810202	27.0484134	17.1762942	0	0	0	0	0	3
14	15	0	0.16811936	7.17498064	9.69831552	1.31810202	27.0484134	17.3500979	0	0	0	0	0	3
15	16	0	0.180127885	9.44569772	9.68147433	1.31810202	27.0484134	17.3669391	0	0	0	0	0	3
16	17	0	0.192136411	8.45547126	9.60484914	1.31810202	27.0484134	17.4435643	0	0	0	0	0	3
17	17	0	0.204144937	9.09014713	9.57457255	1.31810202	27.0484134	17.4738408	0	0	0	0	0	3
18	18	0	0.216153462	6.82562388	9.42185318	1.31810202	27.0484134	17.6265602	0	0	0	0	0	3
19	19	0	0.228161988	9.27700575	9.41422963	1.31810202	27.0484134	17.6341838	0	0	0	0	0	3
20	20	0	0.240170514	8.13917301	9.3504768	1.31810202	27.0484134	17.6979366	0	0	0	0	0	3
21	21	0	0.252179039	9.04918365	9.33612951	1.31810202	27.0484134	17.7122839	0	0	0	0	0	3
22	22	0	0.264187565	7.46523874	9.25108902	1.31810202	27.0484134	17.7973244	0	0	0	0	0	3
23	23	0	0.276196091	9.18798956	9.24834556	1.31810202	27.0484134	17.8000678	0	0	0	0	0	3
24	23	0	0.288204616	9.12176339	9.24307131	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
25	24	0	0.300213142	10.0831642	9.27667502	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
26	25	0	0.312221668	9.48294157	9.28460835	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
27	26	0	0.324230193	10.0133174	9.31159757	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
28	27	0	0.336238719	9.84515424	9.33065317	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
29	28	0	0.348247245	10.5317934	9.3720718	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
30	29	0	0.36025577	10.214494	9.40015254	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
31	30	0	0.372264296	10.4203825	9.43306318	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
32	31	0	0.384272822	9.91258026	9.44804809	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
33	32	0	0.396281347	10.1899959	9.47053136	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
34	32	0	0.408289873	9.74053913	9.47847276	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
35	33	0	0.420298399	9.85892979	9.48934296	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
36	34	0	0.432306925	9.50671303	9.48982546	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
37	35	0	0.44431545	9.71251365	9.49584406	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
38	36	0	0.456323976	9.45651349	9.49480905	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
39	37	0	0.468332502	9.59877411	9.49747482	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
40	38	0	0.480341027	9.46735896	9.49672192	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
41	39	0	0.492349553	9.54703381	9.49794904	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
42	40	0	0.504358079	9.34964548	9.49441801	1.31810202	27.0484134	17.8053421	0	0	0	0	0	3
43	41	0	0.516366604	9.50667694	9.07675761	1.31810202	17.6039637	12.4038719	0	0	0	0	0	3
44	42	0	0.52837513	9.30415427	8.91940782	1.31810202	17.6039637	11.2689998	0	0	0	0	0	3
45	43	0	0.540383656	9.43111013	8.72481607	1.31810202	10.5317934	6.74601513	0	0	0	0	0	3
46	44	0	0.552392181	9.14613868	8.91119789	5.0529727	10.5317934	5.12548985	0	0	0	0	0	3
47	45	0	0.564400707	9.33302316	8.95797928	5.0529727	10.5317934	4.27107374	0	0	0	0	0	3
48	46	0	0.576409233	9.09855606	8.96690182	5.0529727	10.5317934	3.15037021	0	0	0	0	0	3
49	47	0	0.588417758	9.19884103	9.06327982	5.0529727	10.5317934	2.59786775	0	0	0	0	0	3
50	48	0	0.600426284	8.98092319	9.09960736	5.0529727	10.5317934	2.30953838	0	0	0	0	0	3
51	49	0	0.61243481	9.15924955	9.10988189	5.0529727	10.5317934	1.7114002	0	0	0	0	0	3
52	50	0	0.624443335	8.87976042	9.20099588	6.78526762	10.5317934	1.42792598	0	0	0	0	0	3
53	51	0	0.636451861	9.04493396	9.24211336	6.78526762	10.5317934	1.16760213	0	0	0	0	0	3
54	52	0	0.648460387	8.86334384	9.29159136	6.82562388	10.5317934	1.16760213	0	0	0	0	0	3
55	53	0	0.660468912	9.08672245	9.26660841	6.82562388	10.5317934	0.973499451	0	0	0	0	0	3
56	54	0	0.672477438	8.85183102	9.30653342	6.82562388	10.5317934	0.956658265	0	0	0	0	0	3
57	55	0	0.684485964	9.12532479	9.29890549	6.82562388	10.5317934	0.880033073	0	0	0	0	0	3
58	56	0	0.696494489	8.93016635	9.31020776	6.82562388	10.5317934	0.849756484	0	0	0	0	0	3
59	57	0	0.708503015	9.10976042	9.31067474	6.82562388	10.5317934	0.773132976	0	0	0	0	0	3
60	58	0	0.720511541	8.89170136	9.35986706	7.46523874	10.5317934	0.773132976	0	0	0	0	0	3
61	59	0	0.732520067	9.14139712	9.35663828	7.46523874	10.5317934	0.773132976	0	0	0	0	0	3
62	60	0	0.744528592	8.91452024	9.37509893	7.46523874	10.5317934	0.773132976	0	0	0	0	0	3
63	61	0	0.756537118	9.04720376	9.37505179	7.46523874	10.5317934	0.773132976	0	0	0	0	0	3
64	62	0	0.768545644	8.85166123	9.40806185	8.85166123	10.5317934	0.773132976	0	0	0	0	0	3
65	63	0	0.780554169	9.05494709	9.40489417	8.85166123	10.5317934	0.773132976	0	0	0	0	0	3
66	63	0	0.792562695	8.79127224	9.39702534	8.79127224	10.5317934	0.773132976	0	0	0	0	0	3
67	64	0	0.804571221	9.00844168	9.37143671	8.79127224	10.5317934	0.773132976	0	0	0	0	0	3
68	65	0	0.816579746	8.83538684	9.35601874	8.79127224	10.5317934	0.773132976	0	0	0	0	0	3
69	66	0	0.828588272	9.04092908	9.33286663	8.79127224	10.5317934	0.773132976	0	0	0	0	0	3
70	67	0	0.840596798	8.8158329	9.30835898	8.79127224	10.5317934	0.773132976	0	0	0	0	0	3
71	68	0	0.852605323	9.08211556	9.27384284	8.79127224	10.4203825	0.773132976	0	0	0	0	0	3
72	69	0	0.864613849	8.77603327	9.23959378	8.77603327	10.4203825	0.773132976	0	0	0	0	0	3
73	70	0	0.876622375	9.01767457	9.20619597	8.77603327	10.1899959	0.773132976	0	0	0	0	0	3
74	71	0	0.8886309	8.78836781	9.17942901	8.77603327	10.1899959	0.773132976	0	0	0	0	0	3
75	72	0	0.900639426	8.94638208	9.14981916	8.77603327	9.85892979	0.773132976	0	0	0	0	0	3
76	72	0	0.912647952	8.6951925	9.12492995	8.6951925	9.85892979	0.773132976	0	0	0	0	0	3
77	73	0	0.924656477	8.89356948	9.10194518	8.6951925	9.71251365	0.773132976	0	0	0	0	0	3
78	74	0	0.936665003	8.65501411	9.08166663	8.65501411	9.71251365	0.773132976	0	0	0	0	0	3
79	75	0	0.948673529	8.89176794	9.06212507	8.65501411	9.59877411	0.773132976	0	0	0	0	0	3
80	76	0	0.960682054	8.66129834	9.04319138	8.65501411	9.59877411	0.773132976	0	0	0	0	0	3
81	77	0	0.97269058	8.91835378	9.02699089	8.65501411	9.54703381	0.773132976	0	0	0	0	0	3
82	78	0	0.984699106	8.71841982	9.00915901	8.65501411	9.54703381	0.773132976	0	0	0	0	0	3
83	79	0	0.996707632	8.95165171	8.99498324	8.65501411	9.50667694	0.769601939	0	0	0	0	0	3
84	80	0	1.00871616	8.69195343	8.97932391	8.65501411	9.50667694	0.683245785	0.488575849	0	71.5	0	0	3
85	81	0	1.02072468	8.96215371	8.96635907	8.65501411	9.43111013	0.683245785	0.488575849	0	71.5	0	0	3
86	81	0	1.03273321	8.70544964	8.9521042	8.65501411	9.43111013	0.683245785	0.488575849	0	71.5	0	0	3
87	82	0	1.04474173	8.90586831	8.93959844	8.65501411	9.33302316	0.49686396	0.488575849	0	98.3	0	0	3
88	83	0	1.05675026	8.64652877	8.92770297	8.64652877	9.33302316	0.480358886	0.488575849	0	100	0	0	3
