Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	-2591.3246	-2591.3246	-2591.3246	-2591.3246	0	0	0	0	0	0	3
2	5	0	0.0240170514	-293.699536	-1442.51207	-2591.3246	-293.699536	1148.81253	0	0	0	0	0	3
3	5	0	0.036025577	-92.137566	-992.387235	-2591.3246	-92.137566	1598.93737	0	0	0	0	0	3
4	6	0	0.0480341027	-51.3668411	-757.132137	-2591.3246	-51.3668411	1834.19247	0	0	0	0	0	3
5	7	0	0.0600426284	-67.0660331	-619.118916	-2591.3246	-51.3668411	1972.20569	0	0	0	0	0	3
6	8	0	0.0720511541	-61.5870784	-526.196943	-2591.3246	-51.3668411	2065.12766	0	0	0	0	0	3
7	9	0	0.0840596798	-66.4388738	-460.517219	-2591.3246	-51.3668411	2130.80739	0	0	0	0	0	3
8	9	0	0.0960682054	-60.4660257	-410.51082	-2591.3246	-51.3668411	2180.81378	0	0	0	0	0	3
9	10	0	0.108076731	-62.5377494	-371.847145	-2591.3246	-51.3668411	2219.47746	0	0	0	0	0	3
10	11	0	0.120085257	-57.2303823	-340.385469	-2591.3246	-51.3668411	2250.93914	0	0	0	0	0	3
11	12	0	0.132093782	-57.6868504	-314.685595	-2591.3246	-51.3668411	2276.63901	0	0	0	0	0	3
12	13	0	0.144102308	-53.7178867	-292.938286	-2591.3246	-51.3668411	2298.38632	0	0	0	0	0	3
13	14	0	0.156110834	-55.1156988	-274.64424	-2591.3246	-51.3668411	2316.68036	0	0	0	0	0	3
14	15	0	0.16811936	-51.6375863	-258.715194	-2591.3246	-51.3668411	2332.60941	0	0	0	0	0	3
15	16	0	0.180127885	-53.6830178	-245.046382	-2591.3246	-51.3668411	2346.27822	0	0	0	0	0	3
16	17	0	0.192136411	-50.4915563	-232.886705	-2591.3246	-50.4915563	2358.4379	0	0	0	0	0	3
