Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	1226.54454	1226.54454	1226.54454	1226.54454	0	0	0	0	0	0	3
2	5	0	0.0240170514	-29.9804408	598.282049	-29.9804408	1226.54454	628.26249	0	0	0	0	0	3
3	5	0	0.036025577	-30.7326192	388.610493	-30.7326192	1226.54454	837.934046	0	0	0	0	0	3
4	6	0	0.0480341027	-16.6904693	287.285252	-30.7326192	1226.54454	939.259286	0	0	0	0	0	3
5	7	0	0.0600426284	-23.1794429	225.192313	-30.7326192	1226.54454	1001.35223	0	0	0	0	0	3
6	8	0	0.0720511541	-45.4500587	180.085251	-45.4500587	1226.54454	1046.45929	0	0	0	0	0	3
7	9	0	0.0840596798	-52.50293	146.858368	-52.50293	1226.54454	1079.68617	0	0	0	0	0	3
8	9	0	0.0960682054	-70.8035115	119.650633	-70.8035115	1226.54454	1106.89391	0	0	0	0	0	3
9	10	0	0.108076731	-65.8282594	99.0418674	-70.8035115	1226.54454	1127.50267	0	0	0	0	0	3
10	11	0	0.120085257	-85.2624733	80.6114333	-85.2624733	1226.54454	1145.93311	0	0	0	0	0	3
11	12	0	0.132093782	-72.8908497	66.6566803	-85.2624733	1226.54454	1159.88786	0	0	0	0	0	3
12	13	0	0.144102308	-87.0510944	53.8476991	-87.0510944	1226.54454	1172.69684	0	0	0	0	0	3
13	14	0	0.156110834	-69.203766	44.3822018	-87.0510944	1226.54454	1182.16234	0	0	0	0	0	3
14	15	0	0.16811936	-87.2216221	34.9819286	-87.2216221	1226.54454	1191.56261	0	0	0	0	0	3
15	16	0	0.180127885	-66.2260626	28.2347292	-87.2216221	1226.54454	1198.30981	0	0	0	0	0	3
16	17	0	0.192136411	-83.7196585	21.23758	-87.2216221	1226.54454	1205.30696	0	0	0	0	0	3
17	17	0	0.204144937	-67.6108724	16.0112004	-87.2216221	1226.54454	1210.53334	0	0	0	0	0	3
18	18	0	0.216153462	-82.8259828	10.5202458	-87.2216221	1226.54454	1216.02429	0	0	0	0	0	3
19	19	0	0.228161988	-68.5849014	6.35681701	-87.2216221	1226.54454	1220.18772	0	0	0	0	0	3
20	20	0	0.240170514	-78.363182	2.12081706	-87.2216221	1226.54454	1224.42372	0	0	0	0	0	3
21	21	0	0.252179039	-71.7996953	-1.39920733	-87.2216221	1226.54454	1227.94375	0	0	0	0	0	3
22	22	0	0.264187565	-76.850385	-4.82880632	-87.2216221	1226.54454	1231.37334	0	0	0	0	0	3
23	23	0	0.276196091	-72.5816989	-7.77458426	-87.2216221	1226.54454	1234.31912	0	0	0	0	0	3
24	23	0	0.288204616	-74.6050434	-10.5591867	-87.2216221	1226.54454	1237.10373	0	0	0	0	0	3
25	24	0	0.300213142	-71.2167337	-12.9854886	-87.2216221	1226.54454	1239.53003	0	0	0	0	0	3
26	25	0	0.312221668	-73.1774369	-15.3005635	-87.2216221	1226.54454	1241.8451	0	0	0	0	0	3
27	26	0	0.324230193	-70.941438	-17.3613367	-87.2216221	1226.54454	1243.90588	0	0	0	0	0	3
28	27	0	0.336238719	-72.4010635	-19.3270412	-87.2216221	1226.54454	1245.87158	0	0	0	0	0	3
29	28	0	0.348247245	-70.1541014	-21.0796984	-87.2216221	1226.54454	1247.62424	0	0	0	0	0	3
30	29	0	0.36025577	-71.1628742	-22.7491376	-87.2216221	1226.54454	1249.29368	0	0	0	0	0	3
31	30	0	0.372264296	-70.1938097	-24.2796109	-87.2216221	1226.54454	1250.82415	0	0	0	0	0	3
32	31	0	0.384272822	-70.6494842	-25.7286695	-87.2216221	1226.54454	1252.27321	0	0	0	0	0	3
33	32	0	0.396281347	-69.1871527	-27.0455932	-87.2216221	1226.54454	1253.59013	0	0	0	0	0	3
34	32	0	0.408289873	-69.370597	-28.2904463	-87.2216221	1226.54454	1254.83498	0	0	0	0	0	3
35	33	0	0.420298399	-68.4525539	-29.437935	-87.2216221	1226.54454	1255.98247	0	0	0	0	0	3
36	34	0	0.432306925	-68.5613998	-30.524698	-87.2216221	1226.54454	1257.06924	0	0	0	0	0	3
37	35	0	0.44431545	-67.7479219	-31.530731	-87.2216221	1226.54454	1258.07527	0	0	0	0	0	3
38	36	0	0.456323976	-67.751281	-32.4839034	-87.2216221	1226.54454	1259.02844	0	0	0	0	0	3
