Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	101326.524	101326.524	101326.524	101326.524	0	0	0	0	0	0	3
2	5	0	0.0240170514	101324.981	101325.752	101324.981	101326.524	0.771524176	0	0	0	0	0	3
3	5	0	0.036025577	101325.089	101325.531	101324.981	101326.524	0.992785396	0	0	0	0	0	3
4	6	0	0.0480341027	101325.054	101325.412	101324.981	101326.524	1.11216481	0	0	0	0	0	3
5	7	0	0.0600426284	101325.06	101325.342	101324.981	101326.524	1.18251896	0	0	0	0	0	3
6	8	0	0.0720511541	101325.044	101325.292	101324.981	101326.524	1.23208054	0	0	0	0	0	3
7	9	0	0.0840596798	101325.069	101325.26	101324.981	101326.524	1.26388059	0	0	0	0	0	3
8	9	0	0.0960682054	101325.048	101325.234	101324.981	101326.524	1.29043732	0	0	0	0	0	3
9	10	0	0.108076731	101325.07	101325.215	101324.981	101326.524	1.30859376	0	0	0	0	0	3
10	11	0	0.120085257	101325.044	101325.198	101324.981	101326.524	1.32570774	0	0	0	0	0	3
11	12	0	0.132093782	101325.066	101325.186	101324.981	101326.524	1.33773333	0	0	0	0	0	3
12	13	0	0.144102308	101325.042	101325.174	101324.981	101326.524	1.34975538	0	0	0	0	0	3
13	14	0	0.156110834	101325.062	101325.166	101324.981	101326.524	1.35837784	0	0	0	0	0	3
14	15	0	0.16811936	101325.038	101325.157	101324.981	101326.524	1.36747752	0	0	0	0	0	3
15	16	0	0.180127885	101325.056	101325.15	101324.981	101326.524	1.37414938	0	0	0	0	0	3
16	17	0	0.192136411	101325.036	101325.143	101324.981	101326.524	1.38128617	0	0	0	0	0	3
17	17	0	0.204144937	101325.046	101325.137	101324.981	101326.524	1.38698081	0	0	0	0	0	3
18	18	0	0.216153462	101325.034	101325.131	101324.981	101326.524	1.39270574	0	0	0	0	0	3
19	19	0	0.228161988	101325.042	101325.127	101324.981	101326.524	1.39742642	0	0	0	0	0	3
20	20	0	0.240170514	101325.034	101325.122	101324.981	101326.524	1.40204594	0	0	0	0	0	3
21	21	0	0.252179039	101325.042	101325.118	101324.981	101326.524	1.40587012	0	0	0	0	0	3
22	22	0	0.264187565	101325.041	101325.115	101324.981	101326.524	1.40937664	0	0	0	0	0	3
23	23	0	0.276196091	101325.042	101325.111	101324.981	101326.524	1.41254535	0	0	0	0	0	3
24	23	0	0.288204616	101325.04	101325.108	101324.981	101326.524	1.41554264	0	0	0	0	0	3
25	24	0	0.300213142	101325.039	101325.106	101324.981	101326.524	1.4183356	0	0	0	0	0	3
26	25	0	0.312221668	101325.035	101325.103	101324.981	101326.524	1.42104319	0	0	0	0	0	3
27	26	0	0.324230193	101325.027	101325.1	101324.981	101326.524	1.42384636	0	0	0	0	0	3
28	27	0	0.336238719	101325.017	101325.097	101324.981	101326.524	1.42682776	0	0	0	0	0	3
29	28	0	0.348247245	101325.009	101325.094	101324.981	101326.524	1.42987293	0	0	0	0	0	3
30	29	0	0.36025577	101325.002	101325.091	101324.981	101326.524	1.43293626	0	0	0	0	0	3
31	30	0	0.372264296	101324.997	101325.088	101324.981	101326.524	1.43596634	0	0	0	0	0	3
32	31	0	0.384272822	101324.993	101325.085	101324.981	101326.524	1.43893595	0	0	0	0	0	3
33	32	0	0.396281347	101324.991	101325.082	101324.981	101326.524	1.44178138	0	0	0	0	0	3
34	32	0	0.408289873	101324.992	101325.08	101324.981	101326.524	1.4444301	0	0	0	0	0	3
35	33	0	0.420298399	101324.995	101325.077	101324.981	101326.524	1.44685139	0	0	0	0	0	3
36	34	0	0.432306925	101324.999	101325.075	101324.981	101326.524	1.44903086	0	0	0	0	0	3
37	35	0	0.44431545	101325.003	101325.073	101324.981	101326.524	1.45098816	0	0	0	0	0	3
38	36	0	0.456323976	101325.006	101325.071	101324.981	101326.524	1.45275391	0	0	0	0	0	3
39	37	0	0.468332502	101325.009	101325.07	101324.981	101326.524	1.45434723	0	0	0	0	0	3
40	38	0	0.480341027	101325.011	101325.068	101324.981	101326.524	1.45580863	0	0	0	0	0	3
41	39	0	0.492349553	101325.012	101325.067	101324.981	101326.524	1.45718686	0	0	0	0	0	3
42	40	0	0.504358079	101325.011	101325.066	101324.981	101326.524	1.45850692	0	0	0	0	0	3
43	41	0	0.516366604	101325.011	101325.029	101324.981	101325.089	0.107740517	0	0	0	0	0	3
44	42	0	0.52837513	101325.011	101325.03	101324.991	101325.089	0.0975274541	0	0	0	0	0	3
45	43	0	0.540383656	101325.011	101325.028	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
46	44	0	0.552392181	101325.011	101325.027	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
47	45	0	0.564400707	101325.011	101325.026	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
48	46	0	0.576409233	101325.011	101325.025	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
49	47	0	0.588417758	101325.012	101325.024	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
50	48	0	0.600426284	101325.012	101325.023	101324.991	101325.07	0.0789899746	0	0	0	0	0	3
51	49	0	0.61243481	101325.012	101325.022	101324.991	101325.066	0.0748461371	0	0	0	0	0	3
52	50	0	0.624443335	101325.012	101325.021	101324.991	101325.066	0.0748461371	0	0	0	0	0	3
53	51	0	0.636451861	101325.012	101325.02	101324.991	101325.062	0.0709880164	0	0	0	0	0	3
54	52	0	0.648460387	101325.012	101325.019	101324.991	101325.062	0.0709880164	0	0	0	0	0	3
55	53	0	0.660468912	101325.012	101325.018	101324.991	101325.056	0.0652799035	0	0	0	0	0	3
56	54	0	0.672477438	101325.011	101325.017	101324.991	101325.056	0.0652799035	0	0	0	0	0	3
57	55	0	0.684485964	101325.01	101325.016	101324.991	101325.046	0.0547403936	0	0	0	0	0	3
58	56	0	0.696494489	101325.01	101325.015	101324.991	101325.046	0.0547403936	0	0	0	0	0	3
59	57	0	0.708503015	101325.009	101325.015	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
60	58	0	0.720511541	101325.009	101325.014	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
61	59	0	0.732520067	101325.009	101325.013	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
62	60	0	0.744528592	101325.009	101325.013	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
63	61	0	0.756537118	101325.009	101325.012	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
64	62	0	0.768545644	101325.009	101325.011	101324.991	101325.042	0.0505782654	0	0	0	0	0	3
65	63	0	0.780554169	101325.01	101325.01	101324.991	101325.04	0.0483548985	0	0	0	0	0	3
66	63	0	0.792562695	101325.01	101325.01	101324.991	101325.039	0.0474686966	0	0	0	0	0	3
67	64	0	0.804571221	101325.01	101325.009	101324.991	101325.035	0.0441023584	0	0	0	0	0	3
68	65	0	0.816579746	101325.009	101325.008	101324.991	101325.027	0.0361065963	0	0	0	0	0	3
69	66	0	0.828588272	101325.009	101325.008	101324.991	101325.017	0.0255096543	0	0	0	0	0	3
70	67	0	0.840596798	101325.008	101325.008	101324.991	101325.012	0.021148081	0	0	0	0	0	3
71	68	0	0.852605323	101325.008	101325.008	101324.991	101325.012	0.021148081	0	0	0	0	0	3
72	69	0	0.864613849	101325.007	101325.008	101324.991	101325.012	0.021148081	0	0	0	0	0	3
73	70	0	0.876622375	101325.006	101325.008	101324.991	101325.012	0.021148081	0	0	0	0	0	3
74	71	0	0.8886309	101325.006	101325.008	101324.991	101325.012	0.021148081	0	0	0	0	0	3
75	72	0	0.900639426	101325.007	101325.009	101324.992	101325.012	0.0201505943	0	0	0	0	0	3
76	72	0	0.912647952	101325.007	101325.009	101324.995	101325.012	0.0174879924	0	0	0	0	0	3
77	73	0	0.924656477	101325.007	101325.009	101324.999	101325.012	0.0136251209	0	0	0	0	0	3
78	74	0	0.936665003	101325.006	101325.009	101325.003	101325.012	0.00976365805	0	0	0	0	0	3
79	75	0	0.948673529	101325.007	101325.009	101325.006	101325.012	0.00639971733	0	0	0	0	0	3
80	76	0	0.960682054	101325.006	101325.009	101325.006	101325.012	0.00601689331	0	0	0	0	0	3
81	77	0	0.97269058	101325.006	101325.009	101325.006	101325.012	0.00672160287	0	0	0	0	0	3
82	78	0	0.984699106	101325.005	101325.009	101325.005	101325.012	0.0074506252	0	0	0	0	0	3
83	79	0	0.996707632	101325.005	101325.009	101325.005	101325.012	0.00776728873	0	0	0	0	0	3
84	80	0	1.00871616	101325.004	101325.009	101325.004	101325.012	0.00841699151	0.00292582362	0	0	0	0	3
85	81	0	1.02072468	101325.004	101325.009	101325.004	101325.012	0.00841699151	0.00292582362	0	0	0	0	3
86	81	0	1.03273321	101325.004	101325.009	101325.004	101325.012	0.00841699151	0.00292582362	0	0	0	0	3
87	82	0	1.04474173	101325.004	101325.008	101325.004	101325.012	0.00841699151	0.00292582362	0	0	0	0	3
88	83	0	1.05675026	101325.005	101325.008	101325.004	101325.012	0.00841699151	0.00292582362	0	0	0	0	3
