Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	293.199986	293.199986	293.199986	293.199986	0	0	0	0	0	0	3
2	5	0	0.0240170514	293.199967	293.199976	293.199967	293.199986	9.23790748e-06	0	0	0	0	0	3
3	5	0	0.036025577	293.199964	293.199972	293.199964	293.199986	1.32301769e-05	0	0	0	0	0	3
4	6	0	0.0480341027	293.199959	293.199969	293.199959	293.199986	1.65952142e-05	0	0	0	0	0	3
5	7	0	0.0600426284	293.199954	293.199966	293.199954	293.199986	1.96235043e-05	0	0	0	0	0	3
6	8	0	0.0720511541	293.199945	293.199962	293.199945	293.199986	2.31709705e-05	0	0	0	0	0	3
7	9	0	0.0840596798	293.199934	293.199958	293.199934	293.199986	2.71914843e-05	0	0	0	0	0	3
8	9	0	0.0960682054	293.199924	293.199954	293.199924	293.199986	3.15301723e-05	0	0	0	0	0	3
9	10	0	0.108076731	293.199914	293.19995	293.199914	293.199986	3.59915172e-05	0	0	0	0	0	3
10	11	0	0.120085257	293.199904	293.199945	293.199904	293.199986	4.05058462e-05	0	0	0	0	0	3
11	12	0	0.132093782	293.199894	293.19994	293.199894	293.199986	4.51904021e-05	0	0	0	0	0	3
12	13	0	0.144102308	293.199883	293.199936	293.199883	293.199986	4.99292426e-05	0	0	0	0	0	3
13	14	0	0.156110834	293.199874	293.199931	293.199874	293.199986	5.46524555e-05	0	0	0	0	0	3
14	15	0	0.16811936	293.199865	293.199926	293.199865	293.199986	5.93294366e-05	0	0	0	0	0	3
15	16	0	0.180127885	293.199858	293.199922	293.199858	293.199986	6.38872029e-05	0	0	0	0	0	3
16	17	0	0.192136411	293.199847	293.199917	293.199847	293.199986	6.85347511e-05	0	0	0	0	0	3
17	17	0	0.204144937	293.199838	293.199912	293.199838	293.199986	7.31915847e-05	0	0	0	0	0	3
18	18	0	0.216153462	293.199828	293.199908	293.199828	293.199986	7.78521108e-05	0	0	0	0	0	3
19	19	0	0.228161988	293.19982	293.199903	293.19982	293.199986	8.24826645e-05	0	0	0	0	0	3
20	20	0	0.240170514	293.199811	293.199898	293.199811	293.199986	8.70969424e-05	0	0	0	0	0	3
21	21	0	0.252179039	293.199797	293.199894	293.199797	293.199986	9.19183234e-05	0	0	0	0	0	3
22	22	0	0.264187565	293.199783	293.199889	293.199783	293.199986	9.69573741e-05	0	0	0	0	0	3
23	23	0	0.276196091	293.199768	293.199883	293.199768	293.199986	0.000102213172	0	0	0	0	0	3
24	23	0	0.288204616	293.199751	293.199878	293.199751	293.199986	0.000107724404	0	0	0	0	0	3
25	24	0	0.300213142	293.199734	293.199872	293.199734	293.199986	0.000113479041	0	0	0	0	0	3
26	25	0	0.312221668	293.199704	293.199866	293.199704	293.199986	0.000119925421	0	0	0	0	0	3
27	26	0	0.324230193	293.199672	293.199858	293.199672	293.199986	0.000127093628	0	0	0	0	0	3
28	27	0	0.336238719	293.199637	293.199851	293.199637	293.199986	0.000135015252	0	0	0	0	0	3
29	28	0	0.348247245	293.199599	293.199842	293.199599	293.199986	0.000143693454	0	0	0	0	0	3
30	29	0	0.36025577	293.19956	293.199832	293.19956	293.199986	0.000153097177	0	0	0	0	0	3
31	30	0	0.372264296	293.199502	293.199822	293.199502	293.199986	0.000163755739	0	0	0	0	0	3
32	31	0	0.384272822	293.199448	293.19981	293.199448	293.199986	0.000175439173	0	0	0	0	0	3
33	32	0	0.396281347	293.199401	293.199798	293.199401	293.199986	0.000187837335	0	0	0	0	0	3
34	32	0	0.408289873	293.199363	293.199785	293.199363	293.199986	0.000200628285	0	0	0	0	0	3
