Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120146873	1128.85234	1128.85234	1128.85234	1128.85234	0	0	0	0	0	0	3
2	5	0	0.0240293746	-14.6800675	557.086137	-14.6800675	1128.85234	571.766205	0	0	0	0	0	3
3	5	0	0.0360440619	-5.55198718	369.540096	-14.6800675	1128.85234	759.312246	0	0	0	0	0	3
4	6	0	0.0480587493	-0.4686171	277.037918	-14.6800675	1128.85234	851.814425	0	0	0	0	0	3
5	7	0	0.0600734366	-13.4650199	218.93733	-14.6800675	1128.85234	909.915012	0	0	0	0	0	3
6	8	0	0.0720881239	-31.092416	177.265706	-31.092416	1128.85234	951.586636	0	0	0	0	0	3
7	9	0	0.0841028112	-39.4764435	146.302542	-39.4764435	1128.85234	982.549801	0	0	0	0	0	3
8	10	0	0.0961174985	-57.3140294	120.85047	-57.3140294	1128.85234	1008.00187	0	0	0	0	0	3
9	10	0	0.108132186	-54.7611837	101.338064	-57.3140294	1128.85234	1027.51428	0	0	0	0	0	3
10	11	0	0.120146873	-69.9112376	84.213134	-69.9112376	1128.85234	1044.63921	0	0	0	0	0	3
11	12	0	0.13216156	-61.3828546	70.977135	-69.9112376	1128.85234	1057.87521	0	0	0	0	0	3
12	13	0	0.144176248	-69.7291952	59.2516075	-69.9112376	1128.85234	1069.60073	0	0	0	0	0	3
13	14	0	0.156190935	-59.8614761	50.0890626	-69.9112376	1128.85234	1078.76328	0	0	0	0	0	3
14	15	0	0.168205622	-70.519761	41.4741467	-70.519761	1128.85234	1087.3782	0	0	0	0	0	3
15	15	0	0.18022031	-59.9187429	34.7146207	-70.519761	1128.85234	1094.13772	0	0	0	0	0	3
16	16	0	0.192234997	-71.0774169	28.1026183	-71.0774169	1128.85234	1100.74972	0	0	0	0	0	3
17	17	0	0.204249684	-60.8220247	22.871757	-71.0774169	1128.85234	1105.98059	0	0	0	0	0	3
18	18	0	0.216264372	-67.9604569	17.8255229	-71.0774169	1128.85234	1111.02682	0	0	0	0	0	3
19	19	0	0.228279059	-61.3987731	13.6558231	-71.0774169	1128.85234	1115.19652	0	0	0	0	0	3
20	20	0	0.240293746	-68.0759789	9.56923299	-71.0774169	1128.85234	1119.28311	0	0	0	0	0	3
21	21	0	0.252308434	-63.0456287	6.11138243	-71.0774169	1128.85234	1122.74096	0	0	0	0	0	3
22	22	0	0.264323121	-66.1072726	2.82871629	-71.0774169	1128.85234	1126.02363	0	0	0	0	0	3
23	22	0	0.276337808	-64.0569678	-0.0793569283	-71.0774169	1128.85234	1128.9317	0	0	0	0	0	3
24	23	0	0.288352496	-64.9366077	-2.78174238	-71.0774169	1128.85234	1131.63408	0	0	0	0	0	3
25	24	0	0.300367183	-63.0649204	-5.1930695	-71.0774169	1128.85234	1134.04541	0	0	0	0	0	3
26	25	0	0.31238187	-64.0590575	-7.45714596	-71.0774169	1128.85234	1136.30949	0	0	0	0	0	3
27	26	0	0.324396558	-63.535547	-9.53412378	-71.0774169	1128.85234	1138.38647	0	0	0	0	0	3
28	27	0	0.336411245	-63.2679674	-11.4531896	-71.0774169	1128.85234	1140.30553	0	0	0	0	0	3
29	28	0	0.348425932	-63.7775995	-13.2574796	-71.0774169	1128.85234	1142.10982	0	0	0	0	0	3
30	28	0	0.360440619	-63.2057765	-14.9224229	-71.0774169	1128.85234	1143.77476	0	0	0	0	0	3
31	29	0	0.372455307	-64.170389	-16.5110669	-71.0774169	1128.85234	1145.36341	0	0	0	0	0	3
32	30	0	0.384469994	-63.2671613	-17.9721949	-71.0774169	1128.85234	1146.82454	0	0	0	0	0	3
33	31	0	0.396484681	-63.1060039	-19.3398861	-71.0774169	1128.85234	1148.19223	0	0	0	0	0	3
34	32	0	0.408499369	-63.050666	-20.6254972	-71.0774169	1128.85234	1149.47784	0	0	0	0	0	3
35	33	0	0.420514056	-62.702575	-21.8276994	-71.0774169	1128.85234	1150.68004	0	0	0	0	0	3
36	34	0	0.432528743	-62.4066183	-22.9548916	-71.0774169	1128.85234	1151.80723	0	0	0	0	0	3
37	35	0	0.444543431	-62.5060921	-24.023843	-71.0774169	1128.85234	1152.87619	0	0	0	0	0	3
38	36	0	0.456558118	-62.1661763	-25.0275886	-71.0774169	1128.85234	1153.87993	0	0	0	0	0	3
39	37	0	0.468572805	-62.1990632	-25.9807033	-71.0774169	1128.85234	1154.83305	0	0	0	0	0	3
40	38	0	0.480587493	-61.8311455	-26.8769644	-71.0774169	1128.85234	1155.72931	0	0	0	0	0	3
41	39	0	0.49260218	-62.0084258	-27.7338293	-71.0774169	1128.85234	1156.58617	0	0	0	0	0	3
42	40	0	0.504616867	-61.7339575	-28.5433562	-71.0774169	1128.85234	1157.3957	0	0	0	0	0	3
43	40	0	0.516631555	-61.7233456	-56.8903964	-71.0774169	-0.4686171	70.6087998	0	0	0	0	0	3
44	41	0	0.528646242	-61.3508198	-58.0016047	-71.0774169	-0.4686171	70.6087998	0	0	0	0	0	3
45	42	0	0.540660929	-61.4909882	-59.3334857	-71.0774169	-0.4686171	70.6087998	0	0	0	0	0	3
46	43	0	0.552675617	-61.580997	-60.7885424	-71.0774169	-13.4650199	57.612397	0	0	0	0	0	3
47	44	0	0.564690304	-61.4207092	-61.9303445	-71.0774169	-31.092416	39.9850009	0	0	0	0	0	3
48	45	0	0.576704991	-61.4207668	-62.6524481	-71.0774169	-39.4764435	31.6009734	0	0	0	0	0	3
49	46	0	0.588719678	-61.2780392	-63.1715337	-71.0774169	-54.7611837	16.3162331	0	0	0	0	0	3
50	47	0	0.600734366	-61.4428201	-63.2698383	-71.0774169	-54.7611837	16.3162331	0	0	0	0	0	3
51	48	0	0.612749053	-61.2937158	-63.4253747	-71.0774169	-59.8614761	11.2159407	0	0	0	0	0	3
52	49	0	0.62476374	-61.200735	-63.2179818	-71.0774169	-59.8614761	11.2159407	0	0	0	0	0	3
53	50	0	0.636778428	-61.2583819	-63.2150182	-71.0774169	-59.8614761	11.2159407	0	0	0	0	0	3
54	50	0	0.648793115	-61.3677431	-63.015936	-71.0774169	-59.8614761	11.2159407	0	0	0	0	0	3
55	51	0	0.660807802	-61.2704242	-63.0494824	-71.0774169	-59.9187429	11.1586739	0	0	0	0	0	3
56	52	0	0.67282249	-61.1234578	-62.8257609	-71.0774169	-59.9187429	11.1586739	0	0	0	0	0	3
57	53	0	0.684837177	-60.9567533	-62.8504754	-71.0774169	-60.8220247	10.2553922	0	0	0	0	0	3
58	54	0	0.696851864	-61.3003548	-62.6176882	-68.0759789	-60.8220247	7.2539542	0	0	0	0	0	3
59	55	0	0.708866552	-61.115858	-62.6246842	-68.0759789	-60.9567533	7.11922562	0	0	0	0	0	3
60	56	0	0.720881239	-61.225744	-62.4643339	-68.0759789	-60.9567533	7.11922562	0	0	0	0	0	3
61	56	0	0.732895926	-61.185138	-62.4592474	-68.0759789	-60.9567533	7.11922562	0	0	0	0	0	3
