Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120146873	-3342.41349	-3342.41349	-3342.41349	-3342.41349	0	0	0	0	0	0	3
2	5	0	0.0240293746	-549.267216	-1945.84035	-3342.41349	-549.267216	1396.57314	0	0	0	0	0	3
3	5	0	0.0360440619	-261.490022	-1384.39024	-3342.41349	-261.490022	1958.02325	0	0	0	0	0	3
4	6	0	0.0480587493	-233.277717	-1096.61211	-3342.41349	-233.277717	2245.80138	0	0	0	0	0	3
5	7	0	0.0600734366	-195.318927	-916.353474	-3342.41349	-195.318927	2426.06002	0	0	0	0	0	3
6	8	0	0.0720881239	-168.482594	-791.708328	-3342.41349	-168.482594	2550.70516	0	0	0	0	0	3
7	9	0	0.0841028112	-128.477149	-696.961016	-3342.41349	-128.477149	2645.45247	0	0	0	0	0	3
8	10	0	0.0961174985	-87.3903835	-620.764687	-3342.41349	-87.3903835	2721.6488	0	0	0	0	0	3
9	10	0	0.108132186	-73.4768989	-559.954933	-3342.41349	-73.4768989	2782.45856	0	0	0	0	0	3
10	11	0	0.120146873	-53.2433299	-509.283773	-3342.41349	-53.2433299	2833.12972	0	0	0	0	0	3
11	12	0	0.13216156	-65.7961607	-468.966717	-3342.41349	-53.2433299	2873.44677	0	0	0	0	0	3
12	13	0	0.144176248	-57.6131297	-434.687252	-3342.41349	-53.2433299	2907.72624	0	0	0	0	0	3
13	14	0	0.156190935	-78.2633085	-407.270025	-3342.41349	-53.2433299	2935.14346	0	0	0	0	0	3
14	15	0	0.168205622	-54.341264	-382.060828	-3342.41349	-53.2433299	2960.35266	0	0	0	0	0	3
15	15	0	0.18022031	-81.1700146	-362.00144	-3342.41349	-53.2433299	2980.41205	0	0	0	0	0	3
16	16	0	0.192234997	-54.9929252	-342.813408	-3342.41349	-53.2433299	2999.60008	0	0	0	0	0	3
17	17	0	0.204249684	-81.2872897	-327.429519	-3342.41349	-53.2433299	3014.98397	0	0	0	0	0	3
18	18	0	0.216264372	-65.949287	-312.902839	-3342.41349	-53.2433299	3029.51065	0	0	0	0	0	3
19	19	0	0.228279059	-80.4799847	-300.670057	-3342.41349	-53.2433299	3041.74343	0	0	0	0	0	3
20	20	0	0.240293746	-67.6693838	-289.020024	-3342.41349	-53.2433299	3053.39347	0	0	0	0	0	3
21	21	0	0.252308434	-78.4636889	-278.993532	-3342.41349	-53.2433299	3063.41996	0	0	0	0	0	3
22	22	0	0.264323121	-70.8509157	-269.532504	-3342.41349	-53.2433299	3072.88099	0	0	0	0	0	3
23	22	0	0.276337808	-76.4015985	-261.135508	-3342.41349	-53.2433299	3081.27798	0	0	0	0	0	3
24	23	0	0.288352496	-74.4724571	-253.357881	-3342.41349	-53.2433299	3089.05561	0	0	0	0	0	3
25	24	0	0.300367183	-78.4870808	-246.363049	-3342.41349	-53.2433299	3096.05044	0	0	0	0	0	3
26	25	0	0.31238187	-75.9376231	-239.808225	-3342.41349	-53.2433299	3102.60527	0	0	0	0	0	3
27	26	0	0.324396558	-77.7232471	-233.805077	-3342.41349	-53.2433299	3108.60841	0	0	0	0	0	3
28	27	0	0.336411245	-78.2182966	-228.248407	-3342.41349	-53.2433299	3114.16508	0	0	0	0	0	3
29	28	0	0.348425932	-76.5865501	-223.018687	-3342.41349	-53.2433299	3119.3948	0	0	0	0	0	3
30	28	0	0.360440619	-77.8475443	-218.179649	-3342.41349	-53.2433299	3124.23384	0	0	0	0	0	3
31	29	0	0.372455307	-75.3122628	-213.571024	-3342.41349	-53.2433299	3128.84247	0	0	0	0	0	3
32	30	0	0.384469994	-77.4606695	-209.317575	-3342.41349	-53.2433299	3133.09591	0	0	0	0	0	3
33	31	0	0.396484681	-78.0321295	-205.339228	-3342.41349	-53.2433299	3137.07426	0	0	0	0	0	3
34	32	0	0.408499369	-77.847554	-201.589473	-3342.41349	-53.2433299	3140.82402	0	0	0	0	0	3
35	33	0	0.420514056	-78.7568555	-198.07997	-3342.41349	-53.2433299	3144.33352	0	0	0	0	0	3
36	34	0	0.432528743	-79.027365	-194.772953	-3342.41349	-53.2433299	3147.64054	0	0	0	0	0	3
37	35	0	0.444543431	-78.5205203	-191.630996	-3342.41349	-53.2433299	3150.78249	0	0	0	0	0	3
38	36	0	0.456558118	-79.2943401	-188.674768	-3342.41349	-53.2433299	3153.73872	0	0	0	0	0	3
39	37	0	0.468572805	-79.0510422	-185.863903	-3342.41349	-53.2433299	3156.54959	0	0	0	0	0	3
40	38	0	0.480587493	-79.314958	-183.200179	-3342.41349	-53.2433299	3159.21331	0	0	0	0	0	3
41	39	0	0.49260218	-78.7646973	-180.652972	-3342.41349	-53.2433299	3161.76052	0	0	0	0	0	3
42	40	0	0.504616867	-79.2216721	-178.237942	-3342.41349	-53.2433299	3164.17555	0	0	0	0	0	3
43	40	0	0.516631555	-78.9561303	-100.536576	-549.267216	-53.2433299	496.023886	0	0	0	0	0	3
44	41	0	0.528646242	-79.6995037	-89.3563922	-261.490022	-53.2433299	208.246693	0	0	0	0	0	3
45	42	0	0.540660929	-80.0283308	-85.0358757	-233.277717	-53.2433299	180.034387	0	0	0	0	0	3
46	43	0	0.552675617	-79.5772094	-81.3763398	-195.318927	-53.2433299	142.075597	0	0	0	0	0	3
47	44	0	0.564690304	-80.0137564	-78.6309786	-168.482594	-53.2433299	115.239264	0	0	0	0	0	3
48	45	0	0.576704991	-79.7141186	-76.5174435	-128.477149	-53.2433299	75.2338191	0	0	0	0	0	3
49	46	0	0.588719678	-80.3759374	-75.3721766	-87.3903835	-53.2433299	34.1470536	0	0	0	0	0	3
50	47	0	0.600734366	-79.8859458	-75.1934995	-81.2872897	-53.2433299	28.0439598	0	0	0	0	0	3
51	48	0	0.612749053	-80.3017653	-75.3559963	-81.2872897	-53.2433299	28.0439598	0	0	0	0	0	3
52	49	0	0.62476374	-80.3916917	-76.0023858	-81.2872897	-54.341264	26.9460257	0	0	0	0	0	3
53	50	0	0.636778428	-80.3810184	-76.3496444	-81.2872897	-54.341264	26.9460257	0	0	0	0	0	3
54	50	0	0.648793115	-80.1353468	-76.8858876	-81.2872897	-54.341264	26.9460257	0	0	0	0	0	3
55	51	0	0.660807802	-80.5794092	-76.9410329	-81.2872897	-54.341264	26.9460257	0	0	0	0	0	3
56	52	0	0.67282249	-80.7526151	-77.5698746	-81.2872897	-54.9929252	26.2943644	0	0	0	0	0	3
57	53	0	0.684837177	-81.337733	-77.5738679	-81.337733	-54.9929252	26.3448077	0	0	0	0	0	3
58	54	0	0.696851864	-80.4209812	-78.1792978	-81.337733	-65.949287	15.388446	0	0	0	0	0	3
59	55	0	0.708866552	-81.0722061	-78.1741767	-81.337733	-65.949287	15.388446	0	0	0	0	0	3
60	56	0	0.720881239	-80.5719471	-78.5223353	-81.337733	-67.6693838	13.6683491	0	0	0	0	0	3
61	56	0	0.732895926	-80.7666786	-78.5291614	-81.337733	-67.6693838	13.6683491	0	0	0	0	0	3
62	57	0	0.744910614	-80.9271376	-78.8448222	-81.337733	-70.8509157	10.4868173	0	0	0	0	0	3
63	58	0	0.756925301	-81.2899337	-78.9121137	-81.337733	-70.8509157	10.4868173	0	0	0	0	0	3
64	59	0	0.768939988	-81.0030208	-79.1538305	-81.337733	-74.4724571	6.86527589	0	0	0	0	0	3
65	60	0	0.780954676	-81.1983582	-79.2680391	-81.337733	-74.4724571	6.86527589	0	0	0	0	0	3
66	61	0	0.792969363	-81.3066644	-79.4307583	-81.337733	-75.3122628	6.02547016	0	0	0	0	0	3
67	61	0	0.80498405	-81.8924119	-79.5118376	-81.8924119	-75.3122628	6.58014909	0	0	0	0	0	3
68	62	0	0.816998738	-81.4249534	-79.6424883	-81.8924119	-75.3122628	6.58014909	0	0	0	0	0	3
69	63	0	0.829013425	-81.8948985	-79.7418133	-81.8948985	-75.3122628	6.5826357	0	0	0	0	0	3
70	64	0	0.841028112	-81.2864873	-79.8148655	-81.8948985	-75.3122628	6.5826357	0	0	0	0	0	3
71	65	0	0.853042799	-81.98517	-79.9434041	-81.98517	-75.3122628	6.67290724	0	0	0	0	0	3
72	66	0	0.865057487	-81.8221794	-80.0380382	-81.98517	-75.3122628	6.67290724	0	0	0	0	0	3
73	66	0	0.877072174	-82.0066425	-80.1974282	-82.0066425	-77.4606695	4.54597295	0	0	0	0	0	3
74	67	0	0.889086861	-81.7722558	-80.300085	-82.0066425	-77.847554	4.15908849	0	0	0	0	0	3
75	68	0	0.901101549	-81.9475586	-80.3933096	-82.0066425	-77.847554	4.15908849	0	0	0	0	0	3
76	69	0	0.913116236	-81.7998076	-80.4874108	-82.0066425	-78.5205203	3.48612212	0	0	0	0	0	3
77	70	0	0.925130923	-82.4254811	-80.5747591	-82.4254811	-78.5205203	3.90496074	0	0	0	0	0	3
78	71	0	0.937145611	-81.5633507	-80.6351397	-82.4254811	-78.5205203	3.90496074	0	0	0	0	0	3
79	71	0	0.949160298	-82.1153528	-80.7207309	-82.4254811	-78.7646973	3.66078374	0	0	0	0	0	3
80	72	0	0.961174985	-81.4010562	-80.7708908	-82.4254811	-78.7646973	3.66078374	0	0	0	0	0	3
81	73	0	0.973189673	-82.3839657	-80.8502461	-82.4254811	-78.7646973	3.66078374	0	0	0	0	0	3
82	74	0	0.98520436	-82.2272923	-80.9195874	-82.4254811	-78.7646973	3.66078374	0	0	0	0	0	3
83	75	0	0.997219047	-82.8037873	-81.0157563	-82.8037873	-78.9561303	3.84765698	0	0	0	0	0	3
84	76	0	1.00923373	-82.4487298	-81.092591	-82.8037873	-78.9561303	3.84765698	6.24740078	0	100	0	0	3
85	76	0	1.02124842	-82.6268419	-81.1799889	-82.8037873	-79.5772094	3.22657792	6.24740078	0	100	0	0	3
86	77	0	1.03326311	-82.4079035	-81.2444746	-82.8037873	-79.5772094	3.22657792	6.24740078	0	100	0	0	3
87	78	0	1.0452778	-82.4495628	-81.3021229	-82.8037873	-79.5772094	3.22657792	6.24740078	0	100	0	0	3
88	79	0	1.05729248	-82.4589268	-81.3707353	-82.8037873	-79.7141186	3.08966867	6.24740078	0	100	0	0	3
89	80	0	1.06930717	-82.8172106	-81.4374842	-82.8172106	-79.7141186	3.10309203	6.24740078	0	100	0	0	3
90	81	0	1.08132186	-82.3938308	-81.5012868	-82.8172106	-79.8859458	2.93126486	6.24740078	0	100	0	0	3
91	81	0	1.09333655	-82.6000492	-81.5542419	-82.8172106	-79.8859458	2.93126486	6.24740078	0	100	0	0	3
92	82	0	1.10535123	-82.1970531	-81.6092683	-82.8172106	-80.1353468	2.68186384	6.24740078	0	100	0	0	3
