Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120146873	2751.33685	2751.33685	2751.33685	2751.33685	0	0	0	0	0	0	3
2	5	0	0.0240293746	317.017675	1534.17726	317.017675	2751.33685	1217.15959	0	0	0	0	0	3
3	5	0	0.0360440619	122.986921	1063.78048	122.986921	2751.33685	1687.55637	0	0	0	0	0	3
4	6	0	0.0480587493	53.0421077	811.095888	53.0421077	2751.33685	1940.24096	0	0	0	0	0	3
5	7	0	0.0600734366	101.373473	669.151405	53.0421077	2751.33685	2082.18544	0	0	0	0	0	3
6	8	0	0.0720881239	69.3152963	569.17872	53.0421077	2751.33685	2182.15813	0	0	0	0	0	3
7	9	0	0.0841028112	87.7301953	500.40036	53.0421077	2751.33685	2250.93649	0	0	0	0	0	3
8	10	0	0.0961174985	76.6249619	447.428435	53.0421077	2751.33685	2303.90841	0	0	0	0	0	3
9	10	0	0.108132186	87.8297007	407.47302	53.0421077	2751.33685	2343.86383	0	0	0	0	0	3
10	11	0	0.120146873	73.1823104	374.043949	53.0421077	2751.33685	2377.2929	0	0	0	0	0	3
11	12	0	0.13216156	88.1616887	348.054653	53.0421077	2751.33685	2403.2822	0	0	0	0	0	3
12	13	0	0.144176248	73.3397222	325.161742	53.0421077	2751.33685	2426.17511	0	0	0	0	0	3
13	14	0	0.156190935	79.4136861	306.258045	53.0421077	2751.33685	2445.0788	0	0	0	0	0	3
14	15	0	0.168205622	73.3329996	289.620542	53.0421077	2751.33685	2461.71631	0	0	0	0	0	3
15	15	0	0.18022031	79.1538908	275.589432	53.0421077	2751.33685	2475.74742	0	0	0	0	0	3
16	16	0	0.192234997	72.4343001	262.892236	53.0421077	2751.33685	2488.44461	0	0	0	0	0	3
17	17	0	0.204249684	77.3850902	251.980051	53.0421077	2751.33685	2499.3568	0	0	0	0	0	3
18	18	0	0.216264372	69.9102959	241.865065	53.0421077	2751.33685	2509.47178	0	0	0	0	0	3
19	19	0	0.228279059	77.2350275	233.200326	53.0421077	2751.33685	2518.13652	0	0	0	0	0	3
20	20	0	0.240293746	70.3398513	225.057302	53.0421077	2751.33685	2526.27955	0	0	0	0	0	3
21	21	0	0.252308434	75.0352285	217.913394	53.0421077	2751.33685	2533.42345	0	0	0	0	0	3
22	22	0	0.264323121	70.9999281	211.235509	53.0421077	2751.33685	2540.10134	0	0	0	0	0	3
23	22	0	0.276337808	71.9151304	205.178101	53.0421077	2751.33685	2546.15875	0	0	0	0	0	3
24	23	0	0.288352496	72.6067706	199.654296	53.0421077	2751.33685	2551.68255	0	0	0	0	0	3
25	24	0	0.300367183	73.0254729	194.589143	53.0421077	2751.33685	2556.74771	0	0	0	0	0	3
26	25	0	0.31238187	70.4155519	189.813236	53.0421077	2751.33685	2561.52361	0	0	0	0	0	3
27	26	0	0.324396558	69.229173	185.347159	53.0421077	2751.33685	2565.98969	0	0	0	0	0	3
28	27	0	0.336411245	73.2960718	181.345335	53.0421077	2751.33685	2569.99151	0	0	0	0	0	3
29	28	0	0.348425932	69.1708805	177.47725	53.0421077	2751.33685	2573.8596	0	0	0	0	0	3
30	28	0	0.360440619	73.9405614	174.026027	53.0421077	2751.33685	2577.31082	0	0	0	0	0	3
31	29	0	0.372455307	69.3595629	170.64969	53.0421077	2751.33685	2580.68716	0	0	0	0	0	3
32	30	0	0.384469994	68.4024319	167.454463	53.0421077	2751.33685	2583.88239	0	0	0	0	0	3
33	31	0	0.396484681	68.2274229	164.447583	53.0421077	2751.33685	2586.88927	0	0	0	0	0	3
34	32	0	0.408499369	68.3685958	161.62173	53.0421077	2751.33685	2589.71512	0	0	0	0	0	3
35	33	0	0.420514056	67.3545557	158.928382	53.0421077	2751.33685	2592.40847	0	0	0	0	0	3
