Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120146873	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0240293746	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360440619	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480587493	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0600734366	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0720881239	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.0841028112	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.0961174985	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.108132186	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120146873	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.13216156	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.144176248	0	0	0	0	0	0	0	0	0	0	3
13	14	0	0.156190935	0	0	0	0	0	0	0	0	0	0	3
14	15	0	0.168205622	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.18022031	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.192234997	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.204249684	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.216264372	0	0	0	0	0	0	0	0	0	0	3
19	19	0	0.228279059	0	0	0	0	0	0	0	0	0	0	3
20	20	0	0.240293746	0	0	0	0	0	0	0	0	0	0	3
21	21	0	0.252308434	0	0	0	0	0	0	0	0	0	0	3
22	22	0	0.264323121	0	0	0	0	0	0	0	0	0	0	3
23	22	0	0.276337808	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.288352496	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.300367183	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.31238187	0	0	0	0	0	0	0	0	0	0	3
27	26	0	0.324396558	0	0	0	0	0	0	0	0	0	0	3
28	27	0	0.336411245	0	0	0	0	0	0	0	0	0	0	3
29	28	0	0.348425932	0	0	0	0	0	0	0	0	0	0	3
30	28	0	0.360440619	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.372455307	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.384469994	0	0	0	0	0	0	0	0	0	0	3
33	31	0	0.396484681	0	0	0	0	0	0	0	0	0	0	3
34	32	0	0.408499369	0	0	0	0	0	0	0	0	0	0	3
35	33	0	0.420514056	0	0	0	0	0	0	0	0	0	0	3
36	34	0	0.432528743	0	0	0	0	0	0	0	0	0	0	3
37	35	0	0.444543431	0	0	0	0	0	0	0	0	0	0	3
38	36	0	0.456558118	0	0	0	0	0	0	0	0	0	0	3
39	37	0	0.468572805	0	0	0	0	0	0	0	0	0	0	3
40	38	0	0.480587493	0	0	0	0	0	0	0	0	0	0	3
41	39	0	0.49260218	0	0	0	0	0	0	0	0	0	0	3
42	40	0	0.504616867	0	0	0	0	0	0	0	0	0	0	3
43	40	0	0.516631555	0	0	0	0	0	0	0	0	0	0	3
44	41	0	0.528646242	0	0	0	0	0	0	0	0	0	0	3
45	42	0	0.540660929	0	0	0	0	0	0	0	0	0	0	3
46	43	0	0.552675617	0	0	0	0	0	0	0	0	0	0	3
47	44	0	0.564690304	0	0	0	0	0	0	0	0	0	0	3
48	45	0	0.576704991	0	0	0	0	0	0	0	0	0	0	3
49	46	0	0.588719678	0	0	0	0	0	0	0	0	0	0	3
50	47	0	0.600734366	0	0	0	0	0	0	0	0	0	0	3
51	48	0	0.612749053	0	0	0	0	0	0	0	0	0	0	3
52	49	0	0.62476374	0	0	0	0	0	0	0	0	0	0	3
53	50	0	0.636778428	0	0	0	0	0	0	0	0	0	0	3
54	50	0	0.648793115	0	0	0	0	0	0	0	0	0	0	3
55	51	0	0.660807802	0	0	0	0	0	0	0	0	0	0	3
56	52	0	0.67282249	0	0	0	0	0	0	0	0	0	0	3
57	53	0	0.684837177	0	0	0	0	0	0	0	0	0	0	3
58	54	0	0.696851864	0	0	0	0	0	0	0	0	0	0	3
59	55	0	0.708866552	0	0	0	0	0	0	0	0	0	0	3
60	56	0	0.720881239	0	0	0	0	0	0	0	0	0	0	3
61	56	0	0.732895926	0	0	0	0	0	0	0	0	0	0	3
62	57	0	0.744910614	0	0	0	0	0	0	0	0	0	0	3
63	58	0	0.756925301	0	0	0	0	0	0	0	0	0	0	3
64	59	0	0.768939988	0	0	0	0	0	0	0	0	0	0	3
65	60	0	0.780954676	0	0	0	0	0	0	0	0	0	0	3
66	61	0	0.792969363	0	0	0	0	0	0	0	0	0	0	3
67	61	0	0.80498405	0	0	0	0	0	0	0	0	0	0	3
68	62	0	0.816998738	0	0	0	0	0	0	0	0	0	0	3
69	63	0	0.829013425	0	0	0	0	0	0	0	0	0	0	3
70	64	0	0.841028112	0	0	0	0	0	0	0	0	0	0	3
71	65	0	0.853042799	0	0	0	0	0	0	0	0	0	0	3
72	66	0	0.865057487	0	0	0	0	0	0	0	0	0	0	3
73	66	0	0.877072174	0	0	0	0	0	0	0	0	0	0	3
74	67	0	0.889086861	0	0	0	0	0	0	0	0	0	0	3
75	68	0	0.901101549	0	0	0	0	0	0	0	0	0	0	3
76	69	0	0.913116236	0	0	0	0	0	0	0	0	0	0	3
77	70	0	0.925130923	0	0	0	0	0	0	0	0	0	0	3
78	71	0	0.937145611	0	0	0	0	0	0	0	0	0	0	3
79	71	0	0.949160298	0	0	0	0	0	0	0	0	0	0	3
80	72	0	0.961174985	0	0	0	0	0	0	0	0	0	0	3
81	73	0	0.973189673	0	0	0	0	0	0	0	0	0	0	3
82	74	0	0.98520436	0	0	0	0	0	0	0	0	0	0	3
83	75	0	0.997219047	0	0	0	0	0	0	0	0	0	0	3
84	76	0	1.00923373	0	0	0	0	0	5e-06	0	0	0	0	3
85	76	0	1.02124842	0	0	0	0	0	5e-06	0	0	0	0	3
86	77	0	1.03326311	0	0	0	0	0	5e-06	0	0	0	0	3
87	78	0	1.0452778	0	0	0	0	0	5e-06	0	0	0	0	3
88	79	0	1.05729248	0	0	0	0	0	5e-06	0	0	0	0	3
89	80	0	1.06930717	0	0	0	0	0	5e-06	0	0	0	0	3
90	81	0	1.08132186	0	0	0	0	0	5e-06	0	0	0	0	3
91	81	0	1.09333655	0	0	0	0	0	5e-06	0	0	0	0	3
92	82	0	1.10535123	0	0	0	0	0	5e-06	0	0	0	0	3
