Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0120146873
2	5	0	0.0240293746
3	5	0	0.0360440619
4	6	0	0.0480587493
5	7	0	0.0600734366
6	8	0	0.0720881239
7	9	0	0.0841028112
8	10	0	0.0961174985
9	10	0	0.108132186
10	11	0	0.120146873
11	12	0	0.13216156
12	13	0	0.144176248
13	14	0	0.156190935
14	15	0	0.168205622
15	15	0	0.18022031
16	16	0	0.192234997
17	17	0	0.204249684
18	18	0	0.216264372
19	19	0	0.228279059
20	20	0	0.240293746
21	21	0	0.252308434
22	22	0	0.264323121
23	22	0	0.276337808
24	23	0	0.288352496
25	24	0	0.300367183
26	25	0	0.31238187
27	26	0	0.324396558
28	27	0	0.336411245
29	28	0	0.348425932
30	28	0	0.360440619
31	29	0	0.372455307
32	30	0	0.384469994
33	31	0	0.396484681
34	32	0	0.408499369
35	33	0	0.420514056
36	34	0	0.432528743
37	35	0	0.444543431
38	36	0	0.456558118
39	37	0	0.468572805
40	38	0	0.480587493
41	39	0	0.49260218
42	40	0	0.504616867
43	40	0	0.516631555
44	41	0	0.528646242
45	42	0	0.540660929
46	43	0	0.552675617
47	44	0	0.564690304
48	45	0	0.576704991
49	46	0	0.588719678
50	47	0	0.600734366
51	48	0	0.612749053
52	49	0	0.62476374
53	50	0	0.636778428
54	50	0	0.648793115
55	51	0	0.660807802
56	52	0	0.67282249
57	53	0	0.684837177
58	54	0	0.696851864
59	55	0	0.708866552
60	56	0	0.720881239
61	56	0	0.732895926
62	57	0	0.744910614
63	58	0	0.756925301
64	59	0	0.768939988
65	60	0	0.780954676
66	61	0	0.792969363
67	61	0	0.80498405
68	62	0	0.816998738
69	63	0	0.829013425
70	64	0	0.841028112
71	65	0	0.853042799
72	66	0	0.865057487
73	66	0	0.877072174
74	67	0	0.889086861
75	68	0	0.901101549
76	69	0	0.913116236
77	70	0	0.925130923
78	71	0	0.937145611
79	71	0	0.949160298
80	72	0	0.961174985
81	73	0	0.973189673
82	74	0	0.98520436
83	75	0	0.997219047
84	76	0	1.00923373
85	76	0	1.02124842
86	77	0	1.03326311
87	78	0	1.0452778
88	79	0	1.05729248
89	80	0	1.06930717
90	81	0	1.08132186
91	81	0	1.09333655
92	82	0	1.10535123
