Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240100683	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360151025	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480201366	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0600251708	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0720302049	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0840352391	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0960402732	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.108045307	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120050342	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.132055376	0	0	0	0	0	0	0	0	0	0	3
12	13	0	0.14406041	0	0	0	0	0	0	0	0	0	0	3
13	13	0	0.156065444	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.168070478	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.180075512	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.192080546	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.204085581	0	0	0	0	0	0	0	0	0	0	3
18	18	0	0.216090615	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.228095649	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.240100683	0	0	0	0	0	0	0	0	0	0	3
21	20	0	0.252105717	0	0	0	0	0	0	0	0	0	0	3
22	21	0	0.264110751	0	0	0	0	0	0	0	0	0	0	3
23	22	0	0.276115786	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.28812082	0	0	0	0	0	0	0	0	0	0	3
25	24	0	0.300125854	0	0	0	0	0	0	0	0	0	0	3
26	25	0	0.312130888	0	0	0	0	0	0	0	0	0	0	3
27	25	0	0.324135922	0	0	0	0	0	0	0	0	0	0	3
28	26	0	0.336140956	0	0	0	0	0	0	0	0	0	0	3
29	27	0	0.34814599	0	0	0	0	0	0	0	0	0	0	3
30	28	0	0.360151025	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.372156059	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.384161093	0	0	0	0	0	0	0	0	0	0	3
33	31	0	0.396166127	0	0	0	0	0	0	0	0	0	0	3
34	31	0	0.408171161	0	0	0	0	0	0	0	0	0	0	3
35	32	0	0.420176195	0	0	0	0	0	0	0	0	0	0	3
36	33	0	0.43218123	0	0	0	0	0	0	0	0	0	0	3
37	34	0	0.444186264	0	0	0	0	0	0	0	0	0	0	3
38	35	0	0.456191298	0	0	0	0	0	0	0	0	0	0	3
39	36	0	0.468196332	0	0	0	0	0	0	0	0	0	0	3
40	37	0	0.480201366	0	0	0	0	0	0	0	0	0	0	3
41	38	0	0.4922064	0	0	0	0	0	0	0	0	0	0	3
42	39	0	0.504211434	0	0	0	0	0	0	0	0	0	0	3
43	40	0	0.516216469	0	0	0	0	0	0	0	0	0	0	3
44	41	0	0.528221503	0	0	0	0	0	0	0	0	0	0	3
45	41	0	0.540226537	0	0	0	0	0	0	0	0	0	0	3
46	42	0	0.552231571	0	0	0	0	0	0	0	0	0	0	3
47	43	0	0.564236605	0	0	0	0	0	0	0	0	0	0	3
48	44	0	0.576241639	0	0	0	0	0	0	0	0	0	0	3
49	45	0	0.588246674	0	0	0	0	0	0	0	0	0	0	3
50	46	0	0.600251708	0	0	0	0	0	0	0	0	0	0	3
51	47	0	0.612256742	0	0	0	0	0	0	0	0	0	0	3
52	48	0	0.624261776	0	0	0	0	0	0	0	0	0	0	3
53	49	0	0.63626681	0	0	0	0	0	0	0	0	0	0	3
54	49	0	0.648271844	0	0	0	0	0	0	0	0	0	0	3
55	50	0	0.660276878	0	0	0	0	0	0	0	0	0	0	3
56	51	0	0.672281913	0	0	0	0	0	0	0	0	0	0	3
57	52	0	0.684286947	0	0	0	0	0	0	0	0	0	0	3
58	53	0	0.696291981	0	0	0	0	0	0	0	0	0	0	3
59	54	0	0.708297015	0	0	0	0	0	0	0	0	0	0	3
60	55	0	0.720302049	0	0	0	0	0	0	0	0	0	0	3
61	56	0	0.732307083	0	0	0	0	0	0	0	0	0	0	3
62	57	0	0.744312118	0	0	0	0	0	0	0	0	0	0	3
63	58	0	0.756317152	0	0	0	0	0	0	0	0	0	0	3
64	59	0	0.768322186	0	0	0	0	0	0	0	0	0	0	3
65	59	0	0.78032722	0	0	0	0	0	0	0	0	0	0	3
66	60	0	0.792332254	0	0	0	0	0	0	0	0	0	0	3
67	61	0	0.804337288	0	0	0	0	0	0	0	0	0	0	3
68	62	0	0.816342322	0	0	0	0	0	0	0	0	0	0	3
69	63	0	0.828347357	0	0	0	0	0	0	0	0	0	0	3
70	64	0	0.840352391	0	0	0	0	0	0	0	0	0	0	3
71	65	0	0.852357425	0	0	0	0	0	0	0	0	0	0	3
72	65	0	0.864362459	0	0	0	0	0	0	0	0	0	0	3
73	66	0	0.876367493	0	0	0	0	0	0	0	0	0	0	3
74	67	0	0.888372527	0	0	0	0	0	0	0	0	0	0	3
75	68	0	0.900377562	0	0	0	0	0	0	0	0	0	0	3
76	69	0	0.912382596	0	0	0	0	0	0	0	0	0	0	3
77	70	0	0.92438763	0	0	0	0	0	0	0	0	0	0	3
78	70	0	0.936392664	0	0	0	0	0	0	0	0	0	0	3
79	71	0	0.948397698	0	0	0	0	0	0	0	0	0	0	3
80	72	0	0.960402732	0	0	0	0	0	0	0	0	0	0	3
81	73	0	0.972407766	0	0	0	0	0	0	0	0	0	0	3
82	74	0	0.984412801	0	0	0	0	0	0	0	0	0	0	3
83	74	0	0.996417835	0	0	0	0	0	0	0	0	0	0	3
84	75	0	1.00842287	0	0	0	0	0	5e-06	0	0	0	0	3
85	76	0	1.0204279	0	0	0	0	0	5e-06	0	0	0	0	3
86	77	0	1.03243294	0	0	0	0	0	5e-06	0	0	0	0	3
87	78	0	1.04443797	0	0	0	0	0	5e-06	0	0	0	0	3
88	78	0	1.05644301	0	0	0	0	0	5e-06	0	0	0	0	3
89	79	0	1.06844804	0	0	0	0	0	5e-06	0	0	0	0	3
90	80	0	1.08045307	0	0	0	0	0	5e-06	0	0	0	0	3
91	81	0	1.09245811	0	0	0	0	0	5e-06	0	0	0	0	3
92	82	0	1.10446314	0	0	0	0	0	5e-06	0	0	0	0	3
