Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	1232.8914	1232.8914	1232.8914	1232.8914	0	0	0	0	0	0	3
2	5	0	0.0240170514	-42.930788	594.980308	-42.930788	1232.8914	637.911096	0	0	0	0	0	3
3	5	0	0.036025577	-43.0887163	382.290634	-43.0887163	1232.8914	850.600771	0	0	0	0	0	3
4	6	0	0.0480341027	-15.3552488	282.879163	-43.0887163	1232.8914	950.012242	0	0	0	0	0	3
5	7	0	0.0600426284	-28.4818894	220.606952	-43.0887163	1232.8914	1012.28445	0	0	0	0	0	3
6	8	0	0.0720511541	-53.3830466	174.941953	-53.3830466	1232.8914	1057.94945	0	0	0	0	0	3
7	9	0	0.0840596798	-54.594632	142.151012	-54.594632	1232.8914	1090.74039	0	0	0	0	0	3
8	9	0	0.0960682054	-76.1356875	114.865175	-76.1356875	1232.8914	1118.02623	0	0	0	0	0	3
9	10	0	0.108076731	-73.5711165	93.9278088	-76.1356875	1232.8914	1138.9636	0	0	0	0	0	3
10	11	0	0.120085257	-88.8225705	75.6527709	-88.8225705	1232.8914	1157.23863	0	0	0	0	0	3
11	12	0	0.132093782	-78.6487172	61.6253629	-88.8225705	1232.8914	1171.26604	0	0	0	0	0	3
12	13	0	0.144102308	-92.0094214	48.8224642	-92.0094214	1232.8914	1184.06894	0	0	0	0	0	3
13	14	0	0.156110834	-78.045281	39.0634069	-92.0094214	1232.8914	1193.828	0	0	0	0	0	3
14	15	0	0.16811936	-93.4453253	29.5984974	-93.4453253	1232.8914	1203.29291	0	0	0	0	0	3
15	16	0	0.180127885	-73.9779308	22.6934022	-93.4453253	1232.8914	1210.198	0	0	0	0	0	3
16	17	0	0.192136411	-90.7502004	15.6031771	-93.4453253	1232.8914	1217.28823	0	0	0	0	0	3
17	17	0	0.204144937	-74.6609014	10.2935254	-93.4453253	1232.8914	1222.59788	0	0	0	0	0	3
