Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120085257	-3895.0638	-3895.0638	-3895.0638	-3895.0638	0	0	0	0	0	0	3
2	5	0	0.0240170514	-563.1687	-2229.11625	-3895.0638	-563.1687	1665.94755	0	0	0	0	0	3
3	5	0	0.036025577	-182.095846	-1546.77612	-3895.0638	-182.095846	2348.28768	0	0	0	0	0	3
4	6	0	0.0480341027	-245.310849	-1221.4098	-3895.0638	-182.095846	2673.654	0	0	0	0	0	3
5	7	0	0.0600426284	-195.175199	-1016.16288	-3895.0638	-182.095846	2878.90092	0	0	0	0	0	3
6	8	0	0.0720511541	-159.261904	-873.34605	-3895.0638	-159.261904	3021.71775	0	0	0	0	0	3
7	9	0	0.0840596798	-140.223291	-768.614227	-3895.0638	-140.223291	3126.44957	0	0	0	0	0	3
8	9	0	0.0960682054	-85.4571792	-683.219596	-3895.0638	-85.4571792	3211.8442	0	0	0	0	0	3
9	10	0	0.108076731	-84.9928399	-616.749956	-3895.0638	-84.9928399	3278.31384	0	0	0	0	0	3
10	11	0	0.120085257	-45.963553	-559.671316	-3895.0638	-45.963553	3335.39248	0	0	0	0	0	3
11	12	0	0.132093782	-78.0766677	-515.889984	-3895.0638	-45.963553	3379.17381	0	0	0	0	0	3
12	13	0	0.144102308	-49.3186347	-477.009039	-3895.0638	-45.963553	3418.05476	0	0	0	0	0	3
13	14	0	0.156110834	-87.7633634	-447.067063	-3895.0638	-45.963553	3447.99674	0	0	0	0	0	3
14	15	0	0.16811936	-47.2363092	-418.507724	-3895.0638	-45.963553	3476.55608	0	0	0	0	0	3
15	16	0	0.180127885	-97.9028026	-397.134062	-3895.0638	-45.963553	3497.92974	0	0	0	0	0	3
16	17	0	0.192136411	-56.1854962	-375.824777	-3895.0638	-45.963553	3519.23902	0	0	0	0	0	3
17	17	0	0.204144937	-97.678081	-359.463207	-3895.0638	-45.963553	3535.60059	0	0	0	0	0	3
18	18	0	0.216153462	-62.7498688	-342.979132	-3895.0638	-45.963553	3552.08467	0	0	0	0	0	3
19	19	0	0.228161988	-94.2742084	-329.8894	-3895.0638	-45.963553	3565.1744	0	0	0	0	0	3
20	20	0	0.240170514	-71.3328067	-316.96157	-3895.0638	-45.963553	3578.10223	0	0	0	0	0	3
21	21	0	0.252179039	-86.1480883	-305.970452	-3895.0638	-45.963553	3589.09335	0	0	0	0	0	3
22	22	0	0.264187565	-77.5513546	-295.587766	-3895.0638	-45.963553	3599.47603	0	0	0	0	0	3
