Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	12.1057551	12.1057551	12.1057551	12.1057551	0	0	0	0	0	0	3
2	4	0	0.0240244867	5.31714478	8.71144997	5.31714478	12.1057551	3.39430518	0	0	0	0	0	3
3	5	0	0.0360367301	13.5308268	10.3179089	5.31714478	13.5308268	3.39430518	0	0	0	0	0	3
4	6	0	0.0480489734	-2.94040161	7.00333128	-2.94040161	13.5308268	5.10242387	0	0	0	0	0	3
5	7	0	0.0600612168	7.16230705	7.03512643	-2.94040161	13.5308268	5.10242387	0	0	0	0	0	3
6	8	0	0.0720734601	2.4613814	6.27283559	-2.94040161	13.5308268	5.83291956	0	0	0	0	0	3
7	8	0	0.0840857035	3.04064261	5.81109374	-2.94040161	13.5308268	6.29466141	0	0	0	0	0	3
8	9	0	0.0960979468	3.59604567	5.53421273	-2.94040161	13.5308268	6.57154242	0	0	0	0	0	3
9	10	0	0.10811019	2.69795238	5.21907269	-2.94040161	13.5308268	6.88668246	0	0	0	0	0	3
10	11	0	0.120122434	4.72674891	5.16984031	-2.94040161	13.5308268	6.93591484	0	0	0	0	0	3
11	12	0	0.132134677	3.94538695	5.05852637	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
12	12	0	0.14414692	5.82289039	5.12222337	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
13	13	0	0.156159164	6.97349368	5.26462878	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
14	14	0	0.168171407	6.14627584	5.32760357	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
15	15	0	0.18018365	5.9833505	5.37132003	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
16	16	0	0.192195894	6.4550346	5.43905219	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
17	17	0	0.204208137	7.22937743	5.54436544	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
18	17	0	0.21622038	6.51666976	5.59838235	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
19	18	0	0.228232624	6.20494915	5.63030692	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
20	19	0	0.240244867	6.24226108	5.66090463	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
21	20	0	0.25225711	5.96448811	5.67536098	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
22	21	0	0.264269354	6.82911549	5.72780437	-2.94040161	13.5308268	7.04722878	0	0	0	0	0	3
