Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	296.452403	296.452403	296.452403	296.452403	0	0	0	0	0	0	3
2	4	0	0.0240244867	-187.953937	54.2492329	-187.953937	296.452403	242.20317	0	0	0	0	0	3
3	5	0	0.0360367301	-39.7248818	22.924528	-187.953937	296.452403	273.527875	0	0	0	0	0	3
4	6	0	0.0480489734	-25.2128993	10.8901711	-187.953937	296.452403	285.562232	0	0	0	0	0	3
5	7	0	0.0600612168	-39.3464038	0.842856159	-187.953937	296.452403	295.609547	0	0	0	0	0	3
6	8	0	0.0720734601	-57.8192127	-8.93415532	-187.953937	296.452403	305.386559	0	0	0	0	0	3
7	8	0	0.0840857035	-64.3690952	-16.8534324	-187.953937	296.452403	313.305836	0	0	0	0	0	3
8	9	0	0.0960979468	-70.7588733	-23.5916126	-187.953937	296.452403	320.044016	0	0	0	0	0	3
9	10	0	0.10811019	-78.3264493	-29.6732611	-187.953937	296.452403	326.125664	0	0	0	0	0	3
10	11	0	0.120122434	-82.5966529	-34.9656003	-187.953937	296.452403	331.418003	0	0	0	0	0	3
11	12	0	0.132134677	-79.1404231	-38.9814932	-187.953937	296.452403	335.433896	0	0	0	0	0	3
12	12	0	0.14414692	-84.1151386	-42.7426304	-187.953937	296.452403	339.195034	0	0	0	0	0	3
13	13	0	0.156159164	-82.6884328	-45.8153844	-187.953937	296.452403	342.267788	0	0	0	0	0	3
14	14	0	0.168171407	-86.6180945	-48.7298637	-187.953937	296.452403	345.182267	0	0	0	0	0	3
15	15	0	0.18018365	-81.1003212	-50.8878942	-187.953937	296.452403	347.340297	0	0	0	0	0	3
16	16	0	0.192195894	-86.2035322	-53.0951216	-187.953937	296.452403	349.547525	0	0	0	0	0	3
17	17	0	0.204208137	-80.1443011	-54.6862498	-187.953937	296.452403	351.138653	0	0	0	0	0	3
18	17	0	0.21622038	-85.8020899	-56.4149076	-187.953937	296.452403	352.867311	0	0	0	0	0	3
19	18	0	0.228232624	-80.6231584	-57.689026	-187.953937	296.452403	354.141429	0	0	0	0	0	3
20	19	0	0.240244867	-85.1011909	-59.0596343	-187.953937	296.452403	355.512037	0	0	0	0	0	3
21	20	0	0.25225711	-81.6278299	-60.1343103	-187.953937	296.452403	356.586713	0	0	0	0	0	3
22	21	0	0.264269354	-84.9572796	-61.262627	-187.953937	296.452403	357.71503	0	0	0	0	0	3
23	22	0	0.276281597	-83.0773216	-62.211092	-187.953937	296.452403	358.663495	0	0	0	0	0	3
24	23	0	0.28829384	-83.9376528	-63.1163654	-187.953937	296.452403	359.568769	0	0	0	0	0	3
25	23	0	0.300306084	-82.1748753	-63.8787058	-187.953937	296.452403	360.331109	0	0	0	0	0	3
26	24	0	0.312318327	-83.3032239	-64.6258026	-187.953937	296.452403	361.078206	0	0	0	0	0	3
27	25	0	0.324330571	-82.4840262	-65.2872183	-187.953937	296.452403	361.739622	0	0	0	0	0	3
28	26	0	0.336342814	-82.9182365	-65.9168975	-187.953937	296.452403	362.369301	0	0	0	0	0	3
29	27	0	0.348355057	-80.9711742	-66.4360105	-187.953937	296.452403	362.888414	0	0	0	0	0	3
30	28	0	0.360367301	-81.8137618	-66.9486022	-187.953937	296.452403	363.401005	0	0	0	0	0	3
31	29	0	0.372379544	-80.3563844	-67.3811113	-187.953937	296.452403	363.833515	0	0	0	0	0	3
32	30	0	0.384391787	-79.9696584	-67.7745034	-187.953937	296.452403	364.226907	0	0	0	0	0	3
33	31	0	0.396404031	-78.3448189	-68.094816	-187.953937	296.452403	364.547219	0	0	0	0	0	3
34	31	0	0.408416274	-78.3903788	-68.3976267	-187.953937	296.452403	364.85003	0	0	0	0	0	3
35	32	0	0.420428517	-77.421649	-68.6554559	-187.953937	296.452403	365.107859	0	0	0	0	0	3
36	33	0	0.432440761	-78.1868183	-68.920216	-187.953937	296.452403	365.372619	0	0	0	0	0	3
37	34	0	0.444453004	-77.0045835	-69.1387124	-187.953937	296.452403	365.591116	0	0	0	0	0	3
