Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	-2601.08739	-2601.08739	-2601.08739	-2601.08739	0	0	0	0	0	0	3
2	4	0	0.0240244867	-305.361307	-1453.22435	-2601.08739	-305.361307	1147.86304	0	0	0	0	0	3
3	5	0	0.0360367301	-100.175626	-1002.20811	-2601.08739	-100.175626	1598.87928	0	0	0	0	0	3
4	6	0	0.0480489734	-57.555434	-766.044938	-2601.08739	-57.555434	1835.04245	0	0	0	0	0	3
5	7	0	0.0600612168	-66.8878361	-626.213518	-2601.08739	-57.555434	1974.87387	0	0	0	0	0	3
6	8	0	0.0720734601	-62.8032002	-532.311798	-2601.08739	-57.555434	2068.77559	0	0	0	0	0	3
7	8	0	0.0840857035	-67.5769692	-465.921108	-2601.08739	-57.555434	2135.16628	0	0	0	0	0	3
8	9	0	0.0960979468	-62.7742421	-415.52775	-2601.08739	-57.555434	2185.55964	0	0	0	0	0	3
9	10	0	0.10811019	-63.4357845	-376.406421	-2601.08739	-57.555434	2224.68096	0	0	0	0	0	3
10	11	0	0.120122434	-58.6576867	-344.631547	-2601.08739	-57.555434	2256.45584	0	0	0	0	0	3
11	12	0	0.132134677	-58.3726254	-318.608009	-2601.08739	-57.555434	2282.47938	0	0	0	0	0	3
12	12	0	0.14414692	-55.0662532	-296.646196	-2601.08739	-55.0662532	2304.44119	0	0	0	0	0	3
13	13	0	0.156159164	-55.8988791	-278.127171	-2601.08739	-55.0662532	2322.96021	0	0	0	0	0	3
14	14	0	0.168171407	-53.6874944	-262.095766	-2601.08739	-53.6874944	2338.99162	0	0	0	0	0	3
15	15	0	0.18018365	-54.6951873	-248.269061	-2601.08739	-53.6874944	2352.81832	0	0	0	0	0	3
16	16	0	0.192195894	-52.7563338	-236.049515	-2601.08739	-52.7563338	2365.03787	0	0	0	0	0	3
17	17	0	0.204208137	-53.1747493	-225.292176	-2601.08739	-52.7563338	2375.79521	0	0	0	0	0	3
18	17	0	0.21622038	-51.8262055	-215.655178	-2601.08739	-51.8262055	2385.43221	0	0	0	0	0	3
19	18	0	0.228232624	-51.4123401	-207.010818	-2601.08739	-51.4123401	2394.07657	0	0	0	0	0	3
20	19	0	0.240244867	-50.4719981	-199.183877	-2601.08739	-50.4719981	2401.90351	0	0	0	0	0	3
21	20	0	0.25225711	-50.1614583	-192.087571	-2601.08739	-50.1614583	2408.99981	0	0	0	0	0	3
22	21	0	0.264269354	-49.3071351	-185.597551	-2601.08739	-49.3071351	2415.48983	0	0	0	0	0	3
23	22	0	0.276281597	-48.6703889	-179.644197	-2601.08739	-48.6703889	2421.44319	0	0	0	0	0	3
24	23	0	0.28829384	-48.1394416	-174.164832	-2601.08739	-48.1394416	2426.92255	0	0	0	0	0	3
25	23	0	0.300306084	-47.9561493	-169.116484	-2601.08739	-47.9561493	2431.9709	0	0	0	0	0	3
26	24	0	0.312318327	-47.4082553	-164.435399	-2601.08739	-47.4082553	2436.65199	0	0	0	0	0	3
27	25	0	0.324330571	-47.0859839	-160.089124	-2601.08739	-47.0859839	2440.99826	0	0	0	0	0	3
28	26	0	0.336342814	-46.599668	-156.035929	-2601.08739	-46.599668	2445.05146	0	0	0	0	0	3
29	27	0	0.348355057	-46.4200979	-152.256073	-2601.08739	-46.4200979	2448.83131	0	0	0	0	0	3
30	28	0	0.360367301	-45.947601	-148.712457	-2601.08739	-45.947601	2452.37493	0	0	0	0	0	3
31	29	0	0.372379544	-45.9064438	-145.396134	-2601.08739	-45.9064438	2455.69125	0	0	0	0	0	3
32	30	0	0.384391787	-45.701799	-142.280686	-2601.08739	-45.701799	2458.8067	0	0	0	0	0	3
33	31	0	0.396404031	-45.6146194	-139.351411	-2601.08739	-45.6146194	2461.73597	0	0	0	0	0	3
34	31	0	0.408416274	-44.620696	-136.565214	-2601.08739	-44.620696	2464.52217	0	0	0	0	0	3
35	32	0	0.420428517	-44.4326231	-133.932854	-2601.08739	-44.4326231	2467.15453	0	0	0	0	0	3
36	33	0	0.432440761	-44.0966826	-131.437405	-2601.08739	-44.0966826	2469.64998	0	0	0	0	0	3
37	34	0	0.444453004	-43.9881008	-129.07391	-2601.08739	-43.9881008	2472.01348	0	0	0	0	0	3
38	35	0	0.456465247	-43.70058	-126.827244	-2601.08739	-43.70058	2474.26014	0	0	0	0	0	3
39	36	0	0.468477491	-43.5825218	-124.692764	-2601.08739	-43.5825218	2476.39462	0	0	0	0	0	3
40	37	0	0.480489734	-43.313855	-122.658291	-2601.08739	-43.313855	2478.42909	0	0	0	0	0	3
41	38	0	0.492501977	-43.4007974	-120.725181	-2601.08739	-43.313855	2480.3622	0	0	0	0	0	3
42	39	0	0.504514221	-43.268397	-118.880972	-2601.08739	-43.268397	2482.20641	0	0	0	0	0	3
43	40	0	0.516526464	-43.2518365	-57.9801258	-305.361307	-43.2518365	262.109471	0	0	0	0	0	3
44	41	0	0.528538708	-43.2252712	-51.7387916	-100.175626	-43.2252712	56.9503545	0	0	0	0	0	3
45	42	0	0.540550951	-43.0121786	-50.3777572	-67.5769692	-43.0121786	24.5647906	0	0	0	0	0	3
46	43	0	0.552563194	-43.0572487	-50.0325623	-67.5769692	-43.0121786	24.5647906	0	0	0	0	0	3
47	44	0	0.564575438	-42.9649358	-49.4629694	-67.5769692	-42.9649358	24.6120334	0	0	0	0	0	3
48	44	0	0.576587681	-43.0939448	-48.9937014	-67.5769692	-42.9649358	24.6120334	0	0	0	0	0	3
49	45	0	0.588599924	-42.9206257	-48.4066456	-63.4357845	-42.9206257	20.5151588	0	0	0	0	0	3
50	46	0	0.600612168	-43.1038235	-47.9383023	-63.4357845	-42.9206257	20.5151588	0	0	0	0	0	3
51	47	0	0.612624411	-42.8265734	-47.4476068	-58.6576867	-42.8265734	15.8311134	0	0	0	0	0	3
52	48	0	0.624636654	-42.9513461	-47.0736463	-58.3726254	-42.8265734	15.546052	0	0	0	0	0	3
53	49	0	0.636648898	-42.703255	-46.7005661	-55.8988791	-42.703255	13.195624	0	0	0	0	0	3
54	50	0	0.648661141	-42.7383863	-46.4070454	-55.8988791	-42.703255	13.195624	0	0	0	0	0	3
