Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	157.914868	157.914868	157.914868	157.914868	0	0	0	0	0	0	3
2	4	0	0.0240244867	182.683869	170.299368	157.914868	182.683869	12.3845005	0	0	0	0	0	3
3	5	0	0.0360367301	-121.404528	73.0647364	-121.404528	182.683869	97.234632	0	0	0	0	0	3
4	6	0	0.0480489734	-163.037247	14.0392406	-163.037247	182.683869	156.260128	0	0	0	0	0	3
5	7	0	0.0600612168	-115.084184	-11.7854443	-163.037247	182.683869	182.084813	0	0	0	0	0	3
6	8	0	0.0720734601	-95.8367535	-25.7939959	-163.037247	182.683869	196.093364	0	0	0	0	0	3
7	8	0	0.0840857035	-59.8442033	-30.6583112	-163.037247	182.683869	200.95768	0	0	0	0	0	3
8	9	0	0.0960979468	-54.1251355	-33.5916642	-163.037247	182.683869	203.891033	0	0	0	0	0	3
9	10	0	0.10811019	-28.3002593	-33.0037304	-163.037247	182.683869	203.891033	0	0	0	0	0	3
10	11	0	0.120122434	-33.4299128	-33.0463486	-163.037247	182.683869	203.891033	0	0	0	0	0	3
11	12	0	0.132134677	-37.3833525	-33.4406217	-163.037247	182.683869	203.891033	0	0	0	0	0	3
12	12	0	0.14414692	-35.4250426	-33.6059901	-163.037247	182.683869	203.905358	0	0	0	0	0	3
13	13	0	0.156159164	-34.2142228	-33.6527772	-163.037247	182.683869	203.952146	0	0	0	0	0	3
14	14	0	0.168171407	-27.8031207	-33.2349446	-163.037247	182.683869	203.952146	0	0	0	0	0	3
15	15	0	0.18018365	-37.82155	-33.5407183	-163.037247	182.683869	203.952146	0	0	0	0	0	3
16	16	0	0.192195894	-28.1399846	-33.2031725	-163.037247	182.683869	203.952146	0	0	0	0	0	3
17	17	0	0.204208137	-42.5441061	-33.7526391	-163.037247	182.683869	204.052008	0	0	0	0	0	3
18	17	0	0.21622038	-27.974745	-33.431645	-163.037247	182.683869	204.052008	0	0	0	0	0	3
19	18	0	0.228232624	-41.2564773	-33.8434783	-163.037247	182.683869	204.142847	0	0	0	0	0	3
20	19	0	0.240244867	-29.1933433	-33.6109716	-163.037247	182.683869	204.142847	0	0	0	0	0	3
21	20	0	0.25225711	-39.1392674	-33.8742237	-163.037247	182.683869	204.173592	0	0	0	0	0	3
22	21	0	0.264269354	-28.482969	-33.6291667	-163.037247	182.683869	204.173592	0	0	0	0	0	3
23	22	0	0.276281597	-34.5537459	-33.6693658	-163.037247	182.683869	204.173592	0	0	0	0	0	3
24	23	0	0.28829384	-28.6626286	-33.4607517	-163.037247	182.683869	204.173592	0	0	0	0	0	3
25	23	0	0.300306084	-34.7504542	-33.5123398	-163.037247	182.683869	204.173592	0	0	0	0	0	3
26	24	0	0.312318327	-29.4954994	-33.357846	-163.037247	182.683869	204.173592	0	0	0	0	0	3
27	25	0	0.324330571	-33.0151359	-33.345153	-163.037247	182.683869	204.173592	0	0	0	0	0	3
28	26	0	0.336342814	-29.1554727	-33.1955216	-163.037247	182.683869	204.173592	0	0	0	0	0	3
29	27	0	0.348355057	-34.036096	-33.2245069	-163.037247	182.683869	204.173592	0	0	0	0	0	3
30	28	0	0.360367301	-30.9711628	-33.1493954	-163.037247	182.683869	204.173592	0	0	0	0	0	3
31	29	0	0.372379544	-35.4115824	-33.2223692	-163.037247	182.683869	204.173592	0	0	0	0	0	3
32	30	0	0.384391787	-34.5704611	-33.2644971	-163.037247	182.683869	204.173592	0	0	0	0	0	3
33	31	0	0.396404031	-38.559001	-33.4249366	-163.037247	182.683869	204.173592	0	0	0	0	0	3
34	31	0	0.408416274	-37.9656092	-33.5584858	-163.037247	182.683869	204.173592	0	0	0	0	0	3
35	32	0	0.420428517	-40.6817012	-33.7620062	-163.037247	182.683869	204.173592	0	0	0	0	0	3
36	33	0	0.432440761	-38.9246825	-33.9054139	-163.037247	182.683869	204.204782	0	0	0	0	0	3
37	34	0	0.444453004	-40.829974	-34.0925642	-163.037247	182.683869	204.391933	0	0	0	0	0	3
38	35	0	0.456465247	-39.4786977	-34.2343045	-163.037247	182.683869	204.533673	0	0	0	0	0	3
39	36	0	0.468477491	-40.757389	-34.4015631	-163.037247	182.683869	204.700931	0	0	0	0	0	3
40	37	0	0.480489734	-40.6868331	-34.5586949	-163.037247	182.683869	204.858063	0	0	0	0	0	3
41	38	0	0.492501977	-41.5157644	-34.7283795	-163.037247	182.683869	205.027748	0	0	0	0	0	3
42	39	0	0.504514221	-40.9638368	-34.8768427	-163.037247	182.683869	205.176211	0	0	0	0	0	3
43	40	0	0.516526464	-42.0711112	-39.6384137	-163.037247	182.683869	209.937782	0	0	0	0	0	3
44	41	0	0.528538708	-41.6610694	-44.9799598	-163.037247	-27.8031207	118.044696	0	0	0	0	0	3
45	42	0	0.540550951	-42.7185495	-43.1064842	-163.037247	-27.8031207	59.0192004	0	0	0	0	0	3
46	43	0	0.552563194	-42.912778	-40.2463778	-115.084184	-27.8031207	33.1945155	0	0	0	0	0	3
47	44	0	0.564575438	-42.5397069	-38.5191283	-95.8367535	-27.8031207	19.185964	0	0	0	0	0	3
48	44	0	0.576587681	-43.6971865	-37.27771	-59.8442033	-27.8031207	14.3216486	0	0	0	0	0	3
49	45	0	0.588599924	-42.2592736	-36.8590212	-54.1251355	-27.8031207	11.9762295	0	0	0	0	0	3
50	46	0	0.600612168	-43.9784734	-36.617434	-43.9784734	-27.8031207	11.9762295	0	0	0	0	0	3
51	47	0	0.612624411	-42.2976914	-36.9507062	-43.9784734	-27.8031207	11.9336112	0	0	0	0	0	3
52	48	0	0.624636654	-44.534486	-37.2151008	-44.534486	-27.8031207	11.8305644	0	0	0	0	0	3
53	49	0	0.636648898	-42.6813422	-37.3412434	-44.534486	-27.8031207	11.8305644	0	0	0	0	0	3
54	50	0	0.648661141	-44.4067823	-37.5550944	-44.534486	-27.8031207	11.8305644	0	0	0	0	0	3
55	51	0	0.660673384	-43.0251649	-37.7648787	-44.534486	-27.8031207	11.8305644	0	0	0	0	0	3
56	52	0	0.672685628	-44.595443	-38.1646959	-44.595443	-27.974745	11.8305644	0	0	0	0	0	3
57	53	0	0.684697871	-43.2957037	-38.2950329	-44.595443	-27.974745	11.8305644	0	0	0	0	0	3
58	53	0	0.696710115	-44.5890766	-38.686678	-44.595443	-27.974745	11.8305644	0	0	0	0	0	3
59	54	0	0.708722358	-42.7845047	-38.6924017	-44.595443	-27.974745	11.8305644	0	0	0	0	0	3
60	55	0	0.720734601	-44.3924935	-39.0833005	-44.595443	-28.482969	11.8305644	0	0	0	0	0	3
61	56	0	0.732746845	-42.6474428	-39.1164187	-44.595443	-28.482969	11.8305644	0	0	0	0	0	3
62	57	0	0.744759088	-44.4189621	-39.4789335	-44.595443	-28.482969	11.8305644	0	0	0	0	0	3
63	58	0	0.756771331	-42.9231098	-39.569025	-44.595443	-28.482969	11.8305644	0	0	0	0	0	3
64	59	0	0.768783575	-44.3893827	-39.9477491	-44.595443	-28.6626286	11.8305644	0	0	0	0	0	3
65	59	0	0.780795818	-43.484075	-40.160376	-44.595443	-28.6626286	11.8305644	0	0	0	0	0	3
66	60	0	0.792808061	-44.2982606	-40.5326529	-44.595443	-29.1554727	11.8305644	0	0	0	0	0	3
