Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	2727.30521	2727.30521	2727.30521	2727.30521	0	0	0	0	0	0	3
2	4	0	0.0240244867	319.64982	1523.47752	319.64982	2727.30521	1203.8277	0	0	0	0	0	3
3	5	0	0.0360367301	141.935983	1062.96367	141.935983	2727.30521	1664.34154	0	0	0	0	0	3
4	6	0	0.0480489734	38.8092945	806.925077	38.8092945	2727.30521	1920.38014	0	0	0	0	0	3
5	7	0	0.0600612168	86.2321058	662.786483	38.8092945	2727.30521	2064.51873	0	0	0	0	0	3
6	8	0	0.0720734601	62.6442726	562.762781	38.8092945	2727.30521	2164.54243	0	0	0	0	0	3
7	8	0	0.0840857035	69.614661	492.31305	38.8092945	2727.30521	2234.99216	0	0	0	0	0	3
8	9	0	0.0960979468	66.1446297	439.041997	38.8092945	2727.30521	2288.26322	0	0	0	0	0	3
9	10	0	0.10811019	65.5085747	397.538284	38.8092945	2727.30521	2329.76693	0	0	0	0	0	3
10	11	0	0.120122434	65.8320345	364.367659	38.8092945	2727.30521	2362.93755	0	0	0	0	0	3
11	12	0	0.132134677	63.5623952	337.021726	38.8092945	2727.30521	2390.28349	0	0	0	0	0	3
12	12	0	0.14414692	66.1108912	314.445823	38.8092945	2727.30521	2412.85939	0	0	0	0	0	3
13	13	0	0.156159164	67.982554	295.48711	38.8092945	2727.30521	2431.8181	0	0	0	0	0	3
14	14	0	0.168171407	65.6897846	279.073015	38.8092945	2727.30521	2448.2322	0	0	0	0	0	3
15	15	0	0.18018365	65.8075443	264.855317	38.8092945	2727.30521	2462.4499	0	0	0	0	0	3
16	16	0	0.192195894	65.5155944	252.396584	38.8092945	2727.30521	2474.90863	0	0	0	0	0	3
17	17	0	0.204208137	66.9029652	241.485195	38.8092945	2727.30521	2485.82002	0	0	0	0	0	3
18	17	0	0.21622038	65.2605565	231.694937	38.8092945	2727.30521	2495.61028	0	0	0	0	0	3
19	18	0	0.228232624	62.7395309	222.802548	38.8092945	2727.30521	2504.50267	0	0	0	0	0	3
20	19	0	0.240244867	63.8726161	214.856051	38.8092945	2727.30521	2512.44916	0	0	0	0	0	3
21	20	0	0.25225711	60.7883229	207.519493	38.8092945	2727.30521	2519.78572	0	0	0	0	0	3
22	21	0	0.264269354	62.4764617	200.926628	38.8092945	2727.30521	2526.37859	0	0	0	0	0	3
23	22	0	0.276281597	59.5969593	194.781859	38.8092945	2727.30521	2532.52335	0	0	0	0	0	3
24	23	0	0.28829384	61.4300321	189.225533	38.8092945	2727.30521	2538.07968	0	0	0	0	0	3
25	23	0	0.300306084	58.8156915	184.00914	38.8092945	2727.30521	2543.29607	0	0	0	0	0	3
26	24	0	0.312318327	61.2161575	179.286333	38.8092945	2727.30521	2548.01888	0	0	0	0	0	3
27	25	0	0.324330571	58.2955515	174.805192	38.8092945	2727.30521	2552.50002	0	0	0	0	0	3
28	26	0	0.336342814	60.4126462	170.719744	38.8092945	2727.30521	2556.58547	0	0	0	0	0	3
29	27	0	0.348355057	58.274003	166.842305	38.8092945	2727.30521	2560.46291	0	0	0	0	0	3
30	28	0	0.360367301	60.9451727	163.312401	38.8092945	2727.30521	2563.99281	0	0	0	0	0	3
31	29	0	0.372379544	58.5655556	159.93347	38.8092945	2727.30521	2567.37174	0	0	0	0	0	3
32	30	0	0.384391787	61.0444976	156.84319	38.8092945	2727.30521	2570.46202	0	0	0	0	0	3
33	31	0	0.396404031	58.4747436	153.862328	38.8092945	2727.30521	2573.44289	0	0	0	0	0	3
34	31	0	0.408416274	59.2585043	151.079862	38.8092945	2727.30521	2576.22535	0	0	0	0	0	3
35	32	0	0.420428517	56.372544	148.373939	38.8092945	2727.30521	2578.93127	0	0	0	0	0	3
36	33	0	0.432440761	58.271044	145.871081	38.8092945	2727.30521	2581.43413	0	0	0	0	0	3
37	34	0	0.444453004	56.7095781	143.46131	38.8092945	2727.30521	2583.8439	0	0	0	0	0	3
38	35	0	0.456465247	59.3567709	141.248033	38.8092945	2727.30521	2586.05718	0	0	0	0	0	3
39	36	0	0.468477491	56.9808503	139.087336	38.8092945	2727.30521	2588.21788	0	0	0	0	0	3
40	37	0	0.480489734	59.0355107	137.08604	38.8092945	2727.30521	2590.21917	0	0	0	0	0	3
41	38	0	0.492501977	56.9642821	135.131851	38.8092945	2727.30521	2592.17336	0	0	0	0	0	3
42	39	0	0.504514221	58.7876077	133.314131	38.8092945	2727.30521	2593.99108	0	0	0	0	0	3
43	40	0	0.516526464	57.093361	69.7376585	38.8092945	319.64982	280.840525	0	0	0	0	0	3
44	41	0	0.528538708	58.3834874	63.5170315	38.8092945	141.935983	103.126688	0	0	0	0	0	3
45	42	0	0.540550951	57.2731966	61.5012509	38.8092945	86.2321058	47.4228112	0	0	0	0	0	3
46	43	0	0.552563194	57.7737274	61.952785	56.372544	86.2321058	29.8595618	0	0	0	0	0	3
47	44	0	0.564575438	57.7120784	61.2737367	56.372544	69.614661	13.242117	0	0	0	0	0	3
48	44	0	0.576587681	58.0514883	61.1643847	56.372544	69.614661	13.242117	0	0	0	0	0	3
49	45	0	0.588599924	58.6384789	60.9030471	56.372544	67.982554	11.61001	0	0	0	0	0	3
50	46	0	0.600612168	58.0054794	60.7092578	56.372544	67.982554	11.61001	0	0	0	0	0	3
51	47	0	0.612624411	58.5762989	60.5442036	56.372544	67.982554	11.61001	0	0	0	0	0	3
52	48	0	0.624636654	57.8305934	60.3536931	56.372544	67.982554	11.61001	0	0	0	0	0	3
53	49	0	0.636648898	58.5117622	60.2334399	56.372544	67.982554	11.61001	0	0	0	0	0	3
54	50	0	0.648661141	57.4012856	60.0260684	56.372544	67.982554	11.61001	0	0	0	0	0	3
55	51	0	0.660673384	58.0882327	59.7904893	56.372544	66.9029652	10.5304212	0	0	0	0	0	3
56	52	0	0.672685628	57.1022384	59.5860239	56.372544	66.9029652	10.5304212	0	0	0	0	0	3
57	53	0	0.684697871	57.5070664	59.3883935	56.372544	66.9029652	10.5304212	0	0	0	0	0	3
58	53	0	0.696710115	56.9312581	59.1840045	56.372544	66.9029652	10.5304212	0	0	0	0	0	3
59	54	0	0.708722358	57.4261975	58.9583672	56.372544	65.2605565	8.88801252	0	0	0	0	0	3
60	55	0	0.720734601	57.3957559	58.77111	56.372544	63.8726161	7.50007216	0	0	0	0	0	3
61	56	0	0.732746845	57.3741766	58.6433635	56.372544	63.8726161	7.50007216	0	0	0	0	0	3
62	57	0	0.744759088	56.996942	58.479657	56.372544	62.4764617	6.10391771	0	0	0	0	0	3
63	58	0	0.756771331	57.1360524	58.3926981	56.372544	62.4764617	6.10391771	0	0	0	0	0	3
64	59	0	0.768783575	57.1284239	58.2653639	56.372544	61.4300321	5.05748813	0	0	0	0	0	3
65	59	0	0.780795818	56.9414648	58.2021379	56.372544	61.4300321	5.05748813	0	0	0	0	0	3
66	60	0	0.792808061	57.3567724	58.1051555	56.372544	61.2161575	4.84361358	0	0	0	0	0	3
67	61	0	0.804820305	56.6466731	58.0535122	56.372544	61.2161575	4.84361358	0	0	0	0	0	3
