Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	311.323379	311.323379	311.323379	311.323379	0	0	0	0	0	0	3
2	4	0	0.0240244867	-190.13265	60.5953647	-190.13265	311.323379	250.728014	0	0	0	0	0	3
3	5	0	0.0360367301	-28.8854347	30.7684316	-190.13265	311.323379	280.554947	0	0	0	0	0	3
4	6	0	0.0480489734	-31.058836	15.3116147	-190.13265	311.323379	296.011764	0	0	0	0	0	3
5	7	0	0.0600612168	-34.638722	5.32154734	-190.13265	311.323379	306.001832	0	0	0	0	0	3
6	8	0	0.0720734601	-58.0432323	-5.23924926	-190.13265	311.323379	316.562628	0	0	0	0	0	3
7	8	0	0.0840857035	-63.9140072	-13.6213575	-190.13265	311.323379	324.944737	0	0	0	0	0	3
8	9	0	0.0960979468	-70.6687856	-20.7522861	-190.13265	311.323379	332.075665	0	0	0	0	0	3
9	10	0	0.10811019	-80.1085356	-27.3474249	-190.13265	311.323379	338.670804	0	0	0	0	0	3
10	11	0	0.120122434	-82.0368677	-32.8163692	-190.13265	311.323379	344.139748	0	0	0	0	0	3
11	12	0	0.132134677	-79.4894245	-37.0593742	-190.13265	311.323379	348.382753	0	0	0	0	0	3
12	12	0	0.14414692	-83.1194089	-40.8977104	-190.13265	311.323379	352.221089	0	0	0	0	0	3
13	13	0	0.156159164	-79.8800003	-43.8963481	-190.13265	311.323379	355.219727	0	0	0	0	0	3
14	14	0	0.168171407	-85.2712395	-46.8516975	-190.13265	311.323379	358.175077	0	0	0	0	0	3
15	15	0	0.18018365	-79.76533	-49.0459397	-190.13265	311.323379	360.369319	0	0	0	0	0	3
16	16	0	0.192195894	-84.3914274	-51.2550327	-190.13265	311.323379	362.578412	0	0	0	0	0	3
17	17	0	0.204208137	-77.5925648	-52.8042992	-190.13265	311.323379	364.127678	0	0	0	0	0	3
18	17	0	0.21622038	-84.2386952	-54.5506546	-190.13265	311.323379	365.874034	0	0	0	0	0	3
19	18	0	0.228232624	-78.8910873	-55.83173	-190.13265	311.323379	367.155109	0	0	0	0	0	3
20	19	0	0.240244867	-83.6943967	-57.2248633	-190.13265	311.323379	368.548242	0	0	0	0	0	3
21	20	0	0.25225711	-79.9025335	-58.3047524	-190.13265	311.323379	369.628131	0	0	0	0	0	3
22	21	0	0.264269354	-82.568357	-59.4076435	-190.13265	311.323379	370.731023	0	0	0	0	0	3
23	22	0	0.276281597	-80.9365642	-60.3436835	-190.13265	311.323379	371.667063	0	0	0	0	0	3
