Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240244867	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360367301	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0480489734	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0600612168	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0720734601	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0840857035	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.0960979468	0	0	0	0	0	0	0	0	0	0	3
9	10	0	0.10811019	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.120122434	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.132134677	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.14414692	0	0	0	0	0	0	0	0	0	0	3
13	13	0	0.156159164	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.168171407	0	0	0	0	0	0	0	0	0	0	3
15	15	0	0.18018365	0	0	0	0	0	0	0	0	0	0	3
16	16	0	0.192195894	0	0	0	0	0	0	0	0	0	0	3
17	17	0	0.204208137	0	0	0	0	0	0	0	0	0	0	3
18	17	0	0.21622038	0	0	0	0	0	0	0	0	0	0	3
19	18	0	0.228232624	0	0	0	0	0	0	0	0	0	0	3
20	19	0	0.240244867	0	0	0	0	0	0	0	0	0	0	3
21	20	0	0.25225711	0	0	0	0	0	0	0	0	0	0	3
22	21	0	0.264269354	0	0	0	0	0	0	0	0	0	0	3
23	22	0	0.276281597	0	0	0	0	0	0	0	0	0	0	3
24	23	0	0.28829384	0	0	0	0	0	0	0	0	0	0	3
25	23	0	0.300306084	0	0	0	0	0	0	0	0	0	0	3
26	24	0	0.312318327	0	0	0	0	0	0	0	0	0	0	3
27	25	0	0.324330571	0	0	0	0	0	0	0	0	0	0	3
28	26	0	0.336342814	0	0	0	0	0	0	0	0	0	0	3
29	27	0	0.348355057	0	0	0	0	0	0	0	0	0	0	3
30	28	0	0.360367301	0	0	0	0	0	0	0	0	0	0	3
31	29	0	0.372379544	0	0	0	0	0	0	0	0	0	0	3
32	30	0	0.384391787	0	0	0	0	0	0	0	0	0	0	3
33	31	0	0.396404031	0	0	0	0	0	0	0	0	0	0	3
34	31	0	0.408416274	0	0	0	0	0	0	0	0	0	0	3
35	32	0	0.420428517	0	0	0	0	0	0	0	0	0	0	3
36	33	0	0.432440761	0	0	0	0	0	0	0	0	0	0	3
37	34	0	0.444453004	0	0	0	0	0	0	0	0	0	0	3
38	35	0	0.456465247	0	0	0	0	0	0	0	0	0	0	3
39	36	0	0.468477491	0	0	0	0	0	0	0	0	0	0	3
40	37	0	0.480489734	0	0	0	0	0	0	0	0	0	0	3
41	38	0	0.492501977	0	0	0	0	0	0	0	0	0	0	3
42	39	0	0.504514221	0	0	0	0	0	0	0	0	0	0	3
43	40	0	0.516526464	0	0	0	0	0	0	0	0	0	0	3
44	41	0	0.528538708	0	0	0	0	0	0	0	0	0	0	3
45	42	0	0.540550951	0	0	0	0	0	0	0	0	0	0	3
46	43	0	0.552563194	0	0	0	0	0	0	0	0	0	0	3
47	44	0	0.564575438	0	0	0	0	0	0	0	0	0	0	3
48	44	0	0.576587681	0	0	0	0	0	0	0	0	0	0	3
49	45	0	0.588599924	0	0	0	0	0	0	0	0	0	0	3
50	46	0	0.600612168	0	0	0	0	0	0	0	0	0	0	3
51	47	0	0.612624411	0	0	0	0	0	0	0	0	0	0	3
52	48	0	0.624636654	0	0	0	0	0	0	0	0	0	0	3
53	49	0	0.636648898	0	0	0	0	0	0	0	0	0	0	3
54	50	0	0.648661141	0	0	0	0	0	0	0	0	0	0	3
55	51	0	0.660673384	0	0	0	0	0	0	0	0	0	0	3
56	52	0	0.672685628	0	0	0	0	0	0	0	0	0	0	3
57	53	0	0.684697871	0	0	0	0	0	0	0	0	0	0	3
58	53	0	0.696710115	0	0	0	0	0	0	0	0	0	0	3
59	54	0	0.708722358	0	0	0	0	0	0	0	0	0	0	3
60	55	0	0.720734601	0	0	0	0	0	0	0	0	0	0	3
61	56	0	0.732746845	0	0	0	0	0	0	0	0	0	0	3
62	57	0	0.744759088	0	0	0	0	0	0	0	0	0	0	3
63	58	0	0.756771331	0	0	0	0	0	0	0	0	0	0	3
64	59	0	0.768783575	0	0	0	0	0	0	0	0	0	0	3
65	59	0	0.780795818	0	0	0	0	0	0	0	0	0	0	3
66	60	0	0.792808061	0	0	0	0	0	0	0	0	0	0	3
67	61	0	0.804820305	0	0	0	0	0	0	0	0	0	0	3
68	62	0	0.816832548	0	0	0	0	0	0	0	0	0	0	3
69	63	0	0.828844791	0	0	0	0	0	0	0	0	0	0	3
70	64	0	0.840857035	0	0	0	0	0	0	0	0	0	0	3
71	65	0	0.852869278	0	0	0	0	0	0	0	0	0	0	3
72	65	0	0.864881521	0	0	0	0	0	0	0	0	0	0	3
73	66	0	0.876893765	0	0	0	0	0	0	0	0	0	0	3
74	67	0	0.888906008	0	0	0	0	0	0	0	0	0	0	3
75	68	0	0.900918252	0	0	0	0	0	0	0	0	0	0	3
76	69	0	0.912930495	0	0	0	0	0	0	0	0	0	0	3
77	70	0	0.924942738	0	0	0	0	0	0	0	0	0	0	3
78	71	0	0.936954982	0	0	0	0	0	0	0	0	0	0	3
79	71	0	0.948967225	0	0	0	0	0	0	0	0	0	0	3
80	72	0	0.960979468	0	0	0	0	0	0	0	0	0	0	3
81	73	0	0.972991712	0	0	0	0	0	0	0	0	0	0	3
82	74	0	0.985003955	0	0	0	0	0	0	0	0	0	0	3
83	75	0	0.997016198	0	0	0	0	0	0	0	0	0	0	3
84	76	0	1.00902844	0	0	0	0	0	0.001	0	0	0	0	3
85	77	0	1.02104069	0	0	0	0	0	0.001	0	0	0	0	3
86	77	0	1.03305293	0	0	0	0	0	0.001	0	0	0	0	3
87	78	0	1.04506517	0	0	0	0	0	0.001	0	0	0	0	3
88	79	0	1.05707742	0	0	0	0	0	0.001	0	0	0	0	3
89	80	0	1.06908966	0	0	0	0	0	0.001	0	0	0	0	3
90	81	0	1.0811019	0	0	0	0	0	0.001	0	0	0	0	3
91	82	0	1.09311415	0	0	0	0	0	0.001	0	0	0	0	3
92	82	0	1.10512639	0	0	0	0	0	0.001	0	0	0	0	3
93	83	0	1.11713863	0	0	0	0	0	0.001	0	0	0	0	3
94	84	0	1.12915088	0	0	0	0	0	0.001	0	0	0	0	3
95	85	0	1.14116312	0	0	0	0	0	0.001	0	0	0	0	3
96	86	0	1.15317536	0	0	0	0	0	0.001	0	0	0	0	3
97	87	0	1.16518761	0	0	0	0	0	0.001	0	0	0	0	3
98	88	0	1.17719985	0	0	0	0	0	0.001	0	0	0	0	3
99	89	0	1.18921209	0	0	0	0	0	0.001	0	0	0	0	3
100	89	0	1.20122434	0	0	0	0	0	0.001	0	0	0	0	3
101	91	0	1.21323658	0	0	0	0	0	0.001	0	0	0	0	3
102	92	0	1.22524882	0	0	0	0	0	0.001	0	0	0	0	3
103	93	0	1.23726107	0	0	0	0	0	0.001	0	0	0	0	3
104	93	0	1.24927331	0	0	0	0	0	0.001	0	0	0	0	3
105	94	0	1.26128555	0	0	0	0	0	0.001	0	0	0	0	3
