Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	101326.406	101326.406	101326.406	101326.406	0	0	0	0	0	0	3
2	4	0	0.0240244867	101324.973	101325.689	101324.973	101326.406	0.716180269	0	0	0	0	0	3
3	5	0	0.0360367301	101325.093	101325.491	101324.973	101326.406	0.914849482	0	0	0	0	0	3
4	6	0	0.0480489734	101325.057	101325.382	101324.973	101326.406	1.02316568	0	0	0	0	0	3
5	7	0	0.0600612168	101325.059	101325.318	101324.973	101326.406	1.08792652	0	0	0	0	0	3
6	8	0	0.0720734601	101325.047	101325.272	101324.973	101326.406	1.13308638	0	0	0	0	0	3
7	8	0	0.0840857035	101325.067	101325.243	101324.973	101326.406	1.16240541	0	0	0	0	0	3
8	9	0	0.0960979468	101325.05	101325.219	101324.973	101326.406	1.18649551	0	0	0	0	0	3
9	10	0	0.10811019	101325.069	101325.202	101324.973	101326.406	1.20315968	0	0	0	0	0	3
10	11	0	0.120122434	101325.047	101325.187	101324.973	101326.406	1.21865442	0	0	0	0	0	3
11	12	0	0.132134677	101325.066	101325.176	101324.973	101326.406	1.229687	0	0	0	0	0	3
12	12	0	0.14414692	101325.045	101325.165	101324.973	101326.406	1.24057021	0	0	0	0	0	3
13	13	0	0.156159164	101325.061	101325.157	101324.973	101326.406	1.24855812	0	0	0	0	0	3
14	14	0	0.168171407	101325.042	101325.149	101324.973	101326.406	1.25680053	0	0	0	0	0	3
15	15	0	0.18018365	101325.055	101325.142	101324.973	101326.406	1.26304467	0	0	0	0	0	3
16	16	0	0.192195894	101325.039	101325.136	101324.973	101326.406	1.26953901	0	0	0	0	0	3
17	17	0	0.204208137	101325.045	101325.131	101324.973	101326.406	1.27486841	0	0	0	0	0	3
18	17	0	0.21622038	101325.035	101325.125	101324.973	101326.406	1.28020336	0	0	0	0	0	3
19	18	0	0.228232624	101325.04	101325.121	101324.973	101326.406	1.28471073	0	0	0	0	0	3
20	19	0	0.240244867	101325.037	101325.117	101324.973	101326.406	1.28889203	0	0	0	0	0	3
21	20	0	0.25225711	101325.043	101325.113	101324.973	101326.406	1.29240022	0	0	0	0	0	3
22	21	0	0.264269354	101325.041	101325.11	101324.973	101326.406	1.29569249	0	0	0	0	0	3
23	22	0	0.276281597	101325.042	101325.107	101324.973	101326.406	1.29866006	0	0	0	0	0	3
24	23	0	0.28829384	101325.041	101325.104	101324.973	101326.406	1.30141328	0	0	0	0	0	3
25	23	0	0.300306084	101325.04	101325.102	101324.973	101326.406	1.3039887	0	0	0	0	0	3
26	24	0	0.312318327	101325.036	101325.099	101324.973	101326.406	1.30652276	0	0	0	0	0	3
27	25	0	0.324330571	101325.028	101325.096	101324.973	101326.406	1.30915882	0	0	0	0	0	3
28	26	0	0.336342814	101325.017	101325.094	101324.973	101326.406	1.31199743	0	0	0	0	0	3
29	27	0	0.348355057	101325.008	101325.091	101324.973	101326.406	1.31494673	0	0	0	0	0	3
30	28	0	0.360367301	101325.003	101325.088	101324.973	101326.406	1.31787973	0	0	0	0	0	3
31	29	0	0.372379544	101324.997	101325.085	101324.973	101326.406	1.32080171	0	0	0	0	0	3
32	30	0	0.384391787	101324.993	101325.082	101324.973	101326.406	1.32367441	0	0	0	0	0	3
33	31	0	0.396404031	101324.991	101325.079	101324.973	101326.406	1.32642197	0	0	0	0	0	3
34	31	0	0.408416274	101324.992	101325.077	101324.973	101326.406	1.32899788	0	0	0	0	0	3
35	32	0	0.420428517	101324.994	101325.074	101324.973	101326.406	1.33135739	0	0	0	0	0	3
36	33	0	0.432440761	101324.998	101325.072	101324.973	101326.406	1.3334741	0	0	0	0	0	3
37	34	0	0.444453004	101325.001	101325.07	101324.973	101326.406	1.33539858	0	0	0	0	0	3
38	35	0	0.456465247	101325.003	101325.068	101324.973	101326.406	1.33715903	0	0	0	0	0	3
39	36	0	0.468477491	101325.006	101325.067	101324.973	101326.406	1.33875894	0	0	0	0	0	3
40	37	0	0.480489734	101325.008	101325.065	101324.973	101326.406	1.34023927	0	0	0	0	0	3
41	38	0	0.492501977	101325.009	101325.064	101324.973	101326.406	1.34162016	0	0	0	0	0	3
42	39	0	0.504514221	101325.009	101325.063	101324.973	101326.406	1.34292642	0	0	0	0	0	3
43	40	0	0.516526464	101325.009	101325.029	101324.973	101325.093	0.120172629	0	0	0	0	0	3
44	41	0	0.528538708	101325.01	101325.03	101324.991	101325.093	0.102156052	0	0	0	0	0	3
45	42	0	0.540550951	101325.01	101325.028	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
46	43	0	0.552563194	101325.01	101325.027	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
47	44	0	0.564575438	101325.01	101325.026	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
48	44	0	0.576587681	101325.011	101325.025	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
49	45	0	0.588599924	101325.011	101325.024	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
50	46	0	0.600612168	101325.011	101325.023	101324.991	101325.069	0.0778709649	0	0	0	0	0	3
51	47	0	0.612624411	101325.011	101325.021	101324.991	101325.066	0.0743311482	0	0	0	0	0	3
52	48	0	0.624636654	101325.011	101325.021	101324.991	101325.066	0.0743311482	0	0	0	0	0	3
53	49	0	0.636648898	101325.011	101325.019	101324.991	101325.061	0.0699309925	0	0	0	0	0	3
54	50	0	0.648661141	101325.01	101325.018	101324.991	101325.061	0.0699309925	0	0	0	0	0	3
55	51	0	0.660673384	101325.009	101325.017	101324.991	101325.055	0.0638812564	0	0	0	0	0	3
56	52	0	0.672685628	101325.009	101325.016	101324.991	101325.055	0.0638812564	0	0	0	0	0	3
57	53	0	0.684697871	101325.009	101325.015	101324.991	101325.045	0.0542051532	0	0	0	0	0	3
58	53	0	0.696710115	101325.009	101325.015	101324.991	101325.045	0.0542051532	0	0	0	0	0	3
59	54	0	0.708722358	101325.01	101325.014	101324.991	101325.043	0.0517799159	0	0	0	0	0	3
60	55	0	0.720734601	101325.011	101325.013	101324.991	101325.043	0.0517799159	0	0	0	0	0	3
61	56	0	0.732746845	101325.012	101325.013	101324.991	101325.043	0.0517799159	0	0	0	0	0	3
62	57	0	0.744759088	101325.012	101325.012	101324.991	101325.043	0.0517799159	0	0	0	0	0	3
63	58	0	0.756771331	101325.011	101325.011	101324.991	101325.042	0.0503974502	0	0	0	0	0	3
64	59	0	0.768783575	101325.012	101325.011	101324.991	101325.042	0.0503974502	0	0	0	0	0	3
65	59	0	0.780795818	101325.011	101325.01	101324.991	101325.041	0.0496065973	0	0	0	0	0	3
66	60	0	0.792808061	101325.011	101325.009	101324.991	101325.04	0.0485450193	0	0	0	0	0	3
67	61	0	0.804820305	101325.011	101325.008	101324.991	101325.036	0.0444698154	0	0	0	0	0	3
68	62	0	0.816832548	101325.011	101325.008	101324.991	101325.028	0.0366474699	0	0	0	0	0	3
69	63	0	0.828844791	101325.011	101325.007	101324.991	101325.017	0.0257042153	0	0	0	0	0	3
70	64	0	0.840857035	101325.01	101325.007	101324.991	101325.012	0.020760781	0	0	0	0	0	3
71	65	0	0.852869278	101325.01	101325.007	101324.991	101325.012	0.020760781	0	0	0	0	0	3
72	65	0	0.864881521	101325.011	101325.008	101324.991	101325.012	0.020760781	0	0	0	0	0	3
73	66	0	0.876893765	101325.011	101325.008	101324.991	101325.012	0.020760781	0	0	0	0	0	3
74	67	0	0.888906008	101325.011	101325.008	101324.991	101325.012	0.020760781	0	0	0	0	0	3
75	68	0	0.900918252	101325.011	101325.009	101324.992	101325.012	0.0204194958	0	0	0	0	0	3
76	69	0	0.912930495	101325.01	101325.009	101324.994	101325.012	0.01799774	0	0	0	0	0	3
77	70	0	0.924942738	101325.009	101325.01	101324.998	101325.012	0.0139758316	0	0	0	0	0	3
78	71	0	0.936954982	101325.009	101325.01	101325.001	101325.012	0.0110964694	0	0	0	0	0	3
79	71	0	0.948967225	101325.009	101325.01	101325.003	101325.012	0.00871251953	0	0	0	0	0	3
80	72	0	0.960979468	101325.009	101325.01	101325.006	101325.012	0.00597239478	0	0	0	0	0	3
81	73	0	0.972991712	101325.009	101325.01	101325.008	101325.012	0.00438914518	0	0	0	0	0	3
82	74	0	0.985003955	101325.009	101325.01	101325.009	101325.012	0.00327256201	0	0	0	0	0	3
83	75	0	0.997016198	101325.01	101325.01	101325.009	101325.012	0.00307536189	0	0	0	0	0	3
84	76	0	1.00902844	101325.01	101325.01	101325.009	101325.012	0.00307536189	0.00306468156	0	0	0	0	3
85	77	0	1.02104069	101325.009	101325.01	101325.009	101325.012	0.00307536189	0.00306468156	0	0	0	0	3
86	77	0	1.03305293	101325.008	101325.01	101325.008	101325.012	0.00365950918	0.00306468156	0	0	0	0	3
87	78	0	1.04506517	101325.008	101325.01	101325.008	101325.012	0.00386938243	0.00306468156	0	0	0	0	3
88	79	0	1.05707742	101325.008	101325.01	101325.008	101325.012	0.00444077724	0.00306468156	0	0	0	0	3
89	80	0	1.06908966	101325.007	101325.01	101325.007	101325.012	0.00482552181	0.00306468156	0	0	0	0	3
90	81	0	1.0811019	101325.007	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
91	82	0	1.09311415	101325.007	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
92	82	0	1.10512639	101325.008	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
93	83	0	1.11713863	101325.008	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
94	84	0	1.12915088	101325.008	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
95	85	0	1.14116312	101325.009	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
96	86	0	1.15317536	101325.008	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
97	87	0	1.16518761	101325.008	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
98	88	0	1.17719985	101325.007	101325.01	101325.007	101325.012	0.00514934787	0.00306468156	0	0	0	0	3
99	89	0	1.18921209	101325.007	101325.01	101325.007	101325.012	0.00520082936	0.00306468156	0	0	0	0	3
100	89	0	1.20122434	101325.006	101325.009	101325.006	101325.012	0.00588477697	0.00306468156	0	0	0	0	3
101	91	0	1.21323658	101325.006	101325.009	101325.006	101325.012	0.00594795936	0.00306468156	0	0	0	0	3
102	92	0	1.22524882	101325.005	101325.009	101325.005	101325.012	0.00528273883	0.00306468156	0	0	0	0	3
103	93	0	1.23726107	101325.006	101325.009	101325.005	101325.012	0.00468163191	0.00306468156	0	0	0	0	3
104	93	0	1.24927331	101325.006	101325.009	101325.005	101325.012	0.00392836583	0.00306468156	0	0	0	0	3
105	94	0	1.26128555	101325.007	101325.009	101325.005	101325.012	0.00323476184	0.00306468156	0	0	0	0	3
