Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120122434	293.199983	293.199983	293.199983	293.199983	0	0	0	0	0	0	3
2	4	0	0.0240244867	293.199966	293.199974	293.199966	293.199983	8.8926862e-06	0	0	0	0	0	3
3	5	0	0.0360367301	293.199963	293.199971	293.199963	293.199983	1.27708548e-05	0	0	0	0	0	3
4	6	0	0.0480489734	293.199957	293.199967	293.199957	293.199983	1.60931127e-05	0	0	0	0	0	3
5	7	0	0.0600612168	293.199952	293.199964	293.199952	293.199983	1.91097938e-05	0	0	0	0	0	3
6	8	0	0.0720734601	293.199943	293.199961	293.199943	293.199983	2.26537925e-05	0	0	0	0	0	3
7	8	0	0.0840857035	293.199933	293.199957	293.199933	293.199983	2.66683763e-05	0	0	0	0	0	3
8	9	0	0.0960979468	293.199922	293.199952	293.199922	293.199983	3.09973734e-05	0	0	0	0	0	3
9	10	0	0.10811019	293.199912	293.199948	293.199912	293.199983	3.54429822e-05	0	0	0	0	0	3
10	11	0	0.120122434	293.199903	293.199943	293.199903	293.199983	3.99345121e-05	0	0	0	0	0	3
11	12	0	0.132134677	293.199892	293.199939	293.199892	293.199983	4.46094601e-05	0	0	0	0	0	3
12	12	0	0.14414692	293.199882	293.199934	293.199882	293.199983	4.93701003e-05	0	0	0	0	0	3
13	13	0	0.156159164	293.199872	293.199929	293.199872	293.199983	5.41198194e-05	0	0	0	0	0	3
14	14	0	0.168171407	293.199863	293.199925	293.199863	293.199983	5.88239414e-05	0	0	0	0	0	3
15	15	0	0.18018365	293.199856	293.19992	293.199856	293.199983	6.34001451e-05	0	0	0	0	0	3
16	16	0	0.192195894	293.199845	293.199915	293.199845	293.199983	6.80649613e-05	0	0	0	0	0	3
17	17	0	0.204208137	293.199836	293.199911	293.199836	293.199983	7.27369872e-05	0	0	0	0	0	3
18	17	0	0.21622038	293.199827	293.199906	293.199827	293.199983	7.74026101e-05	0	0	0	0	0	3
