Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0120122434
2	4	0	0.0240244867
3	5	0	0.0360367301
4	6	0	0.0480489734
5	7	0	0.0600612168
6	8	0	0.0720734601
7	8	0	0.0840857035
8	9	0	0.0960979468
9	10	0	0.10811019
10	11	0	0.120122434
11	12	0	0.132134677
12	12	0	0.14414692
13	13	0	0.156159164
14	14	0	0.168171407
15	15	0	0.18018365
16	16	0	0.192195894
17	17	0	0.204208137
18	17	0	0.21622038
19	18	0	0.228232624
20	19	0	0.240244867
21	20	0	0.25225711
22	21	0	0.264269354
23	22	0	0.276281597
24	23	0	0.28829384
25	23	0	0.300306084
26	24	0	0.312318327
27	25	0	0.324330571
28	26	0	0.336342814
29	27	0	0.348355057
30	28	0	0.360367301
31	29	0	0.372379544
32	30	0	0.384391787
33	31	0	0.396404031
34	31	0	0.408416274
35	32	0	0.420428517
36	33	0	0.432440761
37	34	0	0.444453004
38	35	0	0.456465247
39	36	0	0.468477491
40	37	0	0.480489734
41	38	0	0.492501977
42	39	0	0.504514221
43	40	0	0.516526464
44	41	0	0.528538708
45	42	0	0.540550951
46	43	0	0.552563194
47	44	0	0.564575438
48	44	0	0.576587681
49	45	0	0.588599924
50	46	0	0.600612168
51	47	0	0.612624411
52	48	0	0.624636654
53	49	0	0.636648898
54	50	0	0.648661141
55	51	0	0.660673384
56	52	0	0.672685628
57	53	0	0.684697871
58	53	0	0.696710115
59	54	0	0.708722358
60	55	0	0.720734601
61	56	0	0.732746845
62	57	0	0.744759088
63	58	0	0.756771331
64	59	0	0.768783575
65	59	0	0.780795818
66	60	0	0.792808061
67	61	0	0.804820305
68	62	0	0.816832548
69	63	0	0.828844791
70	64	0	0.840857035
71	65	0	0.852869278
72	65	0	0.864881521
73	66	0	0.876893765
74	67	0	0.888906008
75	68	0	0.900918252
76	69	0	0.912930495
77	70	0	0.924942738
78	71	0	0.936954982
79	71	0	0.948967225
80	72	0	0.960979468
81	73	0	0.972991712
82	74	0	0.985003955
83	75	0	0.997016198
84	76	0	1.00902844
85	77	0	1.02104069
86	77	0	1.03305293
87	78	0	1.04506517
88	79	0	1.05707742
89	80	0	1.06908966
90	81	0	1.0811019
91	82	0	1.09311415
92	82	0	1.10512639
93	83	0	1.11713863
94	84	0	1.12915088
95	85	0	1.14116312
96	86	0	1.15317536
97	87	0	1.16518761
98	88	0	1.17719985
99	89	0	1.18921209
100	89	0	1.20122434
101	91	0	1.21323658
102	92	0	1.22524882
103	93	0	1.23726107
104	93	0	1.24927331
105	94	0	1.26128555
