Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120018786	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240037573	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0360056359	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0480075146	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0600093932	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0720112719	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.0840131505	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.0960150292	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.108016908	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.120018786	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.132020665	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.144022544	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.156024422	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.168026301	0	0	0	0	0	0	0	0	0	0	3
15	13	0	0.18002818	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.192030058	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.204031937	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.216033816	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.228035694	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.240037573	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.252039452	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.26404133	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.276043209	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.288045088	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.300046966	0	0	0	0	0	0	0	0	0	0	3
26	22	0	0.312048845	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.324050724	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.336052602	0	0	0	0	0	0	0	0	0	0	3
29	24	0	0.348054481	0	0	0	0	0	0	0	0	0	0	3
30	25	0	0.360056359	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.372058238	0	0	0	0	0	0	0	0	0	0	3
32	26	0	0.384060117	0	0	0	0	0	0	0	0	0	0	3
33	27	0	0.396061995	0	0	0	0	0	0	0	0	0	0	3
34	28	0	0.408063874	0	0	0	0	0	0	0	0	0	0	3
35	28	0	0.420065753	0	0	0	0	0	0	0	0	0	0	3
36	29	0	0.432067631	0	0	0	0	0	0	0	0	0	0	3
37	30	0	0.44406951	0	0	0	0	0	0	0	0	0	0	3
38	31	0	0.456071389	0	0	0	0	0	0	0	0	0	0	3
39	32	0	0.468073267	0	0	0	0	0	0	0	0	0	0	3
40	32	0	0.480075146	0	0	0	0	0	0	0	0	0	0	3
41	33	0	0.492077025	0	0	0	0	0	0	0	0	0	0	3
42	34	0	0.504078903	0	0	0	0	0	0	0	0	0	0	3
43	35	0	0.516080782	0	0	0	0	0	0	0	0	0	0	3
44	36	0	0.528082661	0	0	0	0	0	0	0	0	0	0	3
45	37	0	0.540084539	0	0	0	0	0	0	0	0	0	0	3
46	37	0	0.552086418	0	0	0	0	0	0	0	0	0	0	3
47	38	0	0.564088296	0	0	0	0	0	0	0	0	0	0	3
48	39	0	0.576090175	0	0	0	0	0	0	0	0	0	0	3
49	40	0	0.588092054	0	0	0	0	0	0	0	0	0	0	3
50	41	0	0.600093932	0	0	0	0	0	0	0	0	0	0	3
51	41	0	0.612095811	0	0	0	0	0	0	0	0	0	0	3
52	42	0	0.62409769	0	0	0	0	0	0	0	0	0	0	3
53	43	0	0.636099568	0	0	0	0	0	0	0	0	0	0	3
54	44	0	0.648101447	0	0	0	0	0	0	0	0	0	0	3
55	45	0	0.660103326	0	0	0	0	0	0	0	0	0	0	3
56	45	0	0.672105204	0	0	0	0	0	0	0	0	0	0	3
57	46	0	0.684107083	0	0	0	0	0	0	0	0	0	0	3
58	47	0	0.696108962	0	0	0	0	0	0	0	0	0	0	3
59	48	0	0.70811084	0	0	0	0	0	0	0	0	0	0	3
60	49	0	0.720112719	0	0	0	0	0	0	0	0	0	0	3
61	49	0	0.732114598	0	0	0	0	0	0	0	0	0	0	3
62	50	0	0.744116476	0	0	0	0	0	0	0	0	0	0	3
63	51	0	0.756118355	0	0	0	0	0	0	0	0	0	0	3
64	52	0	0.768120234	0	0	0	0	0	0	0	0	0	0	3
65	52	0	0.780122112	0	0	0	0	0	0	0	0	0	0	3
66	53	0	0.792123991	0	0	0	0	0	0	0	0	0	0	3
67	54	0	0.804125869	0	0	0	0	0	0	0	0	0	0	3
68	55	0	0.816127748	0	0	0	0	0	0	0	0	0	0	3
69	56	0	0.828129627	0	0	0	0	0	0	0	0	0	0	3
70	56	0	0.840131505	0	0	0	0	0	0	0	0	0	0	3
71	57	0	0.852133384	0	0	0	0	0	0	0	0	0	0	3
72	58	0	0.864135263	0	0	0	0	0	0	0	0	0	0	3
73	59	0	0.876137141	0	0	0	0	0	0	0	0	0	0	3
74	59	0	0.88813902	0	0	0	0	0	0	0	0	0	0	3
75	60	0	0.900140899	0	0	0	0	0	0	0	0	0	0	3
76	61	0	0.912142777	0	0	0	0	0	0	0	0	0	0	3
77	62	0	0.924144656	0	0	0	0	0	0	0	0	0	0	3
78	62	0	0.936146535	0	0	0	0	0	0	0	0	0	0	3
79	63	0	0.948148413	0	0	0	0	0	0	0	0	0	0	3
80	64	0	0.960150292	0	0	0	0	0	0	0	0	0	0	3
81	65	0	0.972152171	0	0	0	0	0	0	0	0	0	0	3
82	66	0	0.984154049	0	0	0	0	0	0	0	0	0	0	3
83	66	0	0.996155928	0	0	0	0	0	0	0	0	0	0	3
84	67	0	1.00815781	0	0	0	0	0	0.001	0	0	0	0	3
85	68	0	1.02015969	0	0	0	0	0	0.001	0	0	0	0	3
86	68	0	1.03216156	0	0	0	0	0	0.001	0	0	0	0	3
87	69	0	1.04416344	0	0	0	0	0	0.001	0	0	0	0	3
88	70	0	1.05616532	0	0	0	0	0	0.001	0	0	0	0	3
89	71	0	1.0681672	0	0	0	0	0	0.001	0	0	0	0	3
90	72	0	1.08016908	0	0	0	0	0	0.001	0	0	0	0	3
91	72	0	1.09217096	0	0	0	0	0	0.001	0	0	0	0	3
92	73	0	1.10417284	0	0	0	0	0	0.001	0	0	0	0	3
93	74	0	1.11617471	0	0	0	0	0	0.001	0	0	0	0	3
94	74	0	1.12817659	0	0	0	0	0	0.001	0	0	0	0	3
95	75	0	1.14017847	0	0	0	0	0	0.001	0	0	0	0	3
96	76	0	1.15218035	0	0	0	0	0	0.001	0	0	0	0	3
97	77	0	1.16418223	0	0	0	0	0	0.001	0	0	0	0	3
98	78	0	1.17618411	0	0	0	0	0	0.001	0	0	0	0	3
99	78	0	1.18818599	0	0	0	0	0	0.001	0	0	0	0	3
100	79	0	1.20018786	0	0	0	0	0	0.001	0	0	0	0	3
101	81	0	1.21218974	0	0	0	0	0	0.001	0	0	0	0	3
102	82	0	1.22419162	0	0	0	0	0	0.001	0	0	0	0	3
103	83	0	1.2361935	0	0	0	0	0	0.001	0	0	0	0	3
104	83	0	1.24819538	0	0	0	0	0	0.001	0	0	0	0	3
105	84	0	1.26019726	0	0	0	0	0	0.001	0	0	0	0	3
106	85	0	1.27219914	0	0	0	0	0	0.001	0	0	0	0	3
107	86	0	1.28420102	0	0	0	0	0	0.001	0	0	0	0	3
108	87	0	1.29620289	0	0	0	0	0	0.001	0	0	0	0	3
109	88	0	1.30820477	0	0	0	0	0	0.001	0	0	0	0	3
110	88	0	1.32020665	0	0	0	0	0	0.001	0	0	0	0	3
111	89	0	1.33220853	0	0	0	0	0	0.001	0	0	0	0	3
112	90	0	1.34421041	0	0	0	0	0	0.001	0	0	0	0	3
113	91	0	1.35621229	0	0	0	0	0	0.001	0	0	0	0	3
114	92	0	1.36821417	0	0	0	0	0	0.001	0	0	0	0	3
115	93	0	1.38021604	0	0	0	0	0	0.001	0	0	0	0	3
116	93	0	1.39221792	0	0	0	0	0	0.001	0	0	0	0	3
117	94	0	1.4042198	0	0	0	0	0	0.001	0	0	0	0	3
