Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	1512.41561	1512.41561	1512.41561	1512.41561	0	0	0	0	0	0	3
2	4	0	0.0240100683	-27.756877	742.329367	-27.756877	1512.41561	770.086244	0	0	0	0	0	3
3	5	0	0.0360151025	-9.43857902	491.740052	-27.756877	1512.41561	1020.67556	0	0	0	0	0	3
4	6	0	0.0480201366	-36.7502713	359.617471	-36.7502713	1512.41561	1152.79814	0	0	0	0	0	3
5	7	0	0.0600251708	-17.6143264	284.171111	-36.7502713	1512.41561	1228.2445	0	0	0	0	0	3
6	8	0	0.0720302049	-55.9259556	227.488267	-55.9259556	1512.41561	1284.92734	0	0	0	0	0	3
7	8	0	0.0840352391	-52.2570574	187.524649	-55.9259556	1512.41561	1324.89096	0	0	0	0	0	3
8	9	0	0.0960402732	-72.7735209	154.987378	-72.7735209	1512.41561	1357.42823	0	0	0	0	0	3
9	10	0	0.108045307	-71.4182346	129.831199	-72.7735209	1512.41561	1382.58441	0	0	0	0	0	3
10	11	0	0.120050342	-84.6531343	108.382765	-84.6531343	1512.41561	1404.03285	0	0	0	0	0	3
11	12	0	0.132055376	-82.1844782	91.0584706	-84.6531343	1512.41561	1421.35714	0	0	0	0	0	3
12	13	0	0.14406041	-85.2657591	76.3647848	-85.2657591	1512.41561	1436.05083	0	0	0	0	0	3
13	13	0	0.156065444	-81.0062654	64.2593194	-85.2657591	1512.41561	1448.15629	0	0	0	0	0	3
14	14	0	0.168070478	-87.7589238	53.4008734	-87.7589238	1512.41561	1459.01474	0	0	0	0	0	3
15	15	0	0.180075512	-72.2652422	45.0231324	-87.7589238	1512.41561	1467.39248	0	0	0	0	0	3
16	16	0	0.192080546	-83.7301495	36.9760523	-87.7589238	1512.41561	1475.43956	0	0	0	0	0	3
17	17	0	0.204085581	-71.6894655	30.583963	-87.7589238	1512.41561	1481.83165	0	0	0	0	0	3
18	18	0	0.216090615	-80.6966817	24.401705	-87.7589238	1512.41561	1488.01391	0	0	0	0	0	3
19	18	0	0.228095649	-68.8855202	19.491851	-87.7589238	1512.41561	1492.92376	0	0	0	0	0	3
20	19	0	0.240100683	-75.5125495	14.741631	-87.7589238	1512.41561	1497.67398	0	0	0	0	0	3
21	20	0	0.252105717	-69.5535619	10.7275742	-87.7589238	1512.41561	1501.68804	0	0	0	0	0	3
22	21	0	0.264110751	-69.2431684	7.09254043	-87.7589238	1512.41561	1505.32307	0	0	0	0	0	3
23	22	0	0.276115786	-68.59133	3.80193737	-87.7589238	1512.41561	1508.61367	0	0	0	0	0	3
24	23	0	0.28812082	-68.4389063	0.791902215	-87.7589238	1512.41561	1511.62371	0	0	0	0	0	3
25	24	0	0.300125854	-68.4392197	-1.97734266	-87.7589238	1512.41561	1514.39295	0	0	0	0	0	3
26	25	0	0.312130888	-68.9924349	-4.55484621	-87.7589238	1512.41561	1516.97046	0	0	0	0	0	3
27	25	0	0.324135922	-69.2758086	-6.95191889	-87.7589238	1512.41561	1519.36753	0	0	0	0	0	3
28	26	0	0.336140956	-68.550029	-9.15185139	-87.7589238	1512.41561	1521.56746	0	0	0	0	0	3
29	27	0	0.34814599	-68.9000806	-11.2121352	-87.7589238	1512.41561	1523.62775	0	0	0	0	0	3
30	28	0	0.360151025	-68.8683546	-13.1340091	-87.7589238	1512.41561	1525.54962	0	0	0	0	0	3
31	29	0	0.372156059	-70.7290495	-14.9919137	-87.7589238	1512.41561	1527.40752	0	0	0	0	0	3
32	30	0	0.384161093	-70.5618177	-16.7284732	-87.7589238	1512.41561	1529.14408	0	0	0	0	0	3
33	31	0	0.396166127	-71.405911	-18.3853652	-87.7589238	1512.41561	1530.80098	0	0	0	0	0	3
34	31	0	0.408171161	-70.4216698	-19.9158448	-87.7589238	1512.41561	1532.33146	0	0	0	0	0	3
35	32	0	0.420176195	-70.20412	-21.3526526	-87.7589238	1512.41561	1533.76826	0	0	0	0	0	3
36	33	0	0.43218123	-69.1956689	-22.6816253	-87.7589238	1512.41561	1535.09724	0	0	0	0	0	3
37	34	0	0.444186264	-69.0763133	-23.9355358	-87.7589238	1512.41561	1536.35115	0	0	0	0	0	3
38	35	0	0.456191298	-68.3947655	-25.1055155	-87.7589238	1512.41561	1537.52113	0	0	0	0	0	3
39	36	0	0.468196332	-68.8422466	-26.2269702	-87.7589238	1512.41561	1538.64258	0	0	0	0	0	3
40	37	0	0.480201366	-68.1423821	-27.2748555	-87.7589238	1512.41561	1539.69047	0	0	0	0	0	3
41	38	0	0.4922064	-68.0621071	-28.2696665	-87.7589238	1512.41561	1540.68528	0	0	0	0	0	3
42	39	0	0.504211434	-67.7482882	-29.2096337	-87.7589238	1512.41561	1541.62524	0	0	0	0	0	3
