Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	-2706.60709	-2706.60709	-2706.60709	-2706.60709	0	0	0	0	0	0	3
2	4	0	0.0240100683	-306.948522	-1506.77781	-2706.60709	-306.948522	1199.82929	0	0	0	0	0	3
3	5	0	0.0360151025	-101.51181	-1038.35581	-2706.60709	-101.51181	1668.25128	0	0	0	0	0	3
4	6	0	0.0480201366	-57.0701127	-793.034385	-2706.60709	-57.0701127	1913.57271	0	0	0	0	0	3
5	7	0	0.0600251708	-74.1086217	-649.249232	-2706.60709	-57.0701127	2057.35786	0	0	0	0	0	3
6	8	0	0.0720302049	-66.2292368	-552.079233	-2706.60709	-57.0701127	2154.52786	0	0	0	0	0	3
7	8	0	0.0840352391	-69.5677192	-483.149017	-2706.60709	-57.0701127	2223.45808	0	0	0	0	0	3
8	9	0	0.0960402732	-62.4663172	-430.563679	-2706.60709	-57.0701127	2276.04341	0	0	0	0	0	3
9	10	0	0.108045307	-64.7050203	-389.912717	-2706.60709	-57.0701127	2316.69438	0	0	0	0	0	3
10	11	0	0.120050342	-58.6863917	-356.790085	-2706.60709	-57.0701127	2349.81701	0	0	0	0	0	3
11	12	0	0.132055376	-60.4001926	-329.845549	-2706.60709	-57.0701127	2376.76154	0	0	0	0	0	3
12	13	0	0.14406041	-56.2926765	-307.049476	-2706.60709	-56.2926765	2399.55762	0	0	0	0	0	3
13	13	0	0.156065444	-58.6823865	-287.944315	-2706.60709	-56.2926765	2418.66278	0	0	0	0	0	3
14	14	0	0.168070478	-54.8982663	-271.298169	-2706.60709	-54.8982663	2435.30892	0	0	0	0	0	3
15	15	0	0.180075512	-57.3225015	-257.033125	-2706.60709	-54.8982663	2449.57397	0	0	0	0	0	3
16	16	0	0.192080546	-54.0389144	-244.345986	-2706.60709	-54.0389144	2462.26111	0	0	0	0	0	3
17	17	0	0.204085581	-55.5265827	-233.238963	-2706.60709	-54.0389144	2473.36813	0	0	0	0	0	3
18	18	0	0.216090615	-53.0776475	-223.230001	-2706.60709	-53.0776475	2483.37709	0	0	0	0	0	3
19	18	0	0.228095649	-54.1627732	-214.331726	-2706.60709	-53.0776475	2492.27537	0	0	0	0	0	3
20	19	0	0.240100683	-52.5355394	-206.241916	-2706.60709	-52.5355394	2500.36518	0	0	0	0	0	3
21	20	0	0.252105717	-52.9314209	-198.941417	-2706.60709	-52.5355394	2507.66568	0	0	0	0	0	3
22	21	0	0.264110751	-52.1102616	-192.267273	-2706.60709	-52.1102616	2514.33982	0	0	0	0	0	3
23	22	0	0.276115786	-51.9551336	-186.166745	-2706.60709	-51.9551336	2520.44035	0	0	0	0	0	3
24	23	0	0.28812082	-51.4855312	-180.555028	-2706.60709	-51.4855312	2526.05207	0	0	0	0	0	3
25	24	0	0.300125854	-51.250395	-175.382843	-2706.60709	-51.250395	2531.22425	0	0	0	0	0	3
26	25	0	0.312130888	-50.7456092	-170.589103	-2706.60709	-50.7456092	2536.01799	0	0	0	0	0	3
27	25	0	0.324135922	-50.412418	-166.138115	-2706.60709	-50.412418	2540.46898	0	0	0	0	0	3
28	26	0	0.336140956	-50.1746916	-161.996564	-2706.60709	-50.1746916	2544.61053	0	0	0	0	0	3
29	27	0	0.34814599	-49.6291394	-158.121825	-2706.60709	-49.6291394	2548.48527	0	0	0	0	0	3
30	28	0	0.360151025	-49.3997271	-154.497755	-2706.60709	-49.3997271	2552.10934	0	0	0	0	0	3
31	29	0	0.372156059	-48.9159686	-151.091891	-2706.60709	-48.9159686	2555.5152	0	0	0	0	0	3
32	30	0	0.384161093	-48.3618783	-147.881578	-2706.60709	-48.3618783	2558.72552	0	0	0	0	0	3
33	31	0	0.396166127	-47.8446232	-144.850155	-2706.60709	-47.8446232	2561.75694	0	0	0	0	0	3
34	31	0	0.408171161	-47.4082459	-141.984217	-2706.60709	-47.4082459	2564.62288	0	0	0	0	0	3
35	32	0	0.420176195	-47.0546019	-139.271942	-2706.60709	-47.0546019	2567.33515	0	0	0	0	0	3
36	33	0	0.43218123	-46.3165407	-136.689848	-2706.60709	-46.3165407	2569.91725	0	0	0	0	0	3
37	34	0	0.444186264	-46.104216	-134.241587	-2706.60709	-46.104216	2572.36551	0	0	0	0	0	3
38	35	0	0.456191298	-45.8873444	-131.916476	-2706.60709	-45.8873444	2574.69062	0	0	0	0	0	3
39	36	0	0.468196332	-45.6597443	-129.704765	-2706.60709	-45.6597443	2576.90233	0	0	0	0	0	3
40	37	0	0.480201366	-45.5255619	-127.600284	-2706.60709	-45.5255619	2579.00681	0	0	0	0	0	3
41	38	0	0.4922064	-45.410527	-125.595656	-2706.60709	-45.410527	2581.01144	0	0	0	0	0	3
42	39	0	0.504211434	-45.3594628	-123.685271	-2706.60709	-45.3594628	2582.92182	0	0	0	0	0	3
43	40	0	0.516216469	-45.2421492	-60.3194387	-306.948522	-45.2421492	261.706373	0	0	0	0	0	3
44	41	0	0.528221503	-45.1890449	-54.0870702	-101.51181	-45.1890449	56.3227655	0	0	0	0	0	3
45	41	0	0.540226537	-45.0867024	-52.7436152	-74.1086217	-45.0867024	29.0219193	0	0	0	0	0	3
46	42	0	0.552231571	-44.9534982	-52.4551244	-74.1086217	-44.9534982	29.1551236	0	0	0	0	0	3
47	43	0	0.564236605	-44.8874055	-51.7593812	-69.5677192	-44.8874055	24.6803137	0	0	0	0	0	3
48	44	0	0.576241639	-44.8285648	-51.2498413	-69.5677192	-44.8285648	24.7391544	0	0	0	0	0	3
49	45	0	0.588246674	-44.7328897	-50.6585359	-64.7050203	-44.7328897	19.9721306	0	0	0	0	0	3
50	46	0	0.600251708	-44.6723185	-50.2348692	-64.7050203	-44.6723185	20.0327018	0	0	0	0	0	3
51	47	0	0.612256742	-44.6080341	-49.7563696	-60.4001926	-44.6080341	15.7921585	0	0	0	0	0	3
52	48	0	0.624261776	-44.564491	-49.4201338	-60.4001926	-44.564491	15.8357016	0	0	0	0	0	3
53	49	0	0.63626681	-44.4544607	-49.0404736	-58.6823865	-44.4544607	14.2279258	0	0	0	0	0	3
54	49	0	0.648271844	-44.4167253	-48.7577128	-58.6823865	-44.4167253	14.2656612	0	0	0	0	0	3
55	50	0	0.660276878	-44.3671192	-48.4168731	-57.3225015	-44.3671192	12.9553823	0	0	0	0	0	3
56	51	0	0.672281913	-44.3689168	-48.1661743	-57.3225015	-44.3671192	12.9553823	0	0	0	0	0	3
57	52	0	0.684286947	-44.3504034	-47.8573148	-55.5265827	-44.3504034	11.1761792	0	0	0	0	0	3
58	53	0	0.696291981	-44.342097	-47.6264382	-55.5265827	-44.342097	11.1844856	0	0	0	0	0	3
59	54	0	0.708297015	-44.3022394	-47.359192	-54.1627732	-44.3022394	9.8605338	0	0	0	0	0	3
