Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	101326.543	101326.543	101326.543	101326.543	0	0	0	0	0	0	3
2	4	0	0.0240100683	101324.993	101325.768	101324.993	101326.543	0.775094506	0	0	0	0	0	3
3	5	0	0.0360151025	101325.107	101325.548	101324.993	101326.543	0.995348521	0	0	0	0	0	3
4	6	0	0.0480201366	101325.047	101325.422	101324.993	101326.543	1.12039687	0	0	0	0	0	3
5	7	0	0.0600251708	101325.06	101325.35	101324.993	101326.543	1.19285499	0	0	0	0	0	3
6	8	0	0.0720302049	101325.043	101325.299	101324.993	101326.543	1.24409456	0	0	0	0	0	3
7	8	0	0.0840352391	101325.071	101325.266	101324.993	101326.543	1.27663209	0	0	0	0	0	3
8	9	0	0.0960402732	101325.049	101325.239	101324.993	101326.543	1.30379986	0	0	0	0	0	3
9	10	0	0.108045307	101325.07	101325.22	101324.993	101326.543	1.32255615	0	0	0	0	0	3
10	11	0	0.120050342	101325.042	101325.202	101324.993	101326.543	1.34041097	0	0	0	0	0	3
11	12	0	0.132055376	101325.067	101325.19	101324.993	101326.543	1.35269463	0	0	0	0	0	3
12	13	0	0.14406041	101325.038	101325.178	101324.993	101326.543	1.3653366	0	0	0	0	0	3
13	13	0	0.156065444	101325.065	101325.169	101324.993	101326.543	1.37402852	0	0	0	0	0	3
14	14	0	0.168070478	101325.035	101325.159	101324.993	101326.543	1.38357166	0	0	0	0	0	3
15	15	0	0.180075512	101325.058	101325.153	101324.993	101326.543	1.39034768	0	0	0	0	0	3
16	16	0	0.192080546	101325.034	101325.145	101324.993	101326.543	1.3977618	0	0	0	0	0	3
17	17	0	0.204085581	101325.047	101325.139	101324.993	101326.543	1.40351125	0	0	0	0	0	3
18	18	0	0.216090615	101325.032	101325.133	101324.993	101326.543	1.40948059	0	0	0	0	0	3
19	18	0	0.228095649	101325.041	101325.129	101324.993	101326.543	1.41436368	0	0	0	0	0	3
20	19	0	0.240100683	101325.031	101325.124	101324.993	101326.543	1.419234	0	0	0	0	0	3
21	20	0	0.252105717	101325.042	101325.12	101324.993	101326.543	1.42313277	0	0	0	0	0	3
22	21	0	0.264110751	101325.038	101325.116	101324.993	101326.543	1.42684874	0	0	0	0	0	3
23	22	0	0.276115786	101325.039	101325.113	101324.993	101326.543	1.43020872	0	0	0	0	0	3
24	23	0	0.28812082	101325.038	101325.11	101324.993	101326.543	1.4333106	0	0	0	0	0	3
25	24	0	0.300125854	101325.038	101325.107	101324.993	101326.543	1.43618773	0	0	0	0	0	3
26	25	0	0.312130888	101325.034	101325.104	101324.993	101326.543	1.43897654	0	0	0	0	0	3
27	25	0	0.324135922	101325.027	101325.101	101324.993	101326.543	1.44180964	0	0	0	0	0	3
28	26	0	0.336140956	101325.017	101325.098	101324.993	101326.543	1.44480549	0	0	0	0	0	3
29	27	0	0.34814599	101325.009	101325.095	101324.993	101326.543	1.44788066	0	0	0	0	0	3
30	28	0	0.360151025	101325.002	101325.092	101324.993	101326.543	1.45098441	0	0	0	0	0	3
31	29	0	0.372156059	101324.996	101325.089	101324.993	101326.543	1.45406602	0	0	0	0	0	3
32	30	0	0.384161093	101324.992	101325.086	101324.992	101326.543	1.45708965	0	0	0	0	0	3
33	31	0	0.396166127	101324.991	101325.083	101324.991	101326.543	1.45997676	0	0	0	0	0	3
34	31	0	0.408171161	101324.991	101325.08	101324.991	101326.543	1.46269137	0	0	0	0	0	3
35	32	0	0.420176195	101324.992	101325.078	101324.991	101326.543	1.46519848	0	0	0	0	0	3
36	33	0	0.43218123	101324.995	101325.075	101324.991	101326.543	1.46748135	0	0	0	0	0	3
37	34	0	0.444186264	101324.999	101325.073	101324.991	101326.543	1.4695501	0	0	0	0	0	3
38	35	0	0.456191298	101325.002	101325.071	101324.991	101326.543	1.47142511	0	0	0	0	0	3
39	36	0	0.468196332	101325.005	101325.07	101324.991	101326.543	1.47312169	0	0	0	0	0	3
40	37	0	0.480201366	101325.007	101325.068	101324.991	101326.543	1.47468686	0	0	0	0	0	3
41	38	0	0.4922064	101325.007	101325.067	101324.991	101326.543	1.47616713	0	0	0	0	0	3
42	39	0	0.504211434	101325.007	101325.065	101324.991	101326.543	1.47758151	0	0	0	0	0	3
43	40	0	0.516216469	101325.007	101325.029	101324.991	101325.107	0.116507662	0	0	0	0	0	3
44	41	0	0.528221503	101325.007	101325.029	101324.991	101325.107	0.116507662	0	0	0	0	0	3
45	41	0	0.540226537	101325.006	101325.027	101324.991	101325.071	0.0805069874	0	0	0	0	0	3
46	42	0	0.552231571	101325.006	101325.026	101324.991	101325.071	0.0805069874	0	0	0	0	0	3
47	43	0	0.564236605	101325.007	101325.024	101324.991	101325.071	0.0805069874	0	0	0	0	0	3
48	44	0	0.576241639	101325.007	101325.024	101324.991	101325.071	0.0805069874	0	0	0	0	0	3
49	45	0	0.588246674	101325.007	101325.022	101324.991	101325.07	0.0797577403	0	0	0	0	0	3
50	46	0	0.600251708	101325.007	101325.021	101324.991	101325.07	0.0797577403	0	0	0	0	0	3
51	47	0	0.612256742	101325.007	101325.02	101324.991	101325.067	0.0768330045	0	0	0	0	0	3
52	48	0	0.624261776	101325.006	101325.019	101324.991	101325.067	0.0768330045	0	0	0	0	0	3
53	49	0	0.63626681	101325.006	101325.017	101324.991	101325.065	0.0740326174	0	0	0	0	0	3
54	49	0	0.648271844	101325.006	101325.016	101324.991	101325.065	0.0740326174	0	0	0	0	0	3
55	50	0	0.660276878	101325.005	101325.015	101324.991	101325.058	0.0671522366	0	0	0	0	0	3
