Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0120050342
2	4	0	0.0240100683
3	5	0	0.0360151025
4	6	0	0.0480201366
5	7	0	0.0600251708
6	8	0	0.0720302049
7	8	0	0.0840352391
8	9	0	0.0960402732
9	10	0	0.108045307
10	11	0	0.120050342
11	12	0	0.132055376
12	13	0	0.14406041
13	13	0	0.156065444
14	14	0	0.168070478
15	15	0	0.180075512
16	16	0	0.192080546
17	17	0	0.204085581
18	18	0	0.216090615
19	18	0	0.228095649
20	19	0	0.240100683
21	20	0	0.252105717
22	21	0	0.264110751
23	22	0	0.276115786
24	23	0	0.28812082
25	24	0	0.300125854
26	25	0	0.312130888
27	25	0	0.324135922
28	26	0	0.336140956
29	27	0	0.34814599
30	28	0	0.360151025
31	29	0	0.372156059
32	30	0	0.384161093
33	31	0	0.396166127
34	31	0	0.408171161
35	32	0	0.420176195
36	33	0	0.43218123
37	34	0	0.444186264
38	35	0	0.456191298
39	36	0	0.468196332
40	37	0	0.480201366
41	38	0	0.4922064
42	39	0	0.504211434
43	40	0	0.516216469
44	41	0	0.528221503
45	41	0	0.540226537
46	42	0	0.552231571
47	43	0	0.564236605
48	44	0	0.576241639
49	45	0	0.588246674
50	46	0	0.600251708
51	47	0	0.612256742
52	48	0	0.624261776
53	49	0	0.63626681
54	49	0	0.648271844
55	50	0	0.660276878
56	51	0	0.672281913
57	52	0	0.684286947
58	53	0	0.696291981
59	54	0	0.708297015
60	55	0	0.720302049
61	56	0	0.732307083
62	57	0	0.744312118
63	58	0	0.756317152
64	59	0	0.768322186
65	59	0	0.78032722
66	60	0	0.792332254
67	61	0	0.804337288
68	62	0	0.816342322
69	63	0	0.828347357
70	64	0	0.840352391
71	65	0	0.852357425
72	65	0	0.864362459
73	66	0	0.876367493
74	67	0	0.888372527
75	68	0	0.900377562
76	69	0	0.912382596
77	70	0	0.92438763
78	70	0	0.936392664
79	71	0	0.948397698
80	72	0	0.960402732
81	73	0	0.972407766
82	74	0	0.984412801
83	74	0	0.996417835
84	75	0	1.00842287
85	76	0	1.0204279
86	77	0	1.03243294
87	78	0	1.04443797
88	78	0	1.05644301
89	79	0	1.06844804
90	80	0	1.08045307
91	81	0	1.09245811
92	82	0	1.10446314
