Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120036498	1468.88572	1468.88572	1468.88572	1468.88572	0	0	0	0	0	0	3
2	4	0	0.0240072995	202.20294	835.544329	202.20294	1468.88572	633.341389	0	0	0	0	0	3
3	5	0	0.0360109493	103.732994	591.607217	103.732994	1468.88572	877.278501	0	0	0	0	0	3
4	6	0	0.048014599	37.6854717	453.126781	37.6854717	1468.88572	1015.75894	0	0	0	0	0	3
5	6	0	0.0600182488	29.2102638	368.343477	29.2102638	1468.88572	1100.54224	0	0	0	0	0	3
6	7	0	0.0720218985	26.4956098	311.368833	26.4956098	1468.88572	1157.51689	0	0	0	0	0	3
7	8	0	0.0840255483	33.8383949	271.721627	26.4956098	1468.88572	1197.16409	0	0	0	0	0	3
8	9	0	0.096029198	39.2460002	242.662174	26.4956098	1468.88572	1226.22354	0	0	0	0	0	3
9	9	0	0.108032848	41.6345814	220.325775	26.4956098	1468.88572	1248.55994	0	0	0	0	0	3
10	10	0	0.120036498	46.2250502	202.915702	26.4956098	1468.88572	1265.97002	0	0	0	0	0	3
11	11	0	0.132040147	40.2386705	188.126881	26.4956098	1468.88572	1280.75884	0	0	0	0	0	3
12	11	0	0.144043797	39.9411322	175.778069	26.4956098	1468.88572	1293.10765	0	0	0	0	0	3
13	12	0	0.156047447	39.0946594	165.26396	26.4956098	1468.88572	1303.62176	0	0	0	0	0	3
14	13	0	0.168051097	37.3669872	156.128462	26.4956098	1468.88572	1312.75726	0	0	0	0	0	3
15	14	0	0.180054746	35.3715978	148.078005	26.4956098	1468.88572	1320.80771	0	0	0	0	0	3
16	14	0	0.192058396	35.8436034	141.063355	26.4956098	1468.88572	1327.82236	0	0	0	0	0	3
17	15	0	0.204062046	35.0354648	134.82642	26.4956098	1468.88572	1334.0593	0	0	0	0	0	3
18	16	0	0.216065696	35.2930444	129.296788	26.4956098	1468.88572	1339.58893	0	0	0	0	0	3
19	16	0	0.228069345	35.2941825	124.349282	26.4956098	1468.88572	1344.53644	0	0	0	0	0	3
20	17	0	0.240072995	35.4851922	119.906078	26.4956098	1468.88572	1348.97964	0	0	0	0	0	3
21	18	0	0.252076645	34.7532766	115.851183	26.4956098	1468.88572	1353.03454	0	0	0	0	0	3
22	19	0	0.264080295	33.0343961	112.086783	26.4956098	1468.88572	1356.79893	0	0	0	0	0	3
23	19	0	0.276083944	33.043653	108.650125	26.4956098	1468.88572	1360.23559	0	0	0	0	0	3
24	20	0	0.288087594	33.9506602	105.537648	26.4956098	1468.88572	1363.34807	0	0	0	0	0	3
25	21	0	0.300091244	32.2509996	102.606182	26.4956098	1468.88572	1366.27954	0	0	0	0	0	3
26	22	0	0.312094894	33.1792588	99.9359155	26.4956098	1468.88572	1368.9498	0	0	0	0	0	3
