Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120018786	-1198.47156	-1198.47156	-1198.47156	-1198.47156	0	0	0	0	0	0	3
2	4	0	0.0240037573	-234.753946	-716.612751	-1198.47156	-234.753946	481.858805	0	0	0	0	0	3
3	4	0	0.0360056359	-183.752461	-538.992655	-1198.47156	-183.752461	659.478902	0	0	0	0	0	3
4	5	0	0.0480075146	-40.5332412	-414.377801	-1198.47156	-40.5332412	784.093755	0	0	0	0	0	3
5	6	0	0.0600093932	-116.628092	-354.827859	-1198.47156	-40.5332412	843.643697	0	0	0	0	0	3
6	7	0	0.0720112719	-103.722499	-312.976966	-1198.47156	-40.5332412	885.494591	0	0	0	0	0	3
7	7	0	0.0840131505	-125.941044	-286.257548	-1198.47156	-40.5332412	912.214008	0	0	0	0	0	3
8	8	0	0.0960150292	-123.882452	-265.960661	-1198.47156	-40.5332412	932.510895	0	0	0	0	0	3
9	9	0	0.108016908	-138.540031	-251.802814	-1198.47156	-40.5332412	946.668743	0	0	0	0	0	3
10	10	0	0.120018786	-134.277908	-240.050323	-1198.47156	-40.5332412	958.421234	0	0	0	0	0	3
11	10	0	0.132020665	-141.755085	-231.114392	-1198.47156	-40.5332412	967.357164	0	0	0	0	0	3
12	11	0	0.144022544	-135.31156	-223.130823	-1198.47156	-40.5332412	975.340734	0	0	0	0	0	3
13	12	0	0.156024422	-144.236293	-217.062013	-1198.47156	-40.5332412	981.409544	0	0	0	0	0	3
14	13	0	0.168026301	-139.214922	-211.501506	-1198.47156	-40.5332412	986.97005	0	0	0	0	0	3
15	13	0	0.18002818	-143.209777	-206.948724	-1198.47156	-40.5332412	991.522832	0	0	0	0	0	3
16	14	0	0.192030058	-146.023373	-203.14089	-1198.47156	-40.5332412	995.330667	0	0	0	0	0	3
