Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120018786	-2818.57346	-2818.57346	-2818.57346	-2818.57346	0	0	0	0	0	0	3
2	4	0	0.0240037573	-301.934526	-1560.25399	-2818.57346	-301.934526	1258.31947	0	0	0	0	0	3
3	4	0	0.0360056359	-120.603051	-1080.37035	-2818.57346	-120.603051	1738.20311	0	0	0	0	0	3
4	5	0	0.0480075146	-49.074526	-822.54639	-2818.57346	-49.074526	1996.02707	0	0	0	0	0	3
5	6	0	0.0600093932	-87.1247746	-675.462067	-2818.57346	-49.074526	2143.11139	0	0	0	0	0	3
6	7	0	0.0720112719	-64.6348139	-573.657525	-2818.57346	-49.074526	2244.91593	0	0	0	0	0	3
7	7	0	0.0840131505	-77.5161064	-502.78018	-2818.57346	-49.074526	2315.79328	0	0	0	0	0	3
8	8	0	0.0960150292	-66.831093	-448.286544	-2818.57346	-49.074526	2370.28692	0	0	0	0	0	3
9	9	0	0.108016908	-72.5661037	-406.539828	-2818.57346	-49.074526	2412.03363	0	0	0	0	0	3
10	10	0	0.120018786	-65.3447368	-372.420319	-2818.57346	-49.074526	2446.15314	0	0	0	0	0	3
11	10	0	0.132020665	-67.3247798	-344.684361	-2818.57346	-49.074526	2473.8891	0	0	0	0	0	3
12	11	0	0.144022544	-63.1623637	-321.224194	-2818.57346	-49.074526	2497.34927	0	0	0	0	0	3
13	12	0	0.156024422	-65.2202474	-301.531583	-2818.57346	-49.074526	2517.04188	0	0	0	0	0	3
14	13	0	0.168026301	-62.3621514	-284.448052	-2818.57346	-49.074526	2534.12541	0	0	0	0	0	3
15	13	0	0.18002818	-63.2605353	-269.702218	-2818.57346	-49.074526	2548.87124	0	0	0	0	0	3
16	14	0	0.192030058	-61.8051158	-256.708649	-2818.57346	-49.074526	2561.86481	0	0	0	0	0	3
17	15	0	0.204031937	-61.6248201	-245.23313	-2818.57346	-49.074526	2573.34033	0	0	0	0	0	3
18	16	0	0.216033816	-60.6550868	-234.978794	-2818.57346	-49.074526	2583.59467	0	0	0	0	0	3
19	16	0	0.228035694	-60.5294958	-225.797252	-2818.57346	-49.074526	2592.77621	0	0	0	0	0	3
20	17	0	0.240037573	-59.7071532	-217.492747	-2818.57346	-49.074526	2601.08071	0	0	0	0	0	3
21	18	0	0.252039452	-59.1899563	-209.954519	-2818.57346	-49.074526	2608.61894	0	0	0	0	0	3
22	19	0	0.26404133	-58.4031025	-203.065818	-2818.57346	-49.074526	2615.50764	0	0	0	0	0	3
23	19	0	0.276043209	-58.0497226	-196.76077	-2818.57346	-49.074526	2621.81269	0	0	0	0	0	3
24	20	0	0.288045088	-57.4731106	-190.957118	-2818.57346	-49.074526	2627.61634	0	0	0	0	0	3
25	21	0	0.300046966	-57.0959875	-185.602673	-2818.57346	-49.074526	2632.97079	0	0	0	0	0	3
26	22	0	0.312048845	-56.1646198	-180.624286	-2818.57346	-49.074526	2637.94917	0	0	0	0	0	3
27	22	0	0.324050724	-55.9430417	-176.006462	-2818.57346	-49.074526	2642.567	0	0	0	0	0	3
28	23	0	0.336052602	-54.7354533	-171.675355	-2818.57346	-49.074526	2646.8981	0	0	0	0	0	3
29	24	0	0.348054481	-54.0677632	-167.619921	-2818.57346	-49.074526	2650.95354	0	0	0	0	0	3
30	25	0	0.360056359	-53.6541639	-163.821062	-2818.57346	-49.074526	2654.7524	0	0	0	0	0	3
31	25	0	0.372058238	-53.5127167	-160.262728	-2818.57346	-49.074526	2658.31073	0	0	0	0	0	3
32	26	0	0.384060117	-52.9723659	-156.909904	-2818.57346	-49.074526	2661.66356	0	0	0	0	0	3
33	27	0	0.396061995	-52.5808908	-153.748419	-2818.57346	-49.074526	2664.82504	0	0	0	0	0	3
34	28	0	0.408063874	-52.2041676	-150.761824	-2818.57346	-49.074526	2667.81164	0	0	0	0	0	3
35	28	0	0.420065753	-51.8867314	-147.936821	-2818.57346	-49.074526	2670.63664	0	0	0	0	0	3
36	29	0	0.432067631	-52.0216168	-145.27251	-2818.57346	-49.074526	2673.30095	0	0	0	0	0	3
37	30	0	0.44406951	-51.7538176	-142.744978	-2818.57346	-49.074526	2675.82848	0	0	0	0	0	3
38	31	0	0.456071389	-51.6828794	-140.348607	-2818.57346	-49.074526	2678.22485	0	0	0	0	0	3
39	32	0	0.468073267	-51.1002379	-138.060187	-2818.57346	-49.074526	2680.51327	0	0	0	0	0	3
40	32	0	0.480075146	-51.2811695	-135.890711	-2818.57346	-49.074526	2682.68275	0	0	0	0	0	3
41	33	0	0.492077025	-51.161904	-133.824155	-2818.57346	-49.074526	2684.7493	0	0	0	0	0	3
42	34	0	0.504078903	-51.3269823	-131.859937	-2818.57346	-49.074526	2686.71352	0	0	0	0	0	3
43	35	0	0.516080782	-51.2631739	-65.9715966	-301.934526	-49.074526	252.859999	0	0	0	0	0	3
44	36	0	0.528082661	-51.2057438	-60.0018637	-120.603051	-49.074526	71.5285247	0	0	0	0	0	3
45	37	0	0.540084539	-51.2735958	-58.3511623	-87.1247746	-49.074526	38.0502486	0	0	0	0	0	3
46	37	0	0.552086418	-51.1230498	-58.3999367	-87.1247746	-51.1002379	36.0245367	0	0	0	0	0	3
47	38	0	0.564088296	-51.139832	-57.5431524	-77.5161064	-51.1002379	26.4158685	0	0	0	0	0	3
48	39	0	0.576090175	-51.1423438	-57.2219031	-77.5161064	-51.1002379	26.4158685	0	0	0	0	0	3
