Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120018786	-728.396364	-728.396364	-728.396364	-728.396364	0	0	0	0	0	0	3
2	4	0	0.0240037573	-141.267173	-434.831769	-728.396364	-141.267173	293.564595	0	0	0	0	0	3
3	4	0	0.0360056359	-110.582452	-326.748663	-728.396364	-110.582452	401.647701	0	0	0	0	0	3
4	5	0	0.0480075146	-23.4941934	-250.935046	-728.396364	-23.4941934	477.461318	0	0	0	0	0	3
5	6	0	0.0600093932	-73.7284921	-215.493735	-728.396364	-23.4941934	512.902629	0	0	0	0	0	3
6	7	0	0.0720112719	-65.9606554	-190.571555	-728.396364	-23.4941934	537.824809	0	0	0	0	0	3
7	7	0	0.0840131505	-78.4322808	-174.551659	-728.396364	-23.4941934	553.844705	0	0	0	0	0	3
8	8	0	0.0960150292	-80.2407783	-162.762799	-728.396364	-23.4941934	565.633565	0	0	0	0	0	3
9	9	0	0.108016908	-90.4802122	-154.7314	-728.396364	-23.4941934	573.664964	0	0	0	0	0	3
10	10	0	0.120018786	-85.8108235	-147.839343	-728.396364	-23.4941934	580.557021	0	0	0	0	0	3
11	10	0	0.132020665	-92.6271008	-142.820048	-728.396364	-23.4941934	585.576316	0	0	0	0	0	3
12	11	0	0.144022544	-85.7313468	-138.062656	-728.396364	-23.4941934	590.333708	0	0	0	0	0	3
13	12	0	0.156024422	-89.6547685	-134.338972	-728.396364	-23.4941934	594.057392	0	0	0	0	0	3
14	13	0	0.168026301	-87.031188	-130.959845	-728.396364	-23.4941934	597.436519	0	0	0	0	0	3
15	13	0	0.18002818	-91.829805	-128.351176	-728.396364	-23.4941934	600.045188	0	0	0	0	0	3
16	14	0	0.192030058	-93.3005057	-126.160509	-728.396364	-23.4941934	602.235855	0	0	0	0	0	3
17	15	0	0.204031937	-90.3414999	-124.053508	-728.396364	-23.4941934	604.342856	0	0	0	0	0	3
18	16	0	0.216033816	-93.131398	-122.335613	-728.396364	-23.4941934	606.060751	0	0	0	0	0	3
19	16	0	0.228035694	-92.8627231	-120.784408	-728.396364	-23.4941934	607.611955	0	0	0	0	0	3
20	17	0	0.240037573	-93.2923173	-119.409804	-728.396364	-23.4941934	608.98656	0	0	0	0	0	3
21	18	0	0.252039452	-93.2786636	-118.165464	-728.396364	-23.4941934	610.2309	0	0	0	0	0	3
22	19	0	0.26404133	-92.2979369	-116.989667	-728.396364	-23.4941934	611.406697	0	0	0	0	0	3
23	19	0	0.276043209	-93.9908967	-115.989721	-728.396364	-23.4941934	612.406643	0	0	0	0	0	3
24	20	0	0.288045088	-94.0227512	-115.07443	-728.396364	-23.4941934	613.321934	0	0	0	0	0	3
25	21	0	0.300046966	-92.530102	-114.172657	-728.396364	-23.4941934	614.223707	0	0	0	0	0	3
26	22	0	0.312048845	-91.2190549	-113.289826	-728.396364	-23.4941934	615.106538	0	0	0	0	0	3
27	22	0	0.324050724	-90.970407	-112.463181	-728.396364	-23.4941934	615.933183	0	0	0	0	0	3
28	23	0	0.336052602	-90.0523882	-111.662796	-728.396364	-23.4941934	616.733568	0	0	0	0	0	3
29	24	0	0.348054481	-91.268948	-110.95956	-728.396364	-23.4941934	617.436804	0	0	0	0	0	3
30	25	0	0.360056359	-89.9159853	-110.258107	-728.396364	-23.4941934	618.138257	0	0	0	0	0	3
31	25	0	0.372058238	-91.4557355	-109.651579	-728.396364	-23.4941934	618.744785	0	0	0	0	0	3
32	26	0	0.384060117	-90.8315329	-109.063453	-728.396364	-23.4941934	619.332911	0	0	0	0	0	3
33	27	0	0.396061995	-91.451398	-108.529754	-728.396364	-23.4941934	619.86661	0	0	0	0	0	3
34	28	0	0.408063874	-91.1421989	-108.018355	-728.396364	-23.4941934	620.378009	0	0	0	0	0	3
35	28	0	0.420065753	-91.0982438	-107.534923	-728.396364	-23.4941934	620.86144	0	0	0	0	0	3
36	29	0	0.432067631	-89.966869	-107.046922	-728.396364	-23.4941934	621.349442	0	0	0	0	0	3
37	30	0	0.44406951	-90.0156923	-106.586618	-728.396364	-23.4941934	621.809745	0	0	0	0	0	3
38	31	0	0.456071389	-89.6784569	-106.141667	-728.396364	-23.4941934	622.254697	0	0	0	0	0	3
39	32	0	0.468073267	-89.7851075	-105.722268	-728.396364	-23.4941934	622.674096	0	0	0	0	0	3
40	32	0	0.480075146	-89.9897252	-105.328954	-728.396364	-23.4941934	623.06741	0	0	0	0	0	3
41	33	0	0.492077025	-90.2131045	-104.960275	-728.396364	-23.4941934	623.436089	0	0	0	0	0	3
42	34	0	0.504078903	-89.7747429	-104.598715	-728.396364	-23.4941934	623.797649	0	0	0	0	0	3
43	35	0	0.516080782	-89.531002	-89.3876347	-141.267173	-23.4941934	117.77298	0	0	0	0	0	3
44	36	0	0.528082661	-89.096641	-88.1454792	-110.582452	-23.4941934	87.088259	0	0	0	0	0	3
45	37	0	0.540084539	-88.8931119	-87.6290663	-94.0227512	-23.4941934	70.5285577	0	0	0	0	0	3
46	37	0	0.552086418	-88.7344018	-89.1824046	-94.0227512	-65.9606554	28.0620958	0	0	0	0	0	3
47	38	0	0.564088296	-88.6619876	-89.537964	-94.0227512	-65.9606554	28.0620958	0	0	0	0	0	3
48	39	0	0.576090175	-88.8603997	-90.083196	-94.0227512	-78.4322808	15.5904703	0	0	0	0	0	3
49	40	0	0.588092054	-88.5554119	-90.324223	-94.0227512	-80.2407783	13.7819729	0	0	0	0	0	3
50	41	0	0.600093932	-89.179072	-90.5370395	-94.0227512	-85.7313468	8.29140438	0	0	0	0	0	3
51	41	0	0.612095811	-88.3814466	-90.4870689	-94.0227512	-85.7313468	8.29140438	0	0	0	0	0	3
52	42	0	0.62409769	-89.4059274	-90.5726666	-94.0227512	-85.7313468	8.29140438	0	0	0	0	0	3
53	43	0	0.636099568	-88.8718403	-90.4832556	-94.0227512	-85.7313468	8.29140438	0	0	0	0	0	3
54	44	0	0.648101447	-89.4433821	-90.5716374	-94.0227512	-87.031188	6.99156313	0	0	0	0	0	3
55	45	0	0.660103326	-88.9044315	-90.5537722	-94.0227512	-87.031188	6.99156313	0	0	0	0	0	3
56	45	0	0.672105204	-89.9702126	-90.623749	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
57	46	0	0.684107083	-89.3957565	-90.5657955	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
58	47	0	0.696108962	-90.3854873	-90.4963903	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
59	48	0	0.70811084	-89.3760033	-90.4734023	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
60	49	0	0.720112719	-90.4094085	-90.408593	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
61	49	0	0.732114598	-89.2567844	-90.3227373	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
62	50	0	0.744116476	-90.2027778	-90.2491768	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
63	51	0	0.756118355	-89.2206037	-90.1525564	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
64	52	0	0.768120234	-89.8014872	-90.0931171	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
65	52	0	0.780122112	-89.3350094	-89.9822626	-94.0227512	-88.3814466	5.6413046	0	0	0	0	0	3
66	53	0	0.792123991	-89.5782786	-89.8764419	-92.530102	-88.3814466	4.14865543	0	0	0	0	0	3
67	54	0	0.804125869	-89.6534185	-89.8079494	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
68	55	0	0.816127748	-89.82157	-89.7746759	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
69	56	0	0.828129627	-89.6496052	-89.7432283	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
70	56	0	0.840131505	-89.7366298	-89.7357102	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
71	57	0	0.852133384	-89.8722796	-89.7024562	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
72	58	0	0.864135263	-90.0918905	-89.7066444	-91.4557355	-88.3814466	3.07428897	0	0	0	0	0	3
73	59	0	0.876137141	-90.1415129	-89.6753534	-91.451398	-88.3814466	3.06995145	0	0	0	0	0	3
74	59	0	0.88813902	-89.725629	-89.6490224	-91.451398	-88.3814466	3.06995145	0	0	0	0	0	3
75	60	0	0.900140899	-89.6939166	-89.6071776	-91.1421989	-88.3814466	2.7607523	0	0	0	0	0	3
76	61	0	0.912142777	-89.7002538	-89.5728455	-91.0982438	-88.3814466	2.71679721	0	0	0	0	0	3
77	62	0	0.924144656	-89.3763248	-89.5318475	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
78	62	0	0.936146535	-88.7768194	-89.503513	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
79	63	0	0.948148413	-89.2860769	-89.4861412	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
80	64	0	0.960150292	-89.1439107	-89.4734139	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
81	65	0	0.972152171	-89.3356236	-89.4627119	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
82	66	0	0.984154049	-88.7699519	-89.4336697	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
83	66	0	0.996155928	-89.3653219	-89.4134844	-90.4094085	-88.3814466	2.02796193	0	0	0	0	0	3
84	67	0	1.00815781	-89.1996767	-89.3997923	-90.4094085	-88.3814466	2.02796193	2.61264777	0	100	0	0	3
85	68	0	1.02015969	-89.2354636	-89.3927557	-90.4094085	-88.3814466	2.02796193	2.61264777	0	100	0	0	3
86	68	0	1.03216156	-88.8236932	-89.3862569	-90.4094085	-88.3814466	2.02796193	2.61264777	0	100	0	0	3
87	69	0	1.04416344	-89.1622911	-89.3926659	-90.4094085	-88.3814466	1.44134441	2.61264777	0	100	0	0	3
88	70	0	1.05616532	-89.0520885	-89.4002299	-90.4094085	-88.3814466	1.2374921	2.61264777	0	100	0	0	3
89	71	0	1.0681672	-89.460807	-89.4192494	-90.4094085	-88.3814466	1.2374921	2.61264777	0	100	0	0	3
