Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0120018786
2	4	0	0.0240037573
3	4	0	0.0360056359
4	5	0	0.0480075146
5	6	0	0.0600093932
6	7	0	0.0720112719
7	7	0	0.0840131505
8	8	0	0.0960150292
9	9	0	0.108016908
10	10	0	0.120018786
11	10	0	0.132020665
12	11	0	0.144022544
13	12	0	0.156024422
14	13	0	0.168026301
15	13	0	0.18002818
16	14	0	0.192030058
17	15	0	0.204031937
18	16	0	0.216033816
19	16	0	0.228035694
20	17	0	0.240037573
21	18	0	0.252039452
22	19	0	0.26404133
23	19	0	0.276043209
24	20	0	0.288045088
25	21	0	0.300046966
26	22	0	0.312048845
27	22	0	0.324050724
28	23	0	0.336052602
29	24	0	0.348054481
30	25	0	0.360056359
31	25	0	0.372058238
32	26	0	0.384060117
33	27	0	0.396061995
34	28	0	0.408063874
35	28	0	0.420065753
36	29	0	0.432067631
37	30	0	0.44406951
38	31	0	0.456071389
39	32	0	0.468073267
40	32	0	0.480075146
41	33	0	0.492077025
42	34	0	0.504078903
43	35	0	0.516080782
44	36	0	0.528082661
45	37	0	0.540084539
46	37	0	0.552086418
47	38	0	0.564088296
48	39	0	0.576090175
49	40	0	0.588092054
50	41	0	0.600093932
51	41	0	0.612095811
52	42	0	0.62409769
53	43	0	0.636099568
54	44	0	0.648101447
55	45	0	0.660103326
56	45	0	0.672105204
57	46	0	0.684107083
58	47	0	0.696108962
59	48	0	0.70811084
60	49	0	0.720112719
61	49	0	0.732114598
62	50	0	0.744116476
63	51	0	0.756118355
64	52	0	0.768120234
65	52	0	0.780122112
66	53	0	0.792123991
67	54	0	0.804125869
68	55	0	0.816127748
69	56	0	0.828129627
70	56	0	0.840131505
71	57	0	0.852133384
72	58	0	0.864135263
73	59	0	0.876137141
74	59	0	0.88813902
75	60	0	0.900140899
76	61	0	0.912142777
77	62	0	0.924144656
78	62	0	0.936146535
79	63	0	0.948148413
80	64	0	0.960150292
81	65	0	0.972152171
82	66	0	0.984154049
83	66	0	0.996155928
84	67	0	1.00815781
85	68	0	1.02015969
86	68	0	1.03216156
87	69	0	1.04416344
88	70	0	1.05616532
89	71	0	1.0681672
90	72	0	1.08016908
91	72	0	1.09217096
92	73	0	1.10417284
93	74	0	1.11617471
94	74	0	1.12817659
95	75	0	1.14017847
96	76	0	1.15218035
97	77	0	1.16418223
98	78	0	1.17618411
99	78	0	1.18818599
100	79	0	1.20018786
101	81	0	1.21218974
102	82	0	1.22419162
103	83	0	1.2361935
104	83	0	1.24819538
105	84	0	1.26019726
106	85	0	1.27219914
107	86	0	1.28420102
108	87	0	1.29620289
109	88	0	1.30820477
110	88	0	1.32020665
111	89	0	1.33220853
112	90	0	1.34421041
113	91	0	1.35621229
114	92	0	1.36821417
115	93	0	1.38021604
116	93	0	1.39221792
117	94	0	1.4042198
