Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	11.3453011	11.3453011	11.3453011	11.3453011	0	0	0	0	0	0	3
2	4	0	0.0240100683	3.82685264	7.58607686	3.82685264	11.3453011	3.75922422	0	0	0	0	0	3
3	5	0	0.0360151025	6.22804137	7.13339836	3.82685264	11.3453011	4.21190272	0	0	0	0	0	3
4	6	0	0.0480201366	-1.10836838	5.07295668	-1.10836838	11.3453011	6.2723444	0	0	0	0	0	3
5	7	0	0.0600251708	5.02727076	5.06381949	-1.10836838	11.3453011	6.28148158	0	0	0	0	0	3
6	8	0	0.0720302049	1.20150492	4.4201004	-1.10836838	11.3453011	6.92520068	0	0	0	0	0	3
7	8	0	0.0840352391	5.74884383	4.60992089	-1.10836838	11.3453011	6.92520068	0	0	0	0	0	3
8	9	0	0.0960402732	3.85887739	4.51604045	-1.10836838	11.3453011	6.92520068	0	0	0	0	0	3
9	10	0	0.108045307	11.6906302	5.31321709	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
10	11	0	0.120050342	6.64372193	5.44626757	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
11	12	0	0.132055376	9.04298127	5.77324154	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
12	13	0	0.14406041	2.94699599	5.53772108	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
13	13	0	0.156065444	6.60701976	5.61997483	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
14	14	0	0.168070478	6.4720506	5.68083738	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
15	15	0	0.180075512	9.40698632	5.92924731	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
16	16	0	0.192080546	5.69582132	5.91465819	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
17	17	0	0.204085581	7.5995232	6.01376789	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
18	18	0	0.216090615	5.91997781	6.00855733	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
19	18	0	0.228095649	9.36512975	6.18521904	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
20	19	0	0.240100683	6.64431789	6.20817398	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
21	20	0	0.252105717	7.62366909	6.27557851	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
22	21	0	0.264110751	8.2963547	6.36743197	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
23	22	0	0.276115786	8.20476957	6.44731622	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
24	23	0	0.28812082	8.1021761	6.51626871	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
25	24	0	0.300125854	8.31164561	6.58808379	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
26	25	0	0.312130888	7.49106002	6.62281364	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
27	25	0	0.324135922	7.37192254	6.65055842	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
28	26	0	0.336140956	6.65610398	6.65075647	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
29	27	0	0.34814599	6.98046124	6.6621256	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
30	28	0	0.360151025	7.45608252	6.68859083	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
31	29	0	0.372156059	7.43672284	6.71272412	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
32	30	0	0.384161093	6.82835745	6.71633767	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
33	31	0	0.396166127	7.44439515	6.73840001	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
34	31	0	0.408171161	7.34791161	6.75632683	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
35	32	0	0.420176195	7.6205053	6.78101764	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
36	33	0	0.43218123	7.61427759	6.80416375	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
37	34	0	0.444186264	7.47445068	6.82227961	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
38	35	0	0.456191298	7.37357812	6.83678747	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
39	36	0	0.468196332	7.41790982	6.85168804	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
40	37	0	0.480201366	7.15963808	6.85938679	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
41	38	0	0.4922064	7.11599388	6.8656455	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
42	39	0	0.504211434	7.11957776	6.87169151	-1.10836838	11.6906302	6.92520068	0	0	0	0	0	3
43	40	0	0.516216469	7.37339339	6.77712228	-1.10836838	11.6906302	3.16597646	0	0	0	0	0	3
44	41	0	0.528221503	7.09426848	6.85491789	-1.10836838	11.6906302	2.71329796	0	0	0	0	0	3
45	41	0	0.540226537	7.26455322	6.87959675	-1.10836838	11.6906302	2.45949635	0	0	0	0	0	3
46	42	0	0.552231571	7.12385981	7.07560218	1.20150492	11.6906302	2.65550178	0	0	0	0	0	3
47	43	0	0.564236605	7.16335351	7.12646129	1.20150492	11.6906302	2.70636089	0	0	0	0	0	3
48	44	0	0.576241639	7.12748782	7.26755612	2.94699599	11.6906302	2.75151567	0	0	0	0	0	3
49	45	0	0.588246674	7.40343823	7.30695123	2.94699599	11.6906302	2.79091078	0	0	0	0	0	3
50	46	0	0.600251708	7.19790483	7.38645188	2.94699599	11.6906302	2.07323479	0	0	0	0	0	3
51	47	0	0.612256742	7.46870371	7.28592982	2.94699599	9.40698632	1.94018431	0	0	0	0	0	3
52	48	0	0.624261776	7.36140704	7.30301756	2.94699599	9.40698632	1.8487308	0	0	0	0	0	3
53	49	0	0.63626681	7.47113345	7.26559261	2.94699599	9.40698632	1.8487308	0	0	0	0	0	3
54	49	0	0.648271844	7.46208201	7.37309466	5.69582132	9.40698632	1.76647705	0	0	0	0	0	3
55	50	0	0.660276878	7.7384777	7.40003414	5.69582132	9.40698632	1.71919676	0	0	0	0	0	3
56	51	0	0.672281913	7.53710094	7.42539248	5.69582132	9.40698632	1.51073429	0	0	0	0	0	3
57	52	0	0.684286947	7.89780711	7.38945964	5.69582132	9.36512975	1.51073429	0	0	0	0	0	3
58	53	0	0.696291981	7.69114113	7.43696725	5.91997781	9.36512975	1.42840992	0	0	0	0	0	3
59	54	0	0.708297015	7.8238206	7.44230767	5.91997781	9.36512975	1.43375034	0	0	0	0	0	3
60	55	0	0.720302049	7.60334662	7.48238788	6.64431789	9.36512975	1.29716884	0	0	0	0	0	3
61	56	0	0.732307083	7.8789727	7.44700319	6.64431789	8.31164561	1.2742139	0	0	0	0	0	3
62	57	0	0.744312118	7.50904198	7.46759186	6.65610398	8.31164561	1.20680937	0	0	0	0	0	3
63	58	0	0.756317152	7.75554538	7.47073177	6.65610398	8.31164561	1.1149559	0	0	0	0	0	3
64	59	0	0.768322186	7.73203501	7.45729558	6.65610398	8.31164561	1.03507166	0	0	0	0	0	3
65	59	0	0.78032722	7.72171737	7.44579434	6.65610398	8.31164561	0.966119166	0	0	0	0	0	3
66	60	0	0.792332254	7.69865866	7.43618678	6.65610398	8.31164561	0.89430409	0	0	0	0	0	3
67	61	0	0.804337288	7.77709767	7.42345945	6.65610398	7.89780711	0.859574235	0	0	0	0	0	3
68	62	0	0.816342322	7.50913712	7.42388986	6.65610398	7.89780711	0.831829461	0	0	0	0	0	3
69	63	0	0.828347357	7.57705227	7.4287739	6.65610398	7.89780711	0.831631405	0	0	0	0	0	3
70	64	0	0.840352391	7.32989091	7.44481645	6.82835745	7.89780711	0.820262276	0	0	0	0	0	3
71	65	0	0.852357425	7.53236476	7.45795701	6.82835745	7.89780711	0.793797045	0	0	0	0	0	3
72	65	0	0.864362459	7.35680297	7.45559321	6.82835745	7.89780711	0.769663754	0	0	0	0	0	3
73	66	0	0.876367493	7.75479476	7.46316635	6.82835745	7.89780711	0.766050213	0	0	0	0	0	3
74	67	0	0.888372527	7.31125717	7.47466396	7.09426848	7.89780711	0.743987865	0	0	0	0	0	3
75	68	0	0.900377562	7.68104313	7.48029844	7.09426848	7.89780711	0.726061053	0	0	0	0	0	3
76	69	0	0.912382596	7.29394196	7.47901344	7.09426848	7.89780711	0.705265602	0	0	0	0	0	3
77	70	0	0.92438763	7.31509177	7.47174169	7.09426848	7.89780711	0.705265602	0	0	0	0	0	3
78	70	0	0.936392664	6.97687261	7.45656538	6.97687261	7.89780711	0.705265602	0	0	0	0	0	3
79	71	0	0.948397698	7.38185031	7.45436061	6.97687261	7.89780711	0.705265602	0	0	0	0	0	3
80	72	0	0.960402732	6.95956151	7.44450308	6.95956151	7.89780711	0.705265602	0	0	0	0	0	3
81	73	0	0.972407766	7.34648521	7.44280249	6.95956151	7.89780711	0.705265602	0	0	0	0	0	3
82	74	0	0.984412801	7.25137548	7.44498671	6.95956151	7.89780711	0.705265602	0	0	0	0	0	3
83	74	0	0.996417835	7.28127917	7.44892208	6.95956151	7.89780711	0.705265602	0	0	0	0	0	3
84	75	0	1.00842287	7.0688265	7.44771371	6.95956151	7.89780711	0.705265602	0.383969957	0	54.4	0	0	3
85	76	0	1.0204279	7.49220804	7.45054263	6.95956151	7.89780711	0.627469987	0.383969957	0	61.1	0	0	3
