Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	-2305.83654	-2305.83654	-2305.83654	-2305.83654	0	0	0	0	0	0	3
2	4	0	0.0240100683	-600.858396	-1453.34747	-2305.83654	-600.858396	852.489074	0	0	0	0	0	3
3	5	0	0.0360151025	-243.462365	-1050.05244	-2305.83654	-243.462365	1255.78411	0	0	0	0	0	3
4	6	0	0.0480201366	-230.560878	-845.179546	-2305.83654	-230.560878	1460.657	0	0	0	0	0	3
5	7	0	0.0600251708	-245.807362	-725.305109	-2305.83654	-230.560878	1580.53144	0	0	0	0	0	3
6	8	0	0.0720302049	-237.779024	-644.050762	-2305.83654	-230.560878	1661.78578	0	0	0	0	0	3
7	8	0	0.0840352391	-228.211946	-584.645217	-2305.83654	-228.211946	1721.19133	0	0	0	0	0	3
8	9	0	0.0960402732	-218.417177	-538.866712	-2305.83654	-218.417177	1766.96983	0	0	0	0	0	3
9	10	0	0.108045307	-208.672338	-502.178448	-2305.83654	-208.672338	1803.6581	0	0	0	0	0	3
10	11	0	0.120050342	-205.312578	-472.491861	-2305.83654	-205.312578	1833.34468	0	0	0	0	0	3
11	12	0	0.132055376	-197.160841	-447.461768	-2305.83654	-197.160841	1858.37478	0	0	0	0	0	3
12	13	0	0.14406041	-204.621447	-427.225075	-2305.83654	-197.160841	1878.61147	0	0	0	0	0	3
13	13	0	0.156065444	-200.234094	-409.76423	-2305.83654	-197.160841	1896.07231	0	0	0	0	0	3
14	14	0	0.168070478	-195.868449	-394.48596	-2305.83654	-195.868449	1911.35058	0	0	0	0	0	3
15	15	0	0.180075512	-204.868336	-381.844785	-2305.83654	-195.868449	1923.99176	0	0	0	0	0	3
16	16	0	0.192080546	-196.266726	-370.246156	-2305.83654	-195.868449	1935.59039	0	0	0	0	0	3
17	17	0	0.204085581	-202.91433	-360.403108	-2305.83654	-195.868449	1945.43344	0	0	0	0	0	3
18	18	0	0.216090615	-197.512938	-351.353654	-2305.83654	-195.868449	1954.48289	0	0	0	0	0	3
19	18	0	0.228095649	-202.26059	-343.50665	-2305.83654	-195.868449	1962.32989	0	0	0	0	0	3
20	19	0	0.240100683	-199.040427	-336.283339	-2305.83654	-195.868449	1969.55321	0	0	0	0	0	3
21	20	0	0.252105717	-202.604546	-329.917682	-2305.83654	-195.868449	1975.91886	0	0	0	0	0	3
22	21	0	0.264110751	-202.809937	-324.140058	-2305.83654	-195.868449	1981.69649	0	0	0	0	0	3
23	22	0	0.276115786	-203.210068	-318.882232	-2305.83654	-195.868449	1986.95431	0	0	0	0	0	3
24	23	0	0.28812082	-202.786982	-314.04493	-2305.83654	-195.868449	1991.79161	0	0	0	0	0	3
25	24	0	0.300125854	-201.375069	-309.538136	-2305.83654	-195.868449	1996.29841	0	0	0	0	0	3
26	25	0	0.312130888	-200.157621	-305.331193	-2305.83654	-195.868449	2000.50535	0	0	0	0	0	3
27	25	0	0.324135922	-200.278678	-301.440359	-2305.83654	-195.868449	2004.39619	0	0	0	0	0	3
28	26	0	0.336140956	-200.348776	-297.829945	-2305.83654	-195.868449	2008.0066	0	0	0	0	0	3
29	27	0	0.34814599	-200.110105	-294.460295	-2305.83654	-195.868449	2011.37625	0	0	0	0	0	3
30	28	0	0.360151025	-201.853054	-291.373387	-2305.83654	-195.868449	2014.46316	0	0	0	0	0	3
31	29	0	0.372156059	-200.517756	-288.442561	-2305.83654	-195.868449	2017.39398	0	0	0	0	0	3
32	30	0	0.384161093	-200.766943	-285.702698	-2305.83654	-195.868449	2020.13385	0	0	0	0	0	3
33	31	0	0.396166127	-198.861235	-283.071138	-2305.83654	-195.868449	2022.76541	0	0	0	0	0	3
34	31	0	0.408171161	-198.731818	-280.59057	-2305.83654	-195.868449	2025.24597	0	0	0	0	0	3
35	32	0	0.420176195	-197.630858	-278.220292	-2305.83654	-195.868449	2027.61625	0	0	0	0	0	3
36	33	0	0.43218123	-198.38567	-276.002664	-2305.83654	-195.868449	2029.83388	0	0	0	0	0	3
37	34	0	0.444186264	-197.524043	-273.88162	-2305.83654	-195.868449	2031.95492	0	0	0	0	0	3
38	35	0	0.456191298	-197.54524	-271.872768	-2305.83654	-195.868449	2033.96378	0	0	0	0	0	3
39	36	0	0.468196332	-196.59135	-269.942475	-2305.83654	-195.868449	2035.89407	0	0	0	0	0	3
40	37	0	0.480201366	-196.610699	-268.109181	-2305.83654	-195.868449	2037.72736	0	0	0	0	0	3
41	38	0	0.4922064	-196.384854	-266.359807	-2305.83654	-195.868449	2039.47674	0	0	0	0	0	3
42	39	0	0.504211434	-196.492112	-264.69629	-2305.83654	-195.868449	2041.14025	0	0	0	0	0	3
43	40	0	0.516216469	-196.055273	-214.463403	-600.858396	-195.868449	404.989947	0	0	0	0	0	3
44	41	0	0.528221503	-196.22011	-204.829158	-245.807362	-195.868449	49.9389133	0	0	0	0	0	3
45	41	0	0.540226537	-196.012695	-203.699404	-245.807362	-195.868449	49.9389133	0	0	0	0	0	3
46	42	0	0.552231571	-196.281002	-202.883217	-245.807362	-195.868449	49.9389133	0	0	0	0	0	3
47	43	0	0.564236605	-196.47909	-201.708734	-237.779024	-195.868449	41.910575	0	0	0	0	0	3
48	44	0	0.576241639	-196.471314	-200.725217	-228.211946	-195.868449	32.3434973	0	0	0	0	0	3
49	45	0	0.588246674	-196.665314	-199.974107	-218.417177	-195.868449	22.5487287	0	0	0	0	0	3
50	46	0	0.600251708	-197.006654	-199.464332	-208.672338	-195.868449	12.8038889	0	0	0	0	0	3
51	47	0	0.612256742	-197.269518	-199.192837	-205.312578	-195.868449	9.44412966	0	0	0	0	0	3
52	48	0	0.624261776	-197.792266	-199.013782	-204.868336	-195.868449	8.99988772	0	0	0	0	0	3
53	49	0	0.63626681	-197.691192	-199.026409	-204.868336	-195.868449	8.99988772	0	0	0	0	0	3
54	49	0	0.648271844	-197.998985	-198.868731	-204.868336	-195.868449	8.99988772	0	0	0	0	0	3
55	50	0	0.660276878	-197.779837	-198.810297	-204.868336	-195.868449	8.99988772	0	0	0	0	0	3
56	51	0	0.672281913	-197.999588	-198.861038	-204.868336	-196.012695	8.8556411	0	0	0	0	0	3
57	52	0	0.684286947	-197.765356	-198.691919	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
58	53	0	0.696291981	-197.696418	-198.72596	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
59	54	0	0.708297015	-197.620776	-198.599923	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
60	55	0	0.720302049	-197.879772	-198.608657	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
61	56	0	0.732307083	-197.857065	-198.503811	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
62	57	0	0.744312118	-198.417582	-198.488981	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
63	58	0	0.756317152	-198.417611	-198.389293	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
64	59	0	0.768322186	-199.043921	-198.299626	-203.210068	-196.012695	7.19737258	0	0	0	0	0	3
65	59	0	0.78032722	-198.924058	-198.197578	-202.786982	-196.012695	6.77428688	0	0	0	0	0	3
66	60	0	0.792332254	-199.498728	-198.119286	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
67	61	0	0.804337288	-199.073554	-198.064488	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
68	62	0	0.816342322	-199.387403	-198.046149	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
69	63	0	0.828347357	-198.979369	-198.015213	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
70	64	0	0.840352391	-199.108041	-197.985672	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
71	65	0	0.852357425	-198.719655	-197.952566	-201.853054	-196.012695	5.84035859	0	0	0	0	0	3
72	65	0	0.864362459	-198.611699	-197.875391	-200.766943	-196.012695	4.75424779	0	0	0	0	0	3
73	66	0	0.876367493	-198.196936	-197.820134	-200.766943	-196.012695	4.75424779	0	0	0	0	0	3
74	67	0	0.888372527	-198.578052	-197.768017	-199.498728	-196.012695	3.48603281	0	0	0	0	0	3
75	68	0	0.900377562	-198.471368	-197.758735	-199.498728	-196.012695	3.48603281	0	0	0	0	0	3
76	69	0	0.912382596	-198.685789	-197.757639	-199.498728	-196.012695	3.48603281	0	0	0	0	0	3
77	70	0	0.92438763	-198.700882	-197.783115	-199.498728	-196.012695	3.48603281	0	0	0	0	0	3
