Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0120050342	293.199985	293.199985	293.199985	293.199985	0	0	0	0	0	0	3
2	4	0	0.0240100683	293.199966	293.199975	293.199966	293.199985	9.53993117e-06	0	0	0	0	0	3
3	5	0	0.0360151025	293.199963	293.199971	293.199963	293.199985	1.35536976e-05	0	0	0	0	0	3
4	6	0	0.0480201366	293.199957	293.199968	293.199957	293.199985	1.69979976e-05	0	0	0	0	0	3
5	7	0	0.0600251708	293.199952	293.199965	293.199952	293.199985	2.01039977e-05	0	0	0	0	0	3
6	8	0	0.0720302049	293.199943	293.199961	293.199943	293.199985	2.37645863e-05	0	0	0	0	0	3
7	8	0	0.0840352391	293.199932	293.199957	293.199932	293.199985	2.79281729e-05	0	0	0	0	0	3
8	9	0	0.0960402732	293.199921	293.199952	293.199921	293.199985	3.24413313e-05	0	0	0	0	0	3
9	10	0	0.108045307	293.199911	293.199948	293.199911	293.199985	3.70868266e-05	0	0	0	0	0	3
10	11	0	0.120050342	293.199901	293.199943	293.199901	293.199985	4.17962056e-05	0	0	0	0	0	3
11	12	0	0.132055376	293.199889	293.199938	293.199889	293.199985	4.67213616e-05	0	0	0	0	0	3
12	13	0	0.14406041	293.199878	293.199933	293.199878	293.199985	5.17469817e-05	0	0	0	0	0	3
13	13	0	0.156065444	293.199868	293.199928	293.199868	293.199985	5.67729352e-05	0	0	0	0	0	3
14	14	0	0.168070478	293.199858	293.199923	293.199858	293.199985	6.17642636e-05	0	0	0	0	0	3
15	15	0	0.180075512	293.19985	293.199918	293.19985	293.199985	6.66418719e-05	0	0	0	0	0	3
16	16	0	0.192080546	293.199838	293.199913	293.199838	293.199985	7.16332677e-05	0	0	0	0	0	3
17	17	0	0.204085581	293.199828	293.199908	293.199828	293.199985	7.6648541e-05	0	0	0	0	0	3
18	18	0	0.216090615	293.199819	293.199903	293.199819	293.199985	8.16254239e-05	0	0	0	0	0	3
19	18	0	0.228095649	293.19981	293.199898	293.19981	293.199985	8.65395193e-05	0	0	0	0	0	3
20	19	0	0.240100683	293.199801	293.199893	293.199801	293.199985	9.1404235e-05	0	0	0	0	0	3
21	20	0	0.252105717	293.199788	293.199888	293.199788	293.199985	9.64311092e-05	0	0	0	0	0	3
22	21	0	0.264110751	293.199774	293.199883	293.199774	293.199985	0.000101633559	0	0	0	0	0	3
23	22	0	0.276115786	293.199759	293.199878	293.199759	293.199985	0.000107031118	0	0	0	0	0	3
24	23	0	0.28812082	293.199743	293.199872	293.199743	293.199985	0.000112632663	0	0	0	0	0	3
25	24	0	0.300125854	293.199726	293.199866	293.199726	293.199985	0.000118468848	0	0	0	0	0	3
26	25	0	0.312130888	293.199698	293.19986	293.199698	293.199985	0.000124949706	0	0	0	0	0	3
27	25	0	0.324135922	293.199666	293.199853	293.199666	293.199985	0.000132124531	0	0	0	0	0	3
28	26	0	0.336140956	293.199632	293.199845	293.199632	293.199985	0.000140011262	0	0	0	0	0	3
29	27	0	0.34814599	293.199595	293.199836	293.199595	293.199985	0.000148615498	0	0	0	0	0	3
30	28	0	0.360151025	293.199557	293.199827	293.199557	293.199985	0.000157921114	0	0	0	0	0	3
31	29	0	0.372156059	293.199499	293.199816	293.199499	293.199985	0.000168487901	0	0	0	0	0	3
32	30	0	0.384161093	293.199445	293.199805	293.199445	293.199985	0.000180093194	0	0	0	0	0	3
33	31	0	0.396166127	293.199397	293.199792	293.199397	293.199985	0.000192441069	0	0	0	0	0	3
34	31	0	0.408171161	293.199358	293.19978	293.199358	293.199985	0.000205204631	0	0	0	0	0	3
35	32	0	0.420176195	293.199329	293.199767	293.199329	293.199985	0.000218086473	0	0	0	0	0	3
36	33	0	0.43218123	293.199302	293.199754	293.199302	293.199985	0.000230998782	0	0	0	0	0	3
37	34	0	0.444186264	293.199289	293.199741	293.199289	293.199985	0.000243563689	0	0	0	0	0	3
38	35	0	0.456191298	293.199285	293.199729	293.199285	293.199985	0.00025555724	0	0	0	0	0	3
39	36	0	0.468196332	293.199287	293.199718	293.199285	293.199985	0.000266887791	0	0	0	0	0	3
40	37	0	0.480201366	293.199291	293.199707	293.199285	293.199985	0.000277565874	0	0	0	0	0	3
41	38	0	0.4922064	293.199294	293.199697	293.199285	293.199985	0.000287642111	0	0	0	0	0	3
42	39	0	0.504211434	293.199295	293.199688	293.199285	293.199985	0.000297224975	0	0	0	0	0	3
43	40	0	0.516216469	293.199294	293.199671	293.199285	293.199966	0.000304140567	0	0	0	0	0	3
44	41	0	0.528221503	293.199292	293.199655	293.199285	293.199963	0.00031616107	0	0	0	0	0	3
45	41	0	0.540226537	293.19929	293.199639	293.199285	293.199957	0.000328736153	0	0	0	0	0	3
46	42	0	0.552231571	293.199289	293.199623	293.199285	293.199952	0.000341544158	0	0	0	0	0	3
47	43	0	0.564236605	293.199288	293.199607	293.199285	293.199943	0.000353699803	0	0	0	0	0	3
48	44	0	0.576241639	293.199287	293.199592	293.199285	293.199932	0.00036513675	0	0	0	0	0	3
49	45	0	0.588246674	293.199287	293.199576	293.199285	293.199921	0.000375982451	0	0	0	0	0	3
50	46	0	0.600251708	293.199288	293.199561	293.199285	293.199911	0.000386409955	0	0	0	0	0	3
51	47	0	0.612256742	293.199288	293.199546	293.199285	293.199901	0.00039652309	0	0	0	0	0	3
52	48	0	0.624261776	293.199288	293.199532	293.199285	293.199889	0.000406181751	0	0	0	0	0	3
53	49	0	0.63626681	293.199287	293.199518	293.199285	293.199878	0.000415473757	0	0	0	0	0	3
54	49	0	0.648271844	293.199287	293.199503	293.199285	293.199868	0.000424510685	0	0	0	0	0	3
55	50	0	0.660276878	293.199285	293.19949	293.199285	293.199858	0.000433387929	0	0	0	0	0	3
56	51	0	0.672281913	293.199284	293.199476	293.199284	293.19985	0.000442184271	0	0	0	0	0	3
57	52	0	0.684286947	293.199282	293.199462	293.199282	293.199838	0.000450703677	0	0	0	0	0	3
