Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0120036498	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0240072995	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0360109493	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.048014599	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0600182488	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0720218985	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.0840255483	0	0	0	0	0	0	0	0	0	0	3
8	9	0	0.096029198	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.108032848	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.120036498	0	0	0	0	0	0	0	0	0	0	3
11	11	0	0.132040147	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.144043797	0	0	0	0	0	0	0	0	0	0	3
13	12	0	0.156047447	0	0	0	0	0	0	0	0	0	0	3
14	13	0	0.168051097	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.180054746	0	0	0	0	0	0	0	0	0	0	3
16	14	0	0.192058396	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.204062046	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.216065696	0	0	0	0	0	0	0	0	0	0	3
19	16	0	0.228069345	0	0	0	0	0	0	0	0	0	0	3
20	17	0	0.240072995	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.252076645	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.264080295	0	0	0	0	0	0	0	0	0	0	3
23	19	0	0.276083944	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.288087594	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.300091244	0	0	0	0	0	0	0	0	0	0	3
26	22	0	0.312094894	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.324098543	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.336102193	0	0	0	0	0	0	0	0	0	0	3
29	24	0	0.348105843	0	0	0	0	0	0	0	0	0	0	3
30	24	0	0.360109493	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.372113142	0	0	0	0	0	0	0	0	0	0	3
32	26	0	0.384116792	0	0	0	0	0	0	0	0	0	0	3
33	27	0	0.396120442	0	0	0	0	0	0	0	0	0	0	3
34	27	0	0.408124092	0	0	0	0	0	0	0	0	0	0	3
35	28	0	0.420127741	0	0	0	0	0	0	0	0	0	0	3
36	29	0	0.432131391	0	0	0	0	0	0	0	0	0	0	3
37	30	0	0.444135041	0	0	0	0	0	0	0	0	0	0	3
38	31	0	0.456138691	0	0	0	0	0	0	0	0	0	0	3
39	32	0	0.46814234	0	0	0	0	0	0	0	0	0	0	3
40	33	0	0.48014599	0	0	0	0	0	0	0	0	0	0	3
41	34	0	0.49214964	0	0	0	0	0	0	0	0	0	0	3
42	34	0	0.50415329	0	0	0	0	0	0	0	0	0	0	3
43	35	0	0.516156939	0	0	0	0	0	0	0	0	0	0	3
44	36	0	0.528160589	0	0	0	0	0	0	0	0	0	0	3
45	37	0	0.540164239	0	0	0	0	0	0	0	0	0	0	3
46	38	0	0.552167889	0	0	0	0	0	0	0	0	0	0	3
47	39	0	0.564171538	0	0	0	0	0	0	0	0	0	0	3
48	40	0	0.576175188	0	0	0	0	0	0	0	0	0	0	3
49	41	0	0.588178838	0	0	0	0	0	0	0	0	0	0	3
50	42	0	0.600182488	0	0	0	0	0	0	0	0	0	0	3
51	43	0	0.612186137	0	0	0	0	0	0	0	0	0	0	3
52	44	0	0.624189787	0	0	0	0	0	0	0	0	0	0	3
53	44	0	0.636193437	0	0	0	0	0	0	0	0	0	0	3
54	45	0	0.648197087	0	0	0	0	0	0	0	0	0	0	3
55	46	0	0.660200736	0	0	0	0	0	0	0	0	0	0	3
56	47	0	0.672204386	0	0	0	0	0	0	0	0	0	0	3
57	48	0	0.684208036	0	0	0	0	0	0	0	0	0	0	3
58	49	0	0.696211686	0	0	0	0	0	0	0	0	0	0	3
59	49	0	0.708215335	0	0	0	0	0	0	0	0	0	0	3
60	50	0	0.720218985	0	0	0	0	0	0	0	0	0	0	3
61	51	0	0.732222635	0	0	0	0	0	0	0	0	0	0	3
62	52	0	0.744226285	0	0	0	0	0	0	0	0	0	0	3
63	53	0	0.756229934	0	0	0	0	0	0	0	0	0	0	3
64	53	0	0.768233584	0	0	0	0	0	0	0	0	0	0	3
65	54	0	0.780237234	0	0	0	0	0	0	0	0	0	0	3
66	55	0	0.792240884	0	0	0	0	0	0	0	0	0	0	3
67	56	0	0.804244533	0	0	0	0	0	0	0	0	0	0	3
68	57	0	0.816248183	0	0	0	0	0	0	0	0	0	0	3
69	57	0	0.828251833	0	0	0	0	0	0	0	0	0	0	3
70	58	0	0.840255483	0	0	0	0	0	0	0	0	0	0	3
71	59	0	0.852259132	0	0	0	0	0	0	0	0	0	0	3
72	60	0	0.864262782	0	0	0	0	0	0	0	0	0	0	3
73	61	0	0.876266432	0	0	0	0	0	0	0	0	0	0	3
74	61	0	0.888270082	0	0	0	0	0	0	0	0	0	0	3
75	62	0	0.900273731	0	0	0	0	0	0	0	0	0	0	3
76	63	0	0.912277381	0	0	0	0	0	0	0	0	0	0	3
77	64	0	0.924281031	0	0	0	0	0	0	0	0	0	0	3
78	65	0	0.936284681	0	0	0	0	0	0	0	0	0	0	3
79	65	0	0.94828833	0	0	0	0	0	0	0	0	0	0	3
80	66	0	0.96029198	0	0	0	0	0	0	0	0	0	0	3
81	67	0	0.97229563	0	0	0	0	0	0	0	0	0	0	3
82	68	0	0.98429928	0	0	0	0	0	0	0	0	0	0	3
83	69	0	0.996302929	0	0	0	0	0	0	0	0	0	0	3
84	69	0	1.00830658	0	0	0	0	0	0.001	0	0	0	0	3
85	70	0	1.02031023	0	0	0	0	0	0.001	0	0	0	0	3
86	71	0	1.03231388	0	0	0	0	0	0.001	0	0	0	0	3
87	72	0	1.04431753	0	0	0	0	0	0.001	0	0	0	0	3
88	73	0	1.05632118	0	0	0	0	0	0.001	0	0	0	0	3
89	73	0	1.06832483	0	0	0	0	0	0.001	0	0	0	0	3
90	74	0	1.08032848	0	0	0	0	0	0.001	0	0	0	0	3
91	75	0	1.09233213	0	0	0	0	0	0.001	0	0	0	0	3
92	76	0	1.10433578	0	0	0	0	0	0.001	0	0	0	0	3
93	77	0	1.11633943	0	0	0	0	0	0.001	0	0	0	0	3
94	77	0	1.12834308	0	0	0	0	0	0.001	0	0	0	0	3
95	78	0	1.14034673	0	0	0	0	0	0.001	0	0	0	0	3
96	79	0	1.15235038	0	0	0	0	0	0.001	0	0	0	0	3
97	80	0	1.16435403	0	0	0	0	0	0.001	0	0	0	0	3
